"Hs_symbol","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg_TPM","FoldChange"
"CCDC93","Ccdc93",5.641009,4.639559,3.771267,781,923,180,4.683945,60.915576,48.766497,31.996005,1072,884,753,16.1986623333333,0.330487621062467
"CCDC96","Ccdc96",0.498985,0.538181,0.731506,39,63,18,0.589557333333333,1.162896,1.874198,1.981266,42,51,47,6.41758633333333,0.214295764403866
"CCDC97","Ccdc97",18.194543,14.688793,13.363426,686,914,232,15.4155873333333,10.05397,9.432907,7.735839,327,272,263,26.264594,0.602084422505369
"CCDC9B","Ccdc9b",1.96779,2.587237,1.720277,206,408,57,2.091768,9.916738,9.532806,8.616581,275,262,268,74.266004,0.0410778815891435
"CCER1","Ccer1",0,0,0,0,0,0,0,0,0,0,0,0,0,66.5617093333333,0.0148012832988911
"CCHCR1","Cchcr1",4.151952,7.390067,4.437037,89,192,30,5.326352,9.905121,8.944211,7.872593,225,128,105,9.97011966666667,0.57668942474921
"CCIN","Ccin",0.02518,0.01672,0,1,1,0,0.0139666666666667,0.291143,0,0.043997,10,0,1,1.18018633333333,0.465082571688444
"CCK","Cck",33.197956,20.534375,38.176093,191,176,62,30.6361413333333,0.504301,0,0,5,0,0,0.356592666666667,23.3202951119201
"CCKAR","Cckar",0.728106,0.214665,0.201787,20,6,4,0.381519333333333,0.530539,0,0,16,0,0,139.348447,0.00984349569135833
"CCKBR","Cckbr",3.426054,2.389559,3.653646,185,199,63,3.15641966666667,0.288064,0.307702,4.059118,4,5,2,63.860952,0.0640820021677552
"CCL1","Ccl1",0.160193,0.107232,0,1,1,0,0.0891416666666667,0,0.193434,0,0,1,0,3.41393633333333,0.246750651667004
"CCL11","Ccl11",0.907903,0.217472,2.192252,16,6,12,1.10587566666667,0,0,0,0,0,0,314.116901,0.00668283947951959
"CCL13","Ccl2",0.078864,0.103674,0,1,2,0,0.060846,0,0,0,0,0,0,12.0592016666667,0.0812336027176751
"CCL19","Ccl19",0.871816,0.35633,0.775681,9,6,2,0.667942333333333,0,0,0,0,0,0,17.9350296666667,0.0880876535551243
"CCL2","Ccl12",0.893613,0.616688,1.424119,6,6,3,0.97814,19.046502,7.931435,8.378552,188,58,56,8.428396,0.209806630947618
"CCL20","Ccl20",0,0,0,0,0,0,0,1.362202,0.895456,2.013828,4,2,4,38.186024,0.025519302494175
"CCL21","Ccl21a",0,0,0,0,0,0,0,0.079755,0,0,1,0,0,19.6059246666667,0.048529731918202
"CCL22","Ccl22",0.065079,0.231917,1.671926,3,16,4,0.656307333333333,0.206116,0.082761,0.162313,11,3,6,21.2831936666667,0.0743298899659521
"CCL24","Ccl24",0.202271,0.271362,0.127948,5,10,1,0.200527,0.349288,0,0.452143,8,0,7,20.5413453333333,0.0557312916822465
"CCL25","Ccl25",6.193528,7.230618,3.967461,165,186,32,5.79720233333333,0,0.325792,0,0,1,0,25.4036103333333,0.257434579874563
"CCL28","Ccl28",0.649159,0.811584,0.651508,45,61,13,0.704083666666667,1.459871,0.171174,0.301433,61,7,11,16.563497,0.0970241670361356
"CCL4","Ccl4",0.20718,0.069246,0,2,1,0,0.092142,0.032943,0,0,1,0,0,0.171138666666667,0.932547127923366
"CCL5","Ccl5",0.15061,0.135907,0,1,2,0,0.0955056666666667,0.077292,0.205524,0.455118,2,3,7,10.0102263333333,0.0994989234099608
"CCL7","Ccl7",0.238514,0.052569,0.762623,3,1,3,0.351235333333333,0,0,0,0,0,0,33.4761756666667,0.0391933068910476
"CCM2","Ccm2",16.022164,17.107272,17.674901,411,636,169,16.934779,40.588933,28.241032,35.470679,865,430,523,60.5030976666667,0.291607734901461
