"Hs_symbol","Spinal_cord","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"QKI",1240.34814,1240.34814,45.78821,45.78821,26.5312167317365
"QPCT",6.26893,6.26893,19.24569,19.24569,0.359035923201432
"QPCTL",9.52753,9.52753,7.45365,7.45365,1.24532361760896
"QPRT",31.53086,31.53086,16.55903,16.55903,1.85265700895778
"QRFP",0,0,0.19862,0.19862,0.834292770018855
"QRFPR",0.34138,0.34138,7.89272,7.89272,0.150840237857483
"QRICH1",43.78941,43.78941,24.29493,24.29493,1.77068724839325
"QRICH2",7.44823,7.44823,5.3315,5.3315,1.334317302377
"QRSL1",5.83445,5.83445,6.82642,6.82642,0.8732536715382
"QRSL1P1",0,0,0,0,1
"QRSL1P2",0,0,0,0,1
"QRSL1P3",0,0,0.01045,0.01045,0.989658073135732
"QSER1",2.97929,2.97929,1.71444,1.71444,1.46597088165515
"QSOX1",76.59267,76.59267,49.81298,49.81298,1.52702459096081
"QSOX2",6.14479,6.14479,3.65888,3.65888,1.53358532522838
"QTRT1",78.11335,78.11335,59.79648,59.79648,1.30128175183826
"QTRTD1",6.2379,6.2379,3.04209,3.04209,1.79063306358839
"R3HCC1",94.49946,94.49946,51.14063,51.14063,1.83157472397246
"R3HCC1L",4.28273,4.28273,5.26878,5.26878,0.842704641094439
"R3HDM1",28.5826,28.5826,8.03907,8.03907,3.27274819201533
"R3HDM2",58.56174,58.56174,23.3959,23.3959,2.44146516422842
"R3HDM2P1",0,0,0,0,1
"R3HDM2P2",0,0,0,0,1
"R3HDM4",31.53086,31.53086,30.05505,30.05505,1.04752238363809
"R3HDML",0,0,0,0,1
"RAB10",199.76783,199.76783,58.2493,58.2493,3.38852661550432
"RAB11A",98.81323,98.81323,389.15801,389.15801,0.255827709393945
"RAB11B",202.87126,202.87126,209.28769,209.28769,0.969487372275572
"RAB11FIP1",2.1724,2.1724,1.76671,1.76671,1.14663264310318
"RAB11FIP1P1",1.89309,1.89309,0.6586,0.6586,1.74429639454962
"RAB11FIP2",4.68618,4.68618,6.39781,6.39781,0.768630175687129
"RAB11FIP3",43.01355,43.01355,40.21627,40.21627,1.06786834422426
"RAB11FIP4",168.9818,168.9818,15.86907,15.86907,10.0765365251315
"RAB11FIP5",11.91717,11.91717,83.69417,83.69417,0.152515456494821
"RAB12",20.94816,20.94816,11.55159,11.55159,1.74863583020159
"RAB13",142.07506,142.07506,80.0562,80.0562,1.76513406747417
