"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ABHD13",3.072772,3.602061,3.056116,3.24364966666667,238,226,207,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,0.744832677006997
"ABHD14A",19.98651,11.809536,18.625674,16.80724,220,94,202,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,1.259702872023
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.48868575933559
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,2.15123347495803
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.828697790906492
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.018444,0,0,1,0,0.006148,0.993889566942438
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.312454527415834
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.473219674551224
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,0.709331982754988
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,0.767316563844094
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,3.38641273029386
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.10911317856963
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.642503007060958
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.181624226294858
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.674336522912547
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.0672617575814443
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.269746018354659
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,0.966205042617367
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0.235969989298088
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,3.54567640263637
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,2.91256756361719
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,1.372450724744
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,1.55868309010167
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,0.869863733738238
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.0371531974108601
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,8.87941764654923
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.0300363390061
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,3.15585246059311
"ABRA",0,0,0,0,0,0,0,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,0.990332702271328
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.644423399244085
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,1.45966165624375
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.629281595228919
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,1.95756865309151
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.297031370029938
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,0.480264440090063
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,0.936313357290543
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,25.8869421410916
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,0.848906445345275
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,2.20718731147305
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,1.54054108580904
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,4.54886330995961
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,7.39896814808868
"ACAD11",13.192374,11.007639,9.386726,11.1955796666667,340,270,275,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,1.02282066244989
"ACAD8",26.483493,20.192299,24.101738,23.59251,534,375,468,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,1.80728507738589
"ACAD9",19.252462,17.316786,16.985834,17.851694,406,304,324,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.494123883453544
"ACADL",0.207989,0.400506,0.246715,0.28507,5,7,5,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.0493956657388902
"ACADM",27.650351,25.508799,28.982212,27.380454,462,377,403,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.666918844747724
"ACADS",4.599063,3.579749,4.281652,4.153488,112,71,98,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,0.774998827009813
"ACADSB",2.345294,3.480124,2.567987,2.79780166666667,193,175,184,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0321740131304108
"ACADVL",487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,15.6994435309604
"ACAN",13.521626,21.358045,13.180758,16.020143,1180,1435,924,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,3.34723933740164
"ACAP1",8.203837,7.799579,5.089685,7.03103366666667,31,27,34,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,6.52427957150559
"ACAP2",4.317336,5.926497,4.813944,5.019259,442,447,434,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.243281167618524
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,12.6604342799492
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,1.31942199466477
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,0.676988007134641
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,13.2371351957591
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,4.34063866390952
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.120071096172004
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.227885840002903
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,0.658896036430204
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.970879499491021
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,3.94356945778376
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.912760482825955
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.905655285056246
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,0.313953215922905
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.79661522359563
"ACER1",0.050862,0,0,0.016954,1,0,0,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,1.00525683150857
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.427199024359192
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,0.774270568864392
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.188320317440044
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,2.9182019382694
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.0725593734732188
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.09835356733977
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,0.556277131292858
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0.874963105722375
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,1.23163131916129
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.904627856610565
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.843867011192981
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.155532335562898
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,3.82324224790906
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,1.80944954305571
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.365531007492373
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,3.24137317571977
