"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ACAP3",268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,"Acap3",1.933753,2.709172,2.375971,133,146,103,2.339632,69.6907845934323
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,"Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,0.555131073983044
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,16.347990306763
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,"Acat3",0.106014,0.029888,0,4,2,0,0.0453006666666667,28.2503560379119
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,"Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,12.955195309986
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,"Acbd4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,0.536143217596988
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,"Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,1.90803588576462
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,"Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,2.47217740254393
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,"Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.58253091921709
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,"Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,8.51239725092919
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0,0,0,0,0,0,1
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,"Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,4.74212902534602
