"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.496981550431808
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,1.79464999181458
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.226527113736633
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.471888202928726
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1a",25.124783,38.637608,36.052522,224,1188,549,33.2716376666667,1.16133908511891
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,29.0145732631299
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,0.877624470739933
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,2.31612760283845
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,1.68620200301361
"ACAD10",21.73928,19.257871,23.277153,21.424768,392,285,343,"Acad12",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,6.04705615654213
