"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"MEX3B","Mex3b",2.080398,1.745903,1.81268,45,135,80,1.87966033333333,5.169402,4.362035,4.461562,262,177,195,11.896001,0.223298705802933
"MEX3C","Mex3c",10.127387,8.741893,9.892064,237,735,475,9.58711466666667,15.650558,18.419058,18.390046,725,708,784,3.41123033333333,2.40003669422235
"MEX3D","Mex3d",4.045169,3.750408,3.805801,69,215,129,3.867126,7.85466,9.348651,8.943311,206,177,180,0.271558666666667,3.827684972459
"MFAP1","Mfap1b",20.590607,16.528894,18.716396,463,1396,895,18.6119656666667,14.651211,13.463758,15.072788,426,315,389,0.0371213333333333,18.9100012084732
"MFAP2","Mfap2",0.332672,2.110303,0.501141,2,34,5,0.981372,103.342403,112.577925,89.78202,1115,938,880,0.109200666666667,1.78630617483701
"MFAP3","Mfap3",7.060614,6.453464,6.378688,141,598,377,6.630922,13.538886,16.089758,10.712576,349,316,295,5.25039266666667,1.22087081675615
"MFAP3L","Mfap3l",8.311685,9.903629,11.04331,360,1532,977,9.75287466666667,3.522622,1.29544,2.614399,200,97,153,0,10.7528746666667
"MFAP4","Mfap4",0.200774,0.732996,1.307824,2,22,13,0.747198,1.230313,2.126867,2.060629,33,37,32,0.265624,1.38050321422476
"MFAP5","Mfap5",0,0.903893,0.258971,0,7,2,0.387621333333333,0.358206,0.485634,0.327866,4,6,1,56.5958183333333,0.0240923972171475
"MFF","Mff",204.083869,188.926645,207.108191,906,3546,2031,200.039568333333,38.387239,43.48127,37.053783,571,466,487,3.17601066666667,48.141536116766
