"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"DDX18",12.59004,17.43659,10.61832,13.5483166666667,14.85504,14.85504,0.917583094502863
"DDX18P1",0.13253,0,0,0.0441766666666667,0,0,1.04417666666667
"DDX18P5",0,0,0,0,0,0,1
"DDX18P6",0,0,0,0,0,0,1
"DDX19A",24.7825,18.34849,18.87702,20.6693366666667,14.18598,14.18598,1.42693040993513
"DDX19B",14.26319,8.95318,4.43523,9.2172,11.03935,11.03935,0.848650467010262
"DDX20",3.67762,2.43173,3.40835,3.17256666666667,3.69024,3.69024,0.88962753860499
"DDX21",8.20009,8.84265,7.25367,8.09880333333333,11.38433,11.38433,0.734702913547469
"DDX23",80.75848,63.11439,42.84472,62.2391966666667,38.575,38.575,1.59795822278374
"DDX24",1113.62212,462.82966,463.88531,680.112363333333,193.87859,193.87859,3.49505999265149
"DDX25",32.66784,20.42099,23.53073,25.5398533333333,14.47869,14.47869,1.7146059087257
"DDX26B",7.43806,7.12938,11.55781,8.70841666666667,2.68666,2.68666,2.63339083795812
"DDX27",22.44672,17.10499,20.20977,19.9204933333333,26.38572,26.38572,0.763919784958487
"DDX28",6.1128,4.31079,4.47892,4.96750333333333,8.53041,8.53041,0.626153894043733
"DDX31",3.47883,2.59753,2.09745,2.72460333333333,3.65888,3.65888,0.799463247246835
"DDX39A",25.77645,28.29647,26.96093,27.0112833333333,58.7929,58.7929,0.468471730478591
"DDX39AP1",0,0,0,0,0,0,1
"DDX39B",306.23614,259.14482,268.14546,277.84214,272.46079,272.46079,1.01967868958471
"DDX39BP1",0,0,0,0,0,0,1
"DDX39BP2",0,0,0,0,0,0,1
"DDX3X",58.47742,63.08676,67.0309,62.8650266666667,47.79537,47.79537,1.30883374112476
"DDX3Y",0,0,0,0,0,0,1
"DDX3YP1",0,0.22107,0.19664,0.139236666666667,0.02091,0.02091,1.11590313217293
"DDX3YP2",0,0,0,0,0,0,1
"DDX3YP3",0,0,0,0,0,0,1
"DDX4",2.74993,0.27633,0.56806,1.19810666666667,0.12545,0.12545,1.95309135605017
"DDX41",104.48076,96.68882,86.65077,95.9401166666667,77.59953,77.59953,1.23334219258902
"DDX42",71.13372,55.90211,58.96884,62.0015566666667,37.03828,37.03828,1.65626723044961
"DDX43",0,1.3264,1.50754,0.944646666666667,0.73178,0.73178,1.12291784560779
"DDX46",18.7194,19.70252,14.33255,17.5848233333333,9.40854,9.40854,1.78553604379993
"DDX47",17.42727,18.68009,16.80142,17.63626,26.87705,26.87705,0.668516216744598
"DDX49",32.18743,30.25843,26.7206,29.7221533333333,58.23885,58.23885,0.51861495173072
"DDX5",333.47039,258.45398,178.43591,256.78676,235.04617,235.04617,1.09210312541822
"DDX50",15.02522,14.2864,11.25193,13.5211833333333,26.08256,26.08256,0.536182079291372
"DDX50P1",0.29819,0.19343,0.15294,0.214853333333333,0.06272,0.06272,1.14315467228746
"DDX50P2",0.14909,0.05527,0,0.06812,0.02091,0.02091,1.04624305766424
"DDX51",41.03359,28.79387,32.40118,34.0762133333333,16.37085,16.37085,2.01925716550044
"DDX52",4.88692,4.83582,5.4184,5.04704666666667,6.34554,6.34554,0.823226974009626
"DDX53",0,0,0,0,0,0,1
"DDX54",138.67266,153.50282,62.18056,118.11868,24.4831,24.4831,4.67441873241482
"DDX55",25.87584,20.08939,31.39616,25.78713,7.68364,7.68364,3.08478126684202
"DDX56",45.00939,50.01622,95.63046,63.5520233333333,82.52333,82.52333,0.772862185132385
"DDX58",3.54509,4.11736,3.29911,3.65385333333333,8.5095,8.5095,0.489389908337277
"DDX59",13.00419,11.60597,12.16956,12.2599066666667,13.72601,13.72601,0.900441237420501
"DDX6",21.36994,18.34849,13.02165,17.5800266666667,8.54086,8.54086,1.94741634052556
"DDX60",5.74835,3.73049,6.72931,5.40271666666667,9.26218,9.26218,0.62391389223992
"DDX60L",3.67762,5.47139,3.27726,4.14209,3.93068,3.93068,1.0428764389496
"DDX6P1",0,0,0,0,0,0,1
"DDX6P2",0,0,0,0,0,0,1
"DEAF1",205.88028,158.25574,288.85775,217.66459,64.07214,64.07214,3.36034115367959
"DEC1",0,0.2487,0,0.0829,0.39725,0.39725,0.775022365360529
"DECR1",94.29277,77.67713,73.62912,81.86634,55.30129,55.30129,1.47183732379844
"DECR2",16.0523,13.98244,15.25019,15.0949766666667,26.52162,26.52162,0.584812110139834
"DEDD",39.29418,31.50193,33.44991,34.7486733333333,26.43799,26.43799,1.30288965530395
"DEDD2",25.4617,21.08419,34.41124,26.98571,35.25065,35.25065,0.772005743345292
