"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SUV420H1",15.63815,12.18627,11.57965,13.13469,18.27662,18.27662,0.733255622614338
"SUV420H2",13.88218,16.41416,13.87374,14.72336,19.29314,19.29314,0.774811586575562
"SUZ12",8.0013,8.53868,11.09899,9.21299,9.19017,9.19017,1.00223941308143
"SUZ12P",80.09584,64.74475,82.12815,75.6562466666667,95.46991,95.46991,0.794613021476507
"SV2A",90.05191,61.81563,109.02353,86.96369,63.56362,63.56362,1.36243429349222
"SV2B",13.56742,9.58875,34.87005,19.3420733333333,18.31811,18.31811,1.05300535783953
"SV2C",11.87771,5.91352,0.6773,6.15617666666667,0.33192,0.33192,5.3728276973592
"SVEP1",1.55719,1.10533,1.85711,1.50654333333333,3.13254,3.13254,0.606538190394608
"SVIL",15.68785,43.025,36.79271,31.8351866666667,18.62929,18.62929,1.67276486651665
"SVIP",30.46458,30.03737,18.52745,26.3431333333333,53.4814,53.4814,0.501880152370044
"SVOP",401.25781,309.5479,428.4035,379.736403333333,478.30381,478.30381,0.794352966510601
"SVOPL",1.22587,0.44213,0.74285,0.803616666666667,0.56012,0.56012,1.15607560102214
"SWAP70",7.80251,11.24674,10.33429,9.79451333333333,12.38495,12.38495,0.806466466690823
"SWI5",36.47798,29.29127,21.41144,29.06023,39.47832,39.47832,0.7426254350477
"SWSAP1",2.6671,2.10013,0.80839,1.85854,1.20323,1.20323,1.29743149830022
"SWT1",2.48488,3.17783,2.68735,2.78335333333333,2.34422,2.34422,1.13131113782387
"SYAP1",10.40335,10.63881,15.55606,12.1994066666667,11.99079,11.99079,1.01605881294876
"SYBU",65.71669,42.49997,49.77066,52.66244,15.66271,15.66271,3.22051094929936
"SYCE1",24.64997,16.38653,34.9356,25.3240333333333,7.17788,7.17788,3.21893123075092
"SYCE1L",4.43965,4.75292,19.92574,9.70610333333333,14.6047,14.6047,0.686081971030096
"SYCE2",24.8322,19.61962,6.96964,17.1404866666667,9.937,9.937,1.65863460424858
"SYCE3",3.13094,6.30039,0.83024,3.42052333333333,3.50596,3.50596,0.98103918661802
"SYCN",1.06021,0,0,0.353403333333333,0,0,1.35340333333333
"SYCP1",2.41861,1.3264,0,1.24833666666667,1.24472,1.24472,1.00161118832935
"SYCP2",3.49539,3.61996,6.75116,4.62217,1.82559,1.82559,1.98973311768516
"SYCP2L",4.90349,3.48179,5.94277,4.77601666666667,4.25279,4.25279,1.09960928700113
"SYCP3",13.02075,12.49024,19.55432,15.02177,8.00769,8.00769,1.77867688608289
"SYDE1",7.78595,10.25194,4.69741,7.57843333333333,4.66769,4.66769,1.51356784392466
