"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Heart","dHs_Avg__TPM","FoldChange"
"AL590812.3",0,0,0,0,0,0,1
"AL590822.1",2.0873,3.01203,1.26721,2.12218,0.03795,0.03795,3.00802543475119
"AL590867.1",4.24086,5.69245,5.52765,5.15365333333333,7.66637,7.66637,0.710061229018993
"AL591025.1",0,0,0,0,0,0,1
"AL591069.1",0,0,0,0,0,0,1
"AL591471.1",0,0,0,0,12.94175,12.94175,0.0717270070113149
"AL591516.1",0,0,0,0,0,0,1
"AL591516.2",0,0,0,0,0,0,1
"AL591516.3",0,5.94115,4.17305,3.3714,0,0,4.3714
"AL591516.4",0,0,0,0,0,0,1
"AL591516.5",0,11.08094,0,3.69364666666667,0,0,4.69364666666667
"AL591684.1",0,0,0,0,0,0,1
"AL591704.5",0,0,0,0,0,0,1
"AL591704.7",0,0,0,0,0,0,1
"AL591704.9",0,0,0,0,0,0,1
"AL591845.1",16.23452,9.83744,22.85343,16.3084633333333,1.32833,1.32833,7.43385316228083
"AL592284.2",57.64913,53.71908,95.76155,69.0432533333333,0.17711,0.17711,59.5044246785206
"AL592494.1",0,0,0.91763,0.305876666666667,0,0,1.30587666666667
"AL592494.3",0.16566,0.0829,0.39327,0.213943333333333,0.06325,0.06325,1.14172897562505
"AL592494.4",0,0,0,0,0,0,1
"AL592494.5",2.0376,2.37646,1.72602,2.04669333333333,2.42895,2.42895,0.888520781385944
"AL596137.1",0,0,0,0,0,0,1
"AL603965.1",0,0,0,0,0,0,1
"AL627171.1",0,0,0,0,0,0,1
"AL645728.1",3.9261,2.62516,2.7966,3.11595333333333,0.10121,0.10121,3.73766432681626
"AL645728.2",0.76203,3.86866,3.73608,2.78892333333333,1.6193,1.6193,1.44654042428639
"AL645728.3",4.50591,2.43173,0,2.31254666666667,0,0,3.31254666666667
"AL645730.2",0,0,0,0,0,0,1
"AL672183.2",0,0,0,0,0,0,1
"AL672296.1",0,0,0,0,0,0,1
"AL691479.1",0.29819,0.38687,1.83527,0.84011,0,0,1.84011
"AL713998.1",0,0.829,0,0.276333333333333,0,0,1.27633333333333
"AL732372.1",0,0,0,0,0,0,1
"AL772307.1",0,0,0,0,0,0,1
"AL773602.1",0,0,0,0,0,0,1
"AL928654.1",0,0,0,0,0,0,1
"AL928654.7",4.38995,0.4145,0,1.60148333333333,0,0,2.60148333333333
"AL929472.1",0,0,0,0,0,0,1
"AL953854.2",1.50749,1.4093,0.39327,1.10335333333333,1.07532,1.07532,1.01350795700583
"ALAD",89.68747,75.2454,43.84975,69.5942066666667,53.20917,53.20917,1.30225581145527
"ALAS1",31.92238,28.407,34.14906,31.4928133333333,185.65016,185.65016,0.174084036859831
"ALAS2",5.06915,5.00162,4.36968,4.81348333333333,0,0,5.81348333333333
"ALB",10.43648,25.80948,18.4619,18.2359533333333,14.61165,14.61165,1.23215376551059
"ALCAM",51.91735,36.25485,23.74921,37.3071366666667,11.08208,11.08208,3.17057465822662
