"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"Abitram","ABITRAM",313,6.69429,322,6.36078,287,6.46675,6.50727333333,"ABITRAM",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,1.13412371474008
"Abl1","ABL1",1060,1.4201,1099,1.3599,1067,1.50599,1.42866333333,"ABL1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,0.140964342530937
"Abl2","ABL2",1484,2.53715,1456,2.29916,1276,2.2983,2.37820333333,"ABL2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.460052534709655
"Ablim1","ABLIM1",6714,3.69285,6858,3.48395,5990,3.47097,3.54925666667,"ABLIM1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,0.115979767580124
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.0443585309603545
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",9.713718,10.446052,13.010561,280,1148,806,11.056777,0.254618073580527
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0,0.04772,0,0,2,0,0.0159066666666667,0.990966473298075
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,0.083966273264057
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",0.104979,0.014323,0.024908,2,1,1,0.04807,1.00506690074776
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.130995882432746
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",2.527091,2.89354,2.878353,15,97,65,2.766328,0.624641118173988
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,0.504451267786415
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,2.13054456528222
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.835835645401674
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.519636633169624
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,3.7044927241818
"Acaa2","ACAA2",1153,6.62506,1196,6.34726,1042,6.30771,6.42667666667,"ACAA2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,0.435810040283229
"Acaca","ACACA",5525,3.15292,5803,3.05863,5229,3.14371,3.11842,"ACACA",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,0.226196653520686
"Acacb","ACACB",288,0.428874,328,0.451134,279,0.437708,0.439238666667,"ACACB",2.347324,2.448333,1.442423,63,283,136,2.07936,0.467382399806129
"Acad11","ACAD11",684,1.6498,782,1.74211,723,1.8372,1.74303666667,"ACAD11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,0.242244568307345
"Acad12","ACAD10",291,2.0378,312,2.01799,302,2.22802,2.09460333333,"ACAD10",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,0.834489798907573
"Acad8","ACAD8",735,4.48563,751,4.23322,639,4.10848,4.27577666667,"ACAD8",22.587965,18.479586,22.129273,169,624,442,21.065608,0.239095005524887
"Acad9","ACAD9",1057,6.10441,1133,6.04357,966,5.87746,6.00848,"ACAD9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.176923571903866
"Acadl","ACADL",3283,15.708,3290,14.5392,2889,14.5627,14.9366333333,"ACADL",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.578704027323651
"Acadm","ACADM",1534,10.6882,1588,10.2194,1361,9.99038,10.2993266667,"ACADM",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.21787338457408
"Acads","ACADS",332,5.69511,370,5.8622,310,5.60235,5.71988666667,"ACADS",7.376174,4.693633,4.113654,41,181,88,5.394487,1.05088753275595
"Acadsb","ACADSB",1236,5.00309,1298,4.85276,1148,4.89559,4.91714666667,"ACADSB",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0352058160002519
"Acadvl","ACADVL",2096,62.2142,2226,61.0265,1855,58.0078,60.4161666667,"ACADVL",27.327889,26.55274,25.529242,288,1140,639,26.469957,2.23575765578009
"Acan","ACAN",25,0.0629733,37,0.0860821,32,0.0849201,0.0779918333333,"ACAN",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.331503303013628
"Acap1","ACAP1",19,0.211048,28,0.287263,11,0.128725,0.209012,"ACAP1",0,0.039392,0.070892,0,2,3,0.0367613333333333,1.16614302745344
