"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,0.635640544870649
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",4.709873,4.263116,4.741499,222,212,183,4.571496,1.32452875613121
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,4.52356675512728
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,3.00478463877251
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",1.685686,1.76883,2.249357,255,274,221,1.901291,1.01511476557505
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.028191,0.028929,0,1,1,0,0.01904,4.98672279792746
"Acaa2","ACAA2",1153,6.62506,1196,6.34726,1042,6.30771,6.42667666667,"ACAA2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.0289593138072407
"Acaca","ACACA",5525,3.15292,5803,3.05863,5229,3.14371,3.11842,"ACACA",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,2.10018817154037
"Acacb","ACACB",288,0.428874,328,0.451134,279,0.437708,0.439238666667,"ACACB",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,0.0864717070718041
"Acad11","ACAD11",684,1.6498,782,1.74211,723,1.8372,1.74303666667,"ACAD11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.112474162314598
"Acad12","ACAD10",291,2.0378,312,2.01799,302,2.22802,2.09460333333,"ACAD10",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,0.153268108966974
"Acad8","ACAD8",735,4.48563,751,4.23322,639,4.10848,4.27577666667,"ACAD8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,0.459399303308067
"Acad9","ACAD9",1057,6.10441,1133,6.04357,966,5.87746,6.00848,"ACAD9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,0.433297479790573
"Acadl","ACADL",3283,15.708,3290,14.5392,2889,14.5627,14.9366333333,"ACADL",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.0758450262078586
"Acadm","ACADM",1534,10.6882,1588,10.2194,1361,9.99038,10.2993266667,"ACADM",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.0154418628853257
"Acads","ACADS",332,5.69511,370,5.8622,310,5.60235,5.71988666667,"ACADS",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.13932935916364
