"Mm_genes","Human_Symbol","mDRG1_read","mDRG1_TPM","mDRG2_read","mDRG2_TPM","mDRG3_read","mDRG3_TPM","mDRG_Avg_TPM","Hs_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"Ablim2","ABLIM2",1160,1.41661,1357,1.53062,1086,1.39722,1.44815,"ABLIM2",27.7936,29.426839,21.693994,1532,345,560,26.304811,0.0896600236493122
"Ablim3","ABLIM3",1499,2.06931,1607,2.04896,1438,2.09135,2.06987333333,"ABLIM3",13.169178,12.081958,12.860354,2375,528,912,12.70383,0.224015719206237
"Abo","ABO",2,0.0138105,1,0.00637784,0,0,0.00672944666667,"ABO",0.10168,0,0.037192,7,0,1,0.0462906666666667,0.962189073017316
"Abr","ABR",7455,5.5945,7535,5.22266,6702,5.29861,5.37192333333,"ABR",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,0.110268714118303
"Abra","ABRA",2,0.0549899,3,0.0761849,1,0.0289666,0.0533804666667,"ABRA",0.017227,0,0.044071,2,0,2,0.0204326666666667,1.03228806865588
"Abracl","ABRACL",146,1.88382,163,1.94254,168,2.28371,2.03669,"ABRACL",37.088713,47.865666,52.35161,184,56,84,45.768663,0.0649300152112537
"Abraxas1","ABRAXAS1",143,1.40706,124,1.12692,147,1.52383,1.35260333333,"ABRAXAS1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,0.567588611507224
"Abraxas2","ABRAXAS2",1114,6.67914,1131,6.26315,981,6.19653,6.37960666667,"ABRAXAS2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.39146839168097
"Abt1","ABT1",202,5.69419,214,5.57172,198,5.88017,5.71536,"ABT1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,2.49356251011853
"Abtb1","ABTB1",829,21.1939,906,21.3934,773,20.82,21.1357666667,"ABTB1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.480574116414706
"Abtb2","ABTB2",1898,1.93662,2093,1.97248,1792,1.92633,1.94514333333,"ABTB2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.17603595254226
"Acaa1b","ACAA1",234,4.00385,250,3.95091,238,4.29025,4.08167,"ACAA1",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,3.92500705445213
"Acaa2","ACAA2",1153,6.62506,1196,6.34726,1042,6.30771,6.42667666667,"ACAA2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.155981039396109
"Acaca","ACACA",5525,3.15292,5803,3.05863,5229,3.14371,3.11842,"ACACA",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,0.132883295601581
"Acacb","ACACB",288,0.428874,328,0.451134,279,0.437708,0.439238666667,"ACACB",2.097291,2.286744,2.776692,428,116,205,2.386909,0.424941640494917
"Acad11","ACAD11",684,1.6498,782,1.74211,723,1.8372,1.74303666667,"ACAD11",8.306437,8.234552,10.686786,908,217,371,9.075925,0.272236709450497
"Acad12","ACAD10",291,2.0378,312,2.01799,302,2.22802,2.09460333333,"ACAD10",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,0.671973269913171
"Acad8","ACAD8",735,4.48563,751,4.23322,639,4.10848,4.27577666667,"ACAD8",19.029721,18.683449,17.581744,1000,249,370,18.431638,0.271504474644392
