"Hs_symbol","Heart","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"STOML1",1.78376,1.78376,29.23432,29.23432,0.0920728496622382
"STOML2",63.15268,63.15268,39.94115,39.94115,1.56694865679152
"STOML3",0,0,0,0,1
"STON1",5.98382,5.98382,15.23784,15.23784,0.430095382144423
"STON1-GTF2A1L",0.39217,0.39217,0,0,1.39217
"STON2",2.35304,2.35304,5.49307,5.49307,0.516402872601096
"STOX1",1.25243,1.25243,4.96549,4.96549,0.377576695292424
"STOX2",5.89526,5.89526,9.62064,9.62064,0.649232061344702
"STPG1",5.88261,5.88261,7.72754,7.72754,0.788608244705839
"STPG2",0.16446,0.16446,1.64482,1.64482,0.440279489719527
"STRA13",4.61753,4.61753,45.5894,45.5894,0.120575281072519
"STRA6",0,0,0.86896,0.86896,0.535056930057358
"STRA8",0,0,0,0,1
"STRADA",29.46366,29.46366,32.74119,32.74119,0.902862643552287
"STRADB",132.95967,132.95967,67.15824,67.15824,1.96542149562547
"STRADBP1",0,0,0,0,1
"STRAP",266.47598,266.47598,91.64431,91.64431,2.88712798443855
"STRBP",16.72433,16.72433,10.95511,10.95511,1.48257356059459
"STRC",0,0,1.95516,1.95516,0.338391153101693
"STRCP1",0,0,0.03103,0.03103,0.969903882525242
"STRN",34.9035,34.9035,17.90679,17.90679,1.89897386071353
"STRN3",43.83494,43.83494,10.17925,10.17925,4.01054990272156
"STRN4",7.93204,7.93204,33.85843,33.85843,0.256237587292371
"STS",8.84289,8.84289,3.13446,3.13446,2.38069542334428
"STSP1",0,0,0,0,1
"STT3A",61.8117,61.8117,44.09975,44.09975,1.39272834106619
"STT3B",132.44099,132.44099,30.9412,30.9412,4.17770747498529
"STUB1",7.22359,7.22359,102.25804,102.25804,0.0796411591775323
"STX10",8.55193,8.55193,70.97546,70.97546,0.132710926751979
"STX11",4.12415,4.12415,1.39654,1.39654,2.13814499236399
"STX12",32.5884,32.5884,57.87898,57.87898,0.570465045420284
"STX16",45.42894,45.42894,67.53065,67.53065,0.677491604121659
"STX16-NPEPL1",2.4922,2.4922,2.94826,2.94826,0.884490889657723
"STX17",15.71227,15.71227,18.21714,18.21714,0.869654381453223
"STX18",47.1368,47.1368,62.84447,62.84447,0.75396976433511
"STX19",0.25302,0.25302,0,0,1.25302
"STX1A",0.44278,0.44278,9.65167,9.65167,0.135451060725689
"STX1B",0.53133,0.53133,27.37226,27.37226,0.0539727889142423
