"Hs_symbol","Heart","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"PTTG1IP",134.90789,134.90789,110.5085,110.5085,1.21881192913545
"PTTG2",0.48073,0.48073,0,0,1.48073
"PTTG3P",0,0,0.05227,0.05227,0.950326437131155
"PTTG4P",0,0,0,0,1
"PTX3",1.49279,1.49279,3.88886,3.88886,0.509891876633817
"PTX4",0,0,0.02091,0.02091,0.979518272913381
"PUF60",8.8682,8.8682,328.82838,328.82838,0.0299191961589236
"PUM1",37.45895,37.45895,11.07071,11.07071,3.18613818076981
"PUM2",46.28919,46.28919,11.48887,11.48887,3.78650670557064
"PURA",9.24772,9.24772,7.56865,7.56865,1.19595502208633
"PURB",13.20741,13.20741,3.34526,3.34526,3.26963403800923
"PURG",0.35422,0.35422,1.68308,1.68308,0.504725912011569
"PUS1",1.6193,1.6193,24.53537,24.53537,0.102575368988192
"PUS10",4.1368,4.1368,2.08033,2.08033,1.66761353491347
"PUS3",11.10738,11.10738,7.10867,7.10867,1.49314005872726
"PUS7",6.62901,6.62901,4.23384,4.23384,1.45763149045443
"PUS7L",2.68196,2.68196,0.99312,0.99312,1.84733483182147
"PUSL1",0.21506,0.21506,19.6952,19.6952,0.0587121651397425
"PVALB",0,0,254.96091,254.96091,0.00390684655715593
"PVR",33.63842,33.63842,22.02643,22.02643,1.50428963586626
"PVRIG",0.51868,0.51868,0.36589,0.36589,1.11186113083777
"PVRL1",3.58017,3.58017,20.56288,20.56288,0.212409937819067
"PVRL2",14.02971,14.02971,77.6727,77.6727,0.191040983721164
"PVRL3",6.76817,6.76817,6.29327,6.29327,1.06511482503733
"PVRL4",0.0253,0.0253,0.14636,0.14636,0.894396175721414
"PVT1",0.24036,0.24036,24.04404,24.04404,0.0495271529673327
"PWP1",31.04501,31.04501,40.33126,40.33126,0.775321391121393
"PWP2",2.97293,2.97293,17.23853,17.23853,0.217831700252158
"PWRN1",0,0,0.17772,0.17772,0.849098257650375
"PWWP2A",10.76581,10.76581,3.65888,3.65888,2.52545890857889
"PWWP2AP1",0,0,0.02091,0.02091,0.979518272913381
"PWWP2B",1.12592,1.12592,29.72052,29.72052,0.0692019536127644
"PXDC1",16.2942,16.2942,19.76838,19.76838,0.832717814292689
"PXDN",9.17181,9.17181,18.45119,18.45119,0.522940241702436
"PXDNL",46.75727,46.75727,0.3868,0.3868,34.4370276896452
"PXK",18.29302,18.29302,15.20001,15.20001,1.19092642535406
"PXMP2",66.53044,66.53044,22.67457,22.67457,2.8524463168708
"PXMP4",5.74345,5.74345,4.63109,4.63109,1.19753901997659
"PXN",40.45719,40.45719,32.87761,32.87761,1.22373420084829
"PXT1",0.27832,0.27832,0.08363,0.08363,1.17966464568164
"PYCARD",0.17711,0.17711,40.46716,40.46716,0.0283865593882002
"PYCR1",0.7717,0.7717,14.34279,14.34279,0.115474434571548
"PYCR2",23.42924,23.42924,92.82045,92.82045,0.260382890936891
"PYCRL",0.10121,0.10121,29.07238,29.07238,0.036618651400388
"PYDC1",0,0,0.91995,0.91995,0.520846897054611
"PYDC2",0,0,0,0,1
"PYGB",64.56957,64.56957,140.90853,140.90853,0.46205517032697
"PYGL",9.31097,9.31097,30.77637,30.77637,0.324485458848824
"PYGM",61.47013,61.47013,1.75626,1.75626,22.6648175426121
"PYGO1",2.26449,2.26449,0.64814,0.64814,1.98071159003483
"PYGO2",10.36099,10.36099,11.11253,11.11253,0.937953507648691
"PYHIN1",0.25302,0.25302,0.21953,0.21953,1.02746139906357
"PYROXD1",14.23212,14.23212,8.73949,8.73949,1.563954580784
"PYROXD2",7.79288,7.79288,6.13646,6.13646,1.2321066747379
"PYURF",113.1612,113.1612,151.56108,151.56108,0.748298320908583
"PYY",0,0,0.26135,0.26135,0.792801363618345
"PYY2",0,0,0.4077,0.4077,0.710378631810755
"PYY3",0,0,0,0,1
"PZP",2.02412,2.02412,0.10454,0.10454,2.73789994024662
"QARS",268.80372,268.80372,120.10521,120.10521,2.2278456888849
"QDPR",91.49042,91.49042,169.86591,169.86591,0.541304113851616
"QKI",283.71899,283.71899,45.78821,45.78821,6.08527212304125
