"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg__TPM","FoldChange"
"SNORA30",0,0,0,0,0,0,10.890803,12.113871,0,0,1,0,0,18.3847323333333,0.613410739727005
"SNORA30B",0,0,0,0,0,0,0.046225,0,0,0,0,0,0,0.221220666666667,0.856704302962446
"SNORA31",68.586393,70.793102,45.52792,8,8,5,0.145561,48.455482,15.046815,13.723472,4,1,1,0.455501,0.787056140806499
"SNORA31B",0,8.057027,0,0,1,0,0.0537353333333333,7.261084,10.171698,23.401487,1,1,2,0.135467333333333,0.928019065277674
"SNORA32",0,0,0,0,0,0,0.152783333333333,0,2.927516,1.029058,0,0,0,0.266349,0.910320404038171
"SNORA33",34.822505,45.112302,45.52792,4,5,5,0,96.910964,105.327706,109.787773,8,7,8,0,1
"SNORA35",0,0,0,0,0,0,0.095265,0,0,0,0,0,0,1.565513,0.426918514932491
"SNORA35B",0,0,0,0,0,0,0.0353516666666667,0,15.046815,13.723472,0,1,1,0.102282,0.939280208391924
"SNORA36A",4.352813,0,0,0,0,0,0.0449783333333333,24.227741,0,0,2,0,0,0.029142,1.01538789917556
"SNORA36B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273363333333333,0.973391057586139
"SNORA36C",4.352813,0,0,0,0,0,0.01602,0,0,0,0,0,0,0,1.01602
"SNORA37",0,0,0,0,0,0,31.9703273333333,0,15.046815,0,0,1,0,28.2727266666667,1.12631555333987
"SNORA38",8.705626,9.02246,0,1,1,0,5.19219666666667,24.227741,15.046815,13.723472,2,1,1,22.973571,0.25829262843932
"SNORA38B",0,0,9.105584,0,0,1,0,0,0,0,0,0,0,0,1
"SNORA3A",41.910207,5.82375,7.596428,5,1,1,0,11.736676,41.841537,0,1,3,0,0.0401466666666667,0.961402879081155
"SNORA3B",43.528132,54.134763,45.52792,5,6,5,3.965912,60.569353,90.28089,54.893887,5,6,4,13.5166966666667,0.3420827832962
"SNORA3C",0,0,0,0,0,0,0.187741666666667,0,0,0,0,0,0,0.150693333333333,1.03219653078724
"SNORA4",92.38505,22.912178,6.562341,11,3,1,0.313477666666667,63.009341,125.5109,72.852244,5,8,5,1.08342766666667,0.630440733643581
"SNORA40",0,8.196408,0,0,1,0,22.475906,41.952264,46.331937,19.928547,3,3,1,17.7786713333333,1.25013668876183
"SNORA40B",0,0,0,0,0,0,16.1347873333333,0,18.786367,0,0,1,0,12.302974,1.28804185690608
"SNORA40C",0,0,0,0,0,0,1.74981166666667,0,0,0,0,0,0,0,2.74981166666667
"SNORA41",5.769493,26.534683,0,1,3,0,0,32.468395,55.424891,10.683133,3,4,1,0,1
"SNORA41B",0,0,0,0,0,0,1.084088,0,0,0,0,0,0,8.82877033333333,0.212039546079535
"SNORA44",0,0,0,0,0,0,93.196816,33.968997,12.230301,0,3,1,0,432.315438,0.217386245075349
"SNORA46",0,0,0,0,0,0,0.0556073333333333,0,0,0,0,0,0,0.220874666666667,0.864632023379959
"SNORA47",0,9.02246,0,0,1,0,5.263479,0,0,0,0,0,0,10.6251416666667,0.538787326606056
"SNORA48",24.669205,8.445675,17.802325,3,1,2,0,107.066707,28.226791,27.446943,9,2,2,0,1
"SNORA48B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNORA49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNORA50A",0,0,8.458466,0,0,1,2.00179366666667,0,0,0,0,0,0,2.08770033333333,0.972177783660137
"SNORA50B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SNORA50C",0,0,0,0,0,0,0.813744333333333,0,0,0,0,0,0,0.604604333333333,1.13033742690046
"SNORA50D",0,0,0,0,0,0,5.34211066666667,0,0,0,0,0,0,13.8839986666667,0.426102609164437
"SNORA51",0,0,18.211168,0,0,2,0.194628333333333,24.227741,30.09363,26.596343,2,2,2,0.488828,0.802395127800749
"SNORA52",8.136264,16.395825,9.105584,1,2,1,43.04018,21.939192,13.322492,51.362891,2,1,4,19.2540926666667,2.17438424543596
"SNORA53",0,4.51123,0,0,2,0,0.677911,0,3.761704,6.861736,0,1,2,0.726789333333333,0.97169409586346
"SNORA54",0,18.044921,0,0,2,0,0.0441486666666667,0,0,0,0,0,0,0.148204333333333,0.909375305731007
"SNORA55",52.233758,0,72.844672,6,0,8,0.326138,24.227741,0,13.723472,2,0,1,0.693328333333333,0.783154674669315
"SNORA56",0,0,0,0,0,0,0,10.708382,13.703004,0,1,1,0,0,1
"SNORA57",6.576165,6.439248,0,1,1,0,0,0,20.964294,9.167884,0,2,1,0,1
"SNORA58B",6.900095,4.229886,0,1,0,0,0,0,28.815667,26.900694,0,2,2,0,1
"SNORA59A",19.71084,14.373973,0,3,2,0,0.0459706666666667,29.507348,12.156038,21.618687,3,1,2,0.674086,0.624801035709436
"SNORA59B",2.053226,0.663461,0.256607,15,5,2,0,0.777328,0.382974,1.253766,5,2,7,0,1
"SNORA5A",34.822505,9.02246,9.105584,4,1,1,25.9271433333333,0,15.046815,13.723472,0,1,1,3.73406966666667,5.68794826213303
"SNORA5B",8.337022,8.792221,0,1,1,0,0,0,0,0,0,0,0,0.0725016666666667,0.932399483450686
"SNORA5C",34.822505,0,18.211168,4,0,2,0,24.227741,45.140445,13.723472,2,3,1,0,1
"SNORA6",25.405129,13.697259,0,4,2,0,1.121557,64.129748,46.221866,51.978819,6,4,5,0.180954,1.79647725482957
"SNORA60",17.065477,0,0,2,0,0,0,35.194726,0,13.144896,3,0,1,0,1
"SNORA61",33.4129,25.673349,0,4,3,0,0.016984,29.714715,69.208457,89.238686,2,5,7,0.068341,0.951928270093537
"SNORA62",56.613963,27.925463,36.292612,8,4,5,0,7.595335,0,54.778403,1,0,5,0,1
"SNORA63",35.352548,69.470708,0,4,8,0,0,123.858605,83.059765,46.393611,10,6,3,0,1
"SNORA63B",50.829639,13.889718,33.665895,6,2,4,0.0969373333333333,15.571985,35.230009,40.795802,1,2,3,0.171805666666667,0.936108575454918
"SNORA63C",0,0,0,0,0,0,0,12.113871,15.046815,13.723472,1,1,1,0,1
"SNORA63D",0,9.02246,0,0,1,0,29.668743,0,0,27.446943,0,0,2,169.847511666667,0.179509450859527
"SNORA63E",7.051059,7.438611,0,1,1,0,0.0129306666666667,0,0,9.331056,0,0,1,0.181518666666667,0.857312453238149
"SNORA64",6.552594,15.362143,15.43302,1,2,2,0.372588666666667,57.312177,27.767501,10.259044,5,2,1,0.495217666666667,0.917985854010553
"SNORA65",8.705626,9.02246,9.105584,1,1,1,4.92170133333333,72.683223,30.09363,68.617358,6,2,5,20.2638213333333,0.278487165618271
"SNORA66",8.705626,9.02246,27.316752,1,1,3,0,36.341612,15.046815,13.723472,3,1,1,0,1
"SNORA67",62.679165,20.756464,27.853044,7,2,3,0.005128,54.883034,80.341637,226.843202,5,5,17,0.0241943333333333,0.981384066760768
"SNORA68",0,8.617007,9.026926,0,1,1,0.0354116666666667,0,0,0,0,0,0,0.223511333333333,0.846262423941584
