"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg__TPM","FoldChange"
"NFE2L2",40.700938,25.586816,21.041686,1040,834,601,0.112397,17.224386,11.53388,12.929438,394,367,405,0.306597333333333,0.851369409397233
"NFE2L3",0.372751,1.381388,1.971956,19,22,8,0.127328666666667,23.891718,15.851396,16.425759,222,277,261,0.116153666666667,1.01001206225786
"NFE4",0.053608,0.05434,0.166121,1,1,3,0.0803863333333333,0.311697,0.0519,0,4,1,0,0.370966,0.788047503244671
"NFIA",2.028158,1.122888,0.837852,218,194,158,0.0382893333333333,1.704016,0.034448,0.287078,99,31,30,0.113105666666667,0.932785955930509
"NFIA.AS1",0,3.759359,0.197947,0,2,1,0.113221,0,0,0,0,0,0,0.220168666666667,0.912350095861064
"NFIA.AS2",0.14508,0.270153,0.297386,6,12,5,0.528086666666667,0.50736,0.622722,0.34562,18,21,18,4.514209,0.277118017591765
"NFIB",5.368674,2.653147,2.605468,440,379,286,0.0402593333333333,3.069589,3.911223,2.715685,307,635,447,0.153458333333333,0.90186121446375
"NFIC",8.178297,6.083537,4.210873,1060,830,715,26.604497,8.660194,4.368642,4.353561,580,445,590,26.630817,0.999047440399609
"NFIL3",4.629932,3.847612,3.882771,190,155,155,0,16.961301,13.968286,13.275016,521,583,594,0,1
"NFIX",4.273426,1.282925,0.650399,90,70,46,8.016221,3.279807,0,0.053259,35,0,2,6.21513033333333,1.24962690671654
"NFKB1",2.645106,2.073345,1.618908,200,146,119,20.1832786666667,5.537722,2.140266,1.873496,129,132,137,1.36961266666667,8.93955327157547
"NFKB2",12.574454,9.751884,8.232033,195,166,138,10.272259,3.418903,1.510282,2.021172,45,36,37,21.5267553333333,0.500394257104581
"NFKBIA",20.908728,8.76934,16.07035,142,133,97,0.136259333333333,18.95513,14.725243,20.421097,111,189,174,0.111575333333333,1.02220632219859
"NFKBIB",4.91555,5.343445,4.422568,179,174,156,1.63660333333333,5.534616,6.98187,5.78336,137,224,231,6.94683866666667,0.3317801510672
"NFKBID",2.458911,2.40251,3.422247,34,33,29,2.701646,1.392587,5.764243,1.495762,20,35,38,5.972401,0.530899757486696
"NFKBIE",3.714624,3.462567,2.179716,65,56,34,0.112659333333333,6.733109,9.007632,9.20873,109,198,188,41.3295093333333,0.0262856657413967
"NFKBIL1",5.816527,5.000595,4.162933,150,129,113,0.0540296666666667,9.886365,10.460676,8.799505,194,288,266,61.812775,0.0167804983407701
"NFKBIZ",7.675366,4.574074,3.159453,195,114,109,0,7.646708,5.394914,4.279648,203,178,163,0,1
"NFRKB",3.933623,2.328754,2.223006,324,177,170,0.08599,10.426572,7.604134,6.139244,430,506,467,1.137184,0.508140618683277
"NFS1",15.014916,20.679217,12.710229,388,385,284,0.571086666666667,13.141629,10.204223,12.537992,210,246,329,1.424321,0.648052245006609
"NFU1",37.03992,36.272956,34.65524,372,365,333,10.2137176666667,47.614106,48.992651,41.628867,373,538,498,18.722943,0.568562088663272
"NFX1",11.601254,6.36172,8.655424,674,491,418,1.83580666666667,13.2148,13.54022,9.896606,692,875,802,1.09894066666667,1.35106566455269
"NFXL1",0.998531,0.544709,1.591233,46,28,36,0.905945,6.149093,6.094924,5.849378,172,264,234,4.45257133333333,0.349549759825853
"NFYA",3.557835,1.535416,1.659445,237,120,127,79.8275653333333,8.617472,9.333578,7.171183,505,748,634,195.625285,0.411074116603739
"NFYB",9.009166,11.292311,6.350175,189,241,196,3.13329066666667,13.926572,15.524255,12.81958,289,449,376,4.41076233333333,0.763901722536079
"NFYC",109.845286,85.11715,69.595709,1061,947,835,0.0486313333333333,36.962653,52.30118,41.785517,291,460,372,2.72957033333333,0.28116679392291
"NGB",0,0,0,0,0,0,0,0.462592,0.194576,0.270861,12,7,11,0.179614333333333,0.847734697470331
"NGDN",11.454082,13.295137,10.681044,159,152,128,0.0691723333333333,16.397464,18.0948,17.864793,185,233,273,0.113883333333333,0.959860248679545
"NGEF",1.01102,0.913535,0.988367,29,16,16,2.08295933333333,63.109016,77.210354,95.368199,1348,2337,3120,3.09693,0.752504761695546
"NGF",0.362259,0.126808,0.448812,6,2,7,4.31440266666667,0.407908,0.059898,0.963791,5,1,18,17.9548413333333,0.280371783293218
"NGF.AS1",0,0,0,0,0,0,0.334698,0.025092,0,0.017652,1,0,1,0.593423333333333,0.837629255251272
