"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ACSL4",10.72532,10.72532,36.054531,15.661033,10.428141,20.7145683333333,0.539974814143592
"ACSL5",6.67999,6.67999,0.1358,0,0.182111,0.105970333333333,6.94411935702917
"ACSL6",16.26432,16.26432,0.165731,0.038947,0.026724,0.077134,16.0280150844742
"ACSM1",1.51441,1.51441,0,0.159858,0,0.053286,2.38720537441872
"ACSM2A",0,0,1.918943,2.292445,1.490272,1.90055333333333,0.344761804069568
"ACSM2B",0,0,0,0.111241,0,0.0370803333333333,0.964245457037883
"ACSM3",0.62236,0.62236,1.027824,2.197071,1.355443,1.52677933333333,0.642066356407854
"ACSM4",0,0,0,0,0,0,1
"ACSM5",5.539,5.539,0.347033,0.226793,0.050724,0.208183333333333,5.41225807341601
"ACSS1",29.04343,29.04343,0.37447,0.329271,0.198105,0.300615333333333,23.0993970546249
"ACSS2",60.70077,60.70077,136.021315,95.971222,128.057604,120.016713666667,0.509853293239735
"ACSS3",5.26931,5.26931,2.79066,4.630495,1.143408,2.85485433333333,1.62634160927655
"ACTA1",82.19291,82.19291,636.770692,441.289829,564.554107,547.538209333333,0.151662926272918
"ACTA2",69.72498,69.72498,51.781238,68.388245,46.909126,55.6928696666667,1.24751102591626
"ACTB",3491.18631,3491.18631,429.465479,453.29093,375.743403,419.499937333333,8.30484382981422
"ACTBL2",0,0,0,0.022184,0.02198,0.0147213333333333,0.9854922402341
"ACTC1",18.52556,18.52556,5080.246607,4691.279529,4052.296585,4607.940907,0.00423645266754122
"ACTG1",1159.14406,1159.14406,124.614163,112.983909,79.093729,105.563933666667,10.8868359123167
"ACTG2",26.26356,26.26356,0.271346,0.303675,0.231978,0.268999666666667,21.484292483397
"ACTL10",0.74683,0.74683,0.248173,0.129837,0.099075,0.159028333333333,1.50715038602738
"ACTL6A",67.56747,67.56747,129.936939,63.089341,28.578082,73.8681206666667,0.91584334412882
"ACTL6B",40.0177,40.0177,0,0,0,0,41.0177
"ACTL7A",0,0,0,0,0,0,1
"ACTL7B",0.10373,0.10373,0,0,0,0,1.10373
"ACTL8",0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,1
"ACTN1",25.99387,25.99387,97.368685,90.347999,62.458246,83.3916433333333,0.319864253542007
"ACTN2",64.70461,64.70461,978.395053,817.138475,753.753803,849.762443666667,0.0772302662031276
"ACTN4",796.8895,796.8895,80.761957,61.78139,43.622584,62.0553103333333,12.6538033954962
"ACTR10",63.0035,63.0035,123.432299,114.333934,91.069828,109.612020333333,0.57863060277828
"ACTR1A",75.76186,75.76186,64.377145,42.659304,39.165459,48.7339693333333,1.54344929690846
"ACTR1B",70.53405,70.53405,19.202777,14.33055,13.258617,15.5973146666667,4.30997733287939
"ACTR2",55.16177,55.16177,26.040333,13.291404,11.523641,16.9517926666667,3.12847697401734
"ACTR3",37.94317,37.94317,38.861514,29.33901,25.230379,31.1436343333333,1.21153599484597
"ACTR3B",43.35769,43.35769,7.030276,2.889677,2.312428,4.07746033333333,8.73619626504878
"ACTR3C",1.34844,1.34844,0.6982,1.16039,0.413306,0.757298666666667,1.33639206843231
"ACTR5",9.43911,9.43911,1.163629,0.795908,0.976133,0.978556666666667,5.2761238411165
"ACTR6",18.31811,18.31811,7.680683,7.620821,3.561405,6.28763633333333,2.65080598377828
"ACTR8",13.44296,13.44296,17.708309,15.074514,11.257858,14.680227,0.921093808144487
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0,0,0,0,0,0,1
"ACTRT3",0.26969,0.26969,0.448872,0.581869,0.461129,0.49729,0.84799203895037
"ACVR1",9.12794,9.12794,7.233818,5.194846,4.253429,5.56069766666667,1.54372911458146
"ACVR1B",11.99079,11.99079,7.139766,4.870088,4.743164,5.58433933333333,1.97298306517009
"ACVR1C",0.58087,0.58087,0.00775,0.013681,0,0.00714366666666667,1.56965689436562
"ACVR2A",8.40185,8.40185,2.344089,1.398215,1.171016,1.63777333333333,3.56431308224614
"ACVR2B",0.85056,0.85056,1.1158,1.888897,1.517997,1.50756466666667,0.737990937820945
"ACVRL1",11.2647,11.2647,1.239071,1.061599,0.85141,1.05069333333333,5.98075772746778
"ACY1",14.97811,14.97811,29.01427,20.193338,18.22011,22.475906,0.680617395554404
"ACY3",14.35575,14.35575,0,0,0.038868,0.012956,15.15934551945
"ACYP1",32.25895,32.25895,12.321627,16.716988,15.356579,14.798398,2.10521028777728
"ACYP2",455.27652,455.27652,14.923638,15.092443,14.910934,14.9756716666667,28.5607096540438
"ADA",13.42221,13.42221,4.945909,4.204043,4.670719,4.60689033333333,2.57222972852867
"ADAD1",0,0,0,0,0,0,1
"ADAD2",2.09528,2.09528,0,0,0,0,3.09528
"ADAL",6.32732,6.32732,13.118704,10.233636,7.871906,10.408082,0.642292017185711
"ADAM10",25.70344,25.70344,24.348027,13.702235,11.245455,16.4319056666667,1.53187152974688
"ADAM11",19.9155,19.9155,11.764671,7.939555,6.243467,8.649231,2.16758205912989
"ADAM12",1.95006,1.95006,0.692991,0.787749,1.408243,0.962994333333333,1.50283673768459
"ADAM15",157.24943,157.24943,11.532537,17.778786,12.695181,14.002168,10.5484373991812
"ADAM17",11.9493,11.9493,5.863159,4.842983,3.098865,4.601669,2.31168603500135
"ADAM18",0,0,0.106287,0,0.174783,0.09369,0.914335872139272
"ADAM19",4.56397,4.56397,21.431505,16.071382,16.202989,17.9019586666667,0.294359441691722
"ADAM2",1.34844,1.34844,0,0,0,0,2.34844
"ADAM20",0,0,0.018165,0.036213,0.036804,0.030394,0.970502545628177
"ADAM21",0.41491,0.41491,0.092614,0.093693,0.038026,0.0747776666666667,1.31646762291612
"ADAM21P1",0.26969,0.26969,0.024479,0,0,0.00815966666666667,1.25941360478945
