"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACSS1",29.04343,29.04343,7.426916,3.07265,5.466344,5.32197,4.7522259675386
"ACSS2",60.70077,60.70077,183.462238,133.340645,131.295035,149.365972666667,0.410337318382392
"ACSS3",5.26931,5.26931,6.876982,2.730375,3.127256,4.244871,1.19532205844529
"ACTA1",82.19291,82.19291,43.17532,0.074509,0.342321,14.5307166666667,5.35666909554506
"ACTA2",69.72498,69.72498,25.800466,5.539749,5.485474,12.2752296666667,5.32758993824313
"ACTB",3491.18631,3491.18631,2138.164791,2243.689595,2712.36844,2364.740942,1.47614907786467
"ACTBL2",0,0,0,0.02739,0.030881,0.0194236666666667,0.980946423649179
"ACTC1",18.52556,18.52556,869.621513,0.354562,0.525835,290.167303333333,0.0670595900585953
"ACTG1",1159.14406,1159.14406,1869.624603,1654.156602,1676.836666,1733.53929033333,0.668848533132421
"ACTG2",26.26356,26.26356,5.162967,3.078347,2.858471,3.69992833333333,5.80084589942329
"ACTL10",0.74683,0.74683,0.061689,0.082599,0,0.048096,1.66666984703691
"ACTL6A",67.56747,67.56747,158.27347,137.510766,210.020503,168.601579666667,0.404285562285221
"ACTL6B",40.0177,40.0177,50.973446,92.448261,75.837415,73.086374,0.553647017466397
"ACTL7A",0,0,0,0,0.059905,0.0199683333333333,0.98042259481912
"ACTL7B",0.10373,0.10373,0.043131,0,0,0.014377,1.08808657925012
"ACTL8",0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,1
"ACTN1",25.99387,25.99387,69.241658,47.821745,50.974833,56.0127453333333,0.473470797488814
"ACTN2",64.70461,64.70461,69.76771,1.253103,0.801863,23.940892,2.63441299533313
"ACTN4",796.8895,796.8895,209.643774,167.250481,183.429698,186.774651,4.24918643571331
"ACTR10",63.0035,63.0035,157.019067,205.113642,237.357145,199.829951333333,0.318694993326809
"ACTR1A",75.76186,75.76186,115.943189,124.852514,131.407319,124.067674,0.613762593841795
"ACTR1B",70.53405,70.53405,30.556702,30.517172,34.362579,31.812151,2.18010852138283
"ACTR2",55.16177,55.16177,96.131777,93.793262,100.811332,96.9121236666667,0.573593625557524
