"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","DRG","dHs_Avg__TPM","FoldChange"
"UGT1A2P",0,0,0,0,1
"UGT1A3",0,0,0,0,1
"UGT1A4",0,0,0,0,1
"UGT1A5",0.02075,0.02075,0,0,1.02075
"UGT1A6",0,0,0,0,1
"UGT1A7",0.20745,0.20745,0,0,1.20745
"UGT1A8",0,0,0,0,1
"UGT1A9",0,0,0,0,1
"UGT2A1",0.10373,0.10373,0.01045,0.01045,1.0923153050621
"UGT2A3",0,0,0,0,1
"UGT2A3P7",0,0,0,0,1
"UGT2B10",0,0,0,0,1
"UGT2B11",0.66385,0.66385,0,0,1.66385
"UGT2B15",0,0,0.02091,0.02091,0.979518272913381
"UGT2B17",0,0,0.18817,0.18817,0.841630406423323
"UGT2B28",0,0,0.04182,0.04182,0.959858708798065
"UGT2B29P",0,0,0,0,1
"UGT2B4",0,0,0.16726,0.16726,0.856707160358446
"UGT2B7",0.43565,0.43565,1.60991,1.60991,0.550076439417451
"UGT3A1",0,0,0.01045,0.01045,0.989658073135732
"UGT3A2",0,0,0.35543,0.35543,0.737773252768494
"UGT8",89.32929,89.32929,11.42615,11.42615,7.26929016630252
"UHMK1",11.55514,11.55514,35.61654,35.61654,0.342881659490493
"UHRF1",2.28198,2.28198,1.59945,1.59945,1.26256708149801
"UHRF1BP1",1.76335,1.76335,3.00028,3.00028,0.690789144759867
"UHRF1BP1L",22.46717,22.46717,16.67402,16.67402,1.32777772119755
"UHRF2",22.32195,22.32195,7.07731,7.07731,2.88734120641649
"UHRF2P1",0,0,0.01045,0.01045,0.989658073135732
"UIMC1",16.26432,16.26432,10.61074,10.61074,1.4869267591902
"ULBP1",0.31118,0.31118,0.19862,0.19862,1.09390799419332
"ULBP2",0.41491,0.41491,2.70757,2.70757,0.381627319241444
"ULBP3",0.31118,0.31118,0.5227,0.5227,0.861088855322782
"ULK1",35.41224,35.41224,18.51391,18.51391,1.86596330515002
"ULK2",29.37536,29.37536,10.65256,10.65256,2.60675422396452
"ULK3",46.55247,46.55247,50.35658,50.35658,0.925927505297276
"ULK4",2.57242,2.57242,2.3835,2.3835,1.05583567311955
"ULK4P1",0,0,0,0,1
"ULK4P2",0.62236,0.62236,0.18817,0.18817,1.36542750616494
"ULK4P3",0,0,0.3868,0.3868,0.721084511104702
"UMOD",0.12447,0.12447,0.07318,0.07318,1.04779254179168
"UMODL1",0.60161,0.60161,0.05227,0.05227,1.52205232497363
"UMPS",6.45179,6.45179,10.47484,10.47484,0.649402518902224
"UNC119",30.78604,30.78604,88.52388,88.52388,0.355056550274631
"UNC119B",8.50558,8.50558,10.56892,10.56892,0.82164800171494
"UNC13A",15.74569,15.74569,16.54857,16.54857,0.954248123921208
"UNC13B",13.15252,13.15252,6.02146,6.02146,2.01560928923614
"UNC13C",28.23436,28.23436,4.85062,4.85062,4.99679692066824
"UNC13D",53.41917,53.41917,10.66301,10.66301,4.66596273174764
"UNC45A",23.91934,23.91934,43.08065,43.08065,0.565312444349165
"UNC45B",0.49789,0.49789,0.01045,0.01045,1.48239893116928
"UNC50",31.13871,31.13871,43.55107,43.55107,0.721390305552706
"UNC5A",22.94431,22.94431,3.75296,3.75296,5.0377680434929
"UNC5B",27.48753,27.48753,2.90619,2.90619,7.29291969924658
"UNC5C",18.08991,18.08991,0.63769,0.63769,11.6566077829137
"UNC5CL",2.63465,2.63465,0.47043,0.47043,2.47182796868943
"UNC5D",0.76758,0.76758,0.44952,0.44952,1.21942436116784
"UNC79",4.2113,4.2113,1.25447,1.25447,2.31154107173748
"UNC80",6.82521,6.82521,0.83631,0.83631,4.26137743627165
"UNC93A",0,0,0,0,1
"UNC93B1",13.31849,13.31849,35.15657,35.15657,0.396013504599579
"UNC93B2",0,0,0.12545,0.12545,0.888533475498689
