"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TAF7L",0.12447,0.12447,0.0931,0.0931,1.02869819778611
"TAF8",15.10258,15.10258,9.12409,9.12409,1.59052122215429
"TAF9",65.80412,65.80412,59.92725,59.92725,1.09645716818008
"TAF9B",11.4929,11.4929,15.11371,15.11371,0.775296315994268
"TAF9BP1",0,0,0.31034,0.31034,0.76316070638155
"TAF9BP2",0,0,0,0,1
"TAF9P1",0,0,0,0,1
"TAF9P2",0,0,0,0,1
"TAF9P3",74.20597,74.20597,74.51337,74.51337,0.995929197703665
"TAGAP",2.17826,2.17826,3.56895,3.56895,0.695621532299544
"TAGLN",230.7708,230.7708,562.09336,562.09336,0.411602793540311
"TAGLN2",50.66004,50.66004,131.98891,131.98891,0.388453744000158
"TAGLN2P1",0,0,0,0,1
"TAGLN3",231.91179,231.91179,75.32026,75.32026,3.05176882259049
"TAL1",3.56819,3.56819,3.2586,3.2586,1.07269760015028
"TAL2",1.07876,1.07876,0.80689,0.80689,1.15046295015192
"TALDO1",234.54645,234.54645,216.24705,216.24705,1.08423313458111
"TAMM41",10.35191,10.35191,6.76548,6.76548,1.46184266780676
"TANC1",11.45141,11.45141,11.63787,11.63787,0.985245931474212
"TANC2",52.58935,52.58935,32.86533,32.86533,1.58242515280377
"TANK",20.51711,20.51711,22.68608,22.68608,0.908428494710817
"TAOK1",26.98965,26.98965,20.42057,20.42057,1.30667157783383
"TAOK2",50.70153,50.70153,37.11703,37.11703,1.35638925698041
"TAOK3",49.80948,49.80948,32.67912,32.67912,1.50863442987822
"TAP1",12.61315,12.61315,20.38954,20.38954,0.636439586826084
"TAP2",32.94355,32.94355,19.0861,19.0861,1.68990246986722
"TAPBP",45.18328,45.18328,30.32052,30.32052,1.47453745978675
"TAPBPL",25.01884,25.01884,30.07224,30.07224,0.83736608625577
"TAPT1",21.69959,21.69959,19.2723,19.2723,1.11973431727036
"TARBP1",40.70229,40.70229,32.67912,32.67912,1.23822386095599
"TARBP2",23.42145,23.42145,22.06539,22.06539,1.05879198227301
"TARDBP",139.44996,139.44996,125.53377,125.53377,1.10998004722376
"TARDBPP1",0,0,0,0,1
"TARDBPP2",0,0,0,0,1
"TARM1",0,0,0,0,1
"TARS",25.57896,25.57896,26.53433,26.53433,0.965302587715045
"TARS2",27.612,27.612,27.24812,27.24812,1.01288156521567
"TARS2P1",0,0,0,0,1
"TARSL2",44.229,44.229,26.13089,26.13089,1.66706657982838
"TAS1R1",0.14522,0.14522,0,0,1.14522
"TAS1R2",0,0,0,0,1
"TAS1R3",0.56012,0.56012,0.40345,0.40345,1.11163204959208
"TAS2R1",0,0,0,0,1
"TAS2R10",0,0,0.21724,0.21724,0.82153067595544
"TAS2R12",0.33192,0.33192,0.58965,0.58965,0.837869971377347
"TAS2R13",0,0,0,0,1
"TAS2R14",9.87477,9.87477,6.73444,6.73444,1.40601905244594
