"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ACOT13",37.45841,37.45841,4.473594,5.647834,5.032359,5.05126233333333,165,201,127,6.35543592089078
"ACOT2",7.4172,7.4172,14.610747,12.124256,16.719956,14.4849863333333,110,123,100,0.543571677676004
"ACOT4",0.65172,0.65172,0.210825,0.819407,0.499504,0.509912,6,26,10,1.09391805615162
"ACOT6",0.37241,0.37241,0.113721,0.104565,0.160646,0.126310666666667,1,1,1,1.21850040190214
"ACOT7",54.80659,54.80659,141.034258,158.621084,147.569266,149.074869333333,2164,2658,1722,0.371858328099205
"ACOT8",44.47216,44.47216,15.109551,19.026084,18.961389,17.699008,206,295,187,2.43179531235026
"ACOT9",12.19648,12.19648,19.733347,15.220957,15.831859,16.928721,376,398,279,0.736052504805
"ACOX1",43.5101,43.5101,26.69153,36.454793,34.43575,32.5273576666667,665,715,462,1.32757554121995
"ACOX2",11.35856,11.35856,0,0.720589,0,0.240196333333333,0,2,0,9.96500285304289
"ACOX3",11.85511,11.85511,9.956542,12.099373,8.284384,10.113433,181,210,142,1.1567181806018
"ACOXL",0,0,0.165362,0.317846,0.200234,0.227814,4,5,4,0.814455609725903
"ACP1",54.83762,54.83762,61.586263,66.10944,74.714785,67.4701626666667,798,920,684,0.815502955233717
"ACP2",24.85848,24.85848,115.861262,97.504509,108.715051,107.360274,595,540,395,0.238634317222195
"ACP5",37.21013,37.21013,0.900021,1.872376,0.519606,1.09733433333333,4,9,1,18.2184258335541
"ACP6",6.70341,6.70341,5.681603,4.537779,4.413437,4.87760633333333,128,125,95,1.31063728380584
"ACR",1.05517,1.05517,0,0.561401,0,0.187133666666667,0,4,0,1.7312035347887
"ACRBP",2.88619,2.88619,0.871936,1.387368,0.356541,0.871948333333333,8,10,2,2.07601349396217
"ACRV1",1.86206,1.86206,0.419432,0.594965,0.365907,0.460101333333333,5,9,3,1.96017901953837
"ACSBG1",144.6509,144.6509,0.253329,0.789068,1.028992,0.690463,21,18,25,86.1603596174539
"ACSBG2",1.45861,1.45861,0.326791,0.354839,0.057953,0.246527666666667,2,2,1,1.97236697246725
"ACSF2",25.57227,25.57227,0.770281,0.767876,3.321446,1.61986766666667,2,5,7,10.142600077892
"ACSF3",30.53776,30.53776,15.821189,18.561092,20.415246,18.2658423333333,217,288,178,1.6369779973458
"ACSL1",69.45478,69.45478,62.19037,73.44608,83.471369,73.0359396666667,894,1047,659,0.951629442635696
"ACSL3",27.62053,27.62053,130.996535,121.985228,113.197501,122.059754666667,2784,3004,2053,0.232574248807214
"ACSL4",11.26545,11.26545,61.049607,65.37075,77.690858,68.0370716666667,3385,3357,2270,0.177664690924632
"ACSL5",6.39307,6.39307,0.344508,0.341116,0.484939,0.390187666666667,7,4,5,5.31803739686944
"ACSL6",6.70341,6.70341,16.646079,21.155853,18.209522,18.6704846666667,1030,1182,804,0.391622785637514
"ACSM1",0,0,0.124507,0.048926,0,0.057811,1,1,0,0.945348460169161
"ACSM2A",0.89999,0.89999,2.771496,1.037998,0.161293,1.32359566666667,12,12,4,0.817693898838108
"ACSM2B",0.31034,0.31034,0.143928,1.678159,1.180417,1.00083466666667,5,15,6,0.654896689781464
"ACSM3",2.94826,2.94826,3.546028,4.370048,3.432423,3.782833,37,79,10,0.825506556469774
"ACSM4",0,0,0.149807,0.241539,0.10526,0.165535333333333,4,7,2,0.857974847609367
"ACSM5",13.62406,13.62406,0,0.179494,0,0.0598313333333333,0,2,0,13.7984786258442
"ACSS1",11.762,11.762,0.066638,0.220548,0.348834,0.212006666666667,3,9,8,10.5296450514574
"ACSS2",32.46188,32.46188,148.399461,146.694353,101.822483,132.305432333333,739,725,433,0.251016627111848
"ACSS3",10.33442,10.33442,0.627096,0.612727,1.358752,0.866191666666667,13,15,29,6.07355621743033
"ACTA1",95.18222,95.18222,0.242012,0.585729,0.672663,0.500134666666667,3,10,8,64.1157238327937
"ACTA2",176.80245,176.80245,2.655925,3.057572,5.813821,3.84243933333333,28,47,56,36.7175379516026
"ACTB",3982.32224,3982.32224,2178.850167,2041.670166,2557.016143,2259.17882533333,20799,21935,16943,1.76239251308468
"ACTBL2",0.06207,0.06207,0.259337,0.108094,0,0.122477,9,4,0,0.946184197983567
"ACTBP1",0,0,0,0,0.113546,0.0378486666666667,0,0,1,0.96353161315105
"ACTBP12",0,0,0,0,0,0,0,0,0,1
"ACTC1",18.06197,18.06197,0.551692,0.56988,1.037101,0.719557666666667,8,10,7,11.0853915338305
"ACTG1",1354.27508,1354.27508,1435.350734,1536.991071,1807.979395,1593.4404,23732,27012,21393,0.850000464112675
"ACTG1P10",0,0,0,0.152769,0.117731,0.0901666666666667,0,2,1,0.917290934107934
"ACTG2",42.08252,42.08252,0.239946,0.184371,2.284464,0.902927,2,2,27,22.6401328059353
"ACTL10",0.62069,0.62069,0.141201,0.158296,0.137933,0.14581,3,4,2,1.41444916696485
"ACTL6A",96.95117,96.95117,67.288182,35.925033,85.845286,63.0195003333333,123,104,102,1.53002084505491
"ACTL6B",9.34133,9.34133,154.861852,109.866441,166.128293,143.618862,576,645,448,0.0715074773579673
"ACTL7A",0.40345,0.40345,0,0,0.078863,0.0262876666666667,0,0,1,1.36750157444485
"ACTL7B",0.31034,0.31034,0,0,0.088939,0.0296463333333333,0,0,1,1.27261172849318
"ACTL8",0,0,0.049515,0,0,0.016505,1,0,0,0.983762991820011
"ACTL9",0,0,0,0,0,0,0,0,0,1
"ACTN1",34.13774,34.13774,42.915893,53.04208,30.351943,42.1033053333333,709,901,468,0.815198271414854
"ACTN2",55.02383,55.02383,10.431195,12.550374,2.658834,8.546801,163,226,63,5.86833537223621
"ACTN4",726.69933,726.69933,88.341101,89.90874,113.006576,97.0854723333333,944,1111,817,7.41903273429718
"ACTN4P1",0,0,0,0,0.16696,0.0556533333333333,0,0,2,0.94728067294819
"ACTR10",66.44445,66.44445,175.090819,207.781083,223.094765,201.988889,1347,1561,1119,0.332256855694205
"ACTR1A",66.07204,66.07204,135.467299,131.59114,164.703958,143.920799,3143,3440,2547,0.462818591001558
"ACTR1B",44.81354,44.81354,28.348357,31.987461,34.845941,31.727253,679,815,581,1.39985901047057
"ACTR2",57.28933,57.28933,90.130579,85.113097,98.337326,91.1936673333333,4098,3983,3193,0.632248739918876
"ACTR3",51.64109,51.64109,83.778842,80.647357,87.559013,83.9950706666667,1903,1958,1481,0.619342858204655
"ACTR3B",18.93093,18.93093,23.73554,20.329805,21.54651,21.8706183333333,309,312,235,0.87146441383927
"ACTR3BP2",0,0,0,0,0,0,0,0,0,1
"ACTR3C",1.48965,1.48965,0.030079,0.14202,0.021249,0.0644493333333333,2,4,1,2.33890888183812
"ACTR3P2",0,0,0,0,0,0,0,0,0,1
"ACTR5",4.2517,4.2517,2.282428,2.070326,3.460384,2.60437933333333,72,72,77,1.45703310176935
"ACTR6",17.22404,17.22404,24.835879,26.636835,23.772285,25.0816663333333,388,418,287,0.698729895823757
"ACTR6P1",0,0,0,0,0,0,0,0,0,1
"ACTR8",20.32747,20.32747,23.771453,22.759294,31.53109,26.0206123333333,450,503,352,0.7893037262405
"ACTRT1",0,0,0,0,0.167548,0.0558493333333333,0,0,2,0.947104826825039
"ACTRT2",0.34138,0.34138,0,0,0,0,0,0,0,1.34138
"ACTRT3",0.74482,0.74482,1.443018,1.511988,0.769716,1.241574,29,33,11,0.778390541646183
"ACVR1",14.33785,14.33785,6.034686,8.207685,6.259893,6.834088,217,313,134,1.95783478561895
"ACVR1B",8.5034,8.5034,55.209179,56.089019,59.415097,56.9044316666667,1548,1896,1377,0.164122153114418
"ACVR1C",0.49655,0.49655,0.137088,0.073565,0.237864,0.149505666666667,13,9,9,1.30190745761149
"ACVR2A",2.94826,2.94826,25.003915,23.782342,23.796881,24.1943793333333,1564,1417,966,0.156711937522361
"ACVR2B",0.24827,0.24827,6.214092,4.560656,8.131002,6.30191666666667,990,790,922,0.170951006014403
"ACVRL1",17.75162,17.75162,2.000151,0.803904,0.719904,1.174653,17,40,28,8.62281016787506
"ACY1",20.60678,20.60678,10.842162,5.437314,8.266339,8.18193833333333,50,52,41,2.35318287006574
"ACY3",10.92408,10.92408,0,0,0,0,0,0,0,11.92408
"ACYP1",30.01017,30.01017,24.106168,34.772803,28.12398,29.0009836666667,116,175,91,1.03363844147732
"ACYP2",605.10691,605.10691,20.955971,15.854271,16.292319,17.7008536666667,172,145,100,32.4106546579932
"ADA",4.03446,4.03446,0.922875,1.829261,0.70398,1.15203866666667,13,16,8,2.33939105183364
"ADAD1",0.40345,0.40345,0,0,0,0,0,0,0,1.40345
"ADAD2",1.14827,1.14827,0,0.258936,0.627989,0.295641666666667,0,1,3,1.65807418460608
"ADAL",8.5965,8.5965,9.378484,7.193559,10.742324,9.104789,227,237,166,0.949698207453911
"ADAM10",30.755,30.755,34.061006,24.686719,34.283331,31.010352,691,616,515,0.992022830614296
"ADAM11",4.84135,4.84135,23.644833,33.066844,44.802479,33.838052,1084,1499,1443,0.167671544895794
"ADAM12",0.55862,0.55862,8.973317,5.716452,10.949544,8.54643766666667,581,454,513,0.163267184516612
"ADAM15",204.26781,204.26781,18.903104,21.508581,19.628954,20.0135463333333,201,239,154,9.76835640895074
"ADAM17",13.22061,13.22061,9.86407,13.149275,14.571838,12.5283943333333,391,394,303,1.05116761454544
"ADAM18",0,0,0,0,0,0,0,0,0,1
"ADAM19",3.28964,3.28964,18.28921,16.943459,15.284239,16.8389693333333,1567,1633,872,0.240464564955808
"ADAM1B",0.27931,0.27931,0.801417,0.629309,0.734751,0.721825666666667,20,17,13,0.742996242166987
"ADAM2",0,0,0,0,0,0,0,0,0,1
"ADAM20",0.37241,0.37241,0.055566,0.051316,0.039092,0.048658,2,2,1,1.30872982421342
"ADAM20P3",0,0,0,0,0,0,0,0,0,1
"ADAM21",0.15517,0.15517,0.175871,0.28972,0.247976,0.237855666666667,6,11,6,0.93320249776024
"ADAM21P1",0.18621,0.18621,0,0.045823,0,0.0152743333333333,0,1,0,1.16836401852636
"ADAM22",11.63787,11.63787,14.849654,14.25824,14.463086,14.52366,1382,1676,1175,0.814103761612919
