"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ACTL10",0.62069,0.62069,0.061689,0.082599,0,0.048096,1.54631827618844
"ACTL6A",96.95117,96.95117,158.27347,137.510766,210.020503,168.601579666667,0.577536896722969
"ACTL6B",9.34133,9.34133,50.973446,92.448261,75.837415,73.086374,0.139584777087349
"ACTL7A",0.40345,0.40345,0,0,0.059905,0.0199683333333333,1.37597409069889
"ACTL7B",0.31034,0.31034,0.043131,0,0,0.014377,1.29176824789994
"ACTL8",0,0,0,0,0,0,1
"ACTL9",0,0,0,0,0,0,1
"ACTN1",34.13774,34.13774,69.241658,47.821745,50.974833,56.0127453333333,0.616313769746783
"ACTN2",55.02383,55.02383,69.76771,1.253103,0.801863,23.940892,2.24626408710643
"ACTN4",726.69933,726.69933,209.643774,167.250481,183.429698,186.774651,3.87538640665614
"ACTR10",66.44445,66.44445,157.019067,205.113642,237.357145,199.829951333333,0.335828642850474
"ACTR1A",66.07204,66.07204,115.943189,124.852514,131.407319,124.067674,0.536285979061224
"ACTR1B",44.81354,44.81354,30.556702,30.517172,34.362579,31.812151,1.39623702207149
"ACTR2",57.28933,57.28933,96.131777,93.793262,100.811332,96.9121236666667,0.595322906062593
"ACTR3",51.64109,51.64109,61.541822,74.758475,82.615188,72.9718283333333,0.711637000004754
"ACTR3B",18.93093,18.93093,12.200305,11.066625,8.231572,10.4995006666667,1.73319960385526
"ACTR3C",1.48965,1.48965,0.478798,0.028455,0.143524,0.216925666666667,2.04585215695179
"ACTR5",4.2517,4.2517,2.300345,2.272068,2.6564,2.40960433333333,1.54026669565667
"ACTR6",17.22404,17.22404,26.189179,23.847515,19.715424,23.250706,0.751484925840922
"ACTR8",20.32747,20.32747,26.624084,28.334546,22.577852,25.845494,0.794452506629232
"ACTRT1",0,0,0,0,0,0,1
"ACTRT2",0.34138,0.34138,0,0,0,0,1.34138
"ACTRT3",0.74482,0.74482,0.786164,0.893232,0.943422,0.874272666666667,0.930931785449929
"ACVR1",14.33785,14.33785,7.530875,6.531985,5.489665,6.51750833333333,2.04028373763027
"ACVR1B",8.5034,8.5034,35.019207,49.193225,49.103909,44.4387803333333,0.209147339129356
"ACVR1C",0.49655,0.49655,0.202768,0.064909,0.072133,0.11327,1.34428305801827
"ACVR2A",2.94826,2.94826,16.001132,14.786883,12.909514,14.565843,0.253648967164836
"ACVR2B",0.24827,0.24827,4.136669,3.378978,3.850929,3.78885866666667,0.260661273778804
"ACVRL1",17.75162,17.75162,1.158399,0.437574,0.500078,0.698683666666667,11.0389122871808
"ACY1",20.60678,20.60678,16.513926,11.864692,15.383214,14.5872773333333,1.38618050721366
"ACY3",10.92408,10.92408,0,0,0,0,11.92408
"ACYP1",30.01017,30.01017,23.726514,23.728152,24.186164,23.8802766666667,1.24637560970316
"ACYP2",605.10691,605.10691,13.526342,21.437315,22.138132,19.0339296666667,30.2540200592032
