"Hs_symbol","Spinal_cord","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ADAM23",6.54824,6.54824,41.864549,35.696454,23.789355,33.7834526666667,0.217006634514852
"ADAM28",14.02751,14.02751,0.222073,0,0.032833,0.0849686666666667,13.8506396190858
"ADAM29",0.52758,0.52758,0.022632,0,0,0.007544,1.51614222306917
"ADAM30",0.06207,0.06207,0,0,0,0,1.06207
"ADAM32",1.70689,1.70689,1.741478,1.890163,5.623824,3.085155,0.662616228759986
"ADAM33",5.2448,5.2448,0.151082,0.049411,0.215616,0.138703,5.48413414208973
"ADAM3A",0.68275,0.68275,0.13521,0.063743,0.062082,0.0870116666666667,1.54805146218915
"ADAM3B",0,0,0,0,0,0,1
"ADAM5",0,0,0,0,0,0,1
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0,0,0,0,0,0,1
"ADAM8",11.35856,11.35856,1.440741,0.605901,0.327876,0.791506,6.89841954199428
"ADAM9",17.25507,17.25507,26.964509,19.212823,18.44891,21.5420806666667,0.809821873585701
"ADAMDEC1",0.40345,0.40345,0,0,0,0,1.40345
"ADAMTS1",29.29639,29.29639,7.164372,3.536363,3.442214,4.71431633333333,5.30183984097485
"ADAMTS10",7.94478,7.94478,2.733393,2.863047,1.555908,2.384116,2.6431658962045
"ADAMTS12",21.87919,21.87919,9.689995,10.514763,8.128071,9.44427633333333,2.19059600395483
"ADAMTS13",6.54824,6.54824,3.498026,3.363595,2.00095,2.95419033333333,1.90892176746508
"ADAMTS14",1.73792,1.73792,1.363407,0.882597,0.773,1.00633466666667,1.36463773740639
"ADAMTS15",0.68275,0.68275,5.729811,5.379448,3.798096,4.96911833333333,0.281909304863839
"ADAMTS16",0.43448,0.43448,0.036176,0.066894,0.143115,0.0820616666666667,1.32569154253377
"ADAMTS17",2.1724,2.1724,0.492449,0.402607,0.432152,0.442402666666667,2.19938583955289
"ADAMTS18",2.35861,2.35861,0.121899,0.017094,0.017158,0.0520503333333333,3.19244231343811
"ADAMTS19",0.52758,0.52758,2.13328,0.847573,1.17336,1.38473766666667,0.640565216607333
"ADAMTS2",2.57585,2.57585,0.115833,0.086629,0.03467,0.079044,3.31390564240198
"ADAMTS20",0,0,0.194401,0.034761,0.182112,0.137091333333333,0.879436832104369
"ADAMTS3",0.03103,0.03103,0.99259,0.688442,0.66207,0.781034,0.578894058170703
"ADAMTS4",39.75495,39.75495,0.02932,0.026379,0.464571,0.173423333333333,34.7316683095331
"ADAMTS5",0.46551,0.46551,0.014722,0,0,0.00490733333333333,1.4583533738766
"ADAMTS6",0.24827,0.24827,0.791118,0.693934,0.622677,0.702576333333333,0.733165365664466
"ADAMTS7",2.35861,2.35861,5.459603,4.568133,3.862321,4.630019,0.596553937029342
"ADAMTS8",1.45861,1.45861,0.317805,0.100515,0.182645,0.200321666666667,2.04829261045303
"ADAMTS9",3.69308,3.69308,11.270211,9.013448,9.75239,10.0120163333333,0.426178082009746
"ADAMTSL1",3.87929,3.87929,2.699594,2.503845,1.528651,2.24403,1.50408288456025
