"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"AASDH",4.655,3.06729,8.08391,5.26873333333333,5.317648,4.075445,5.487073,4.96005533333333,1.05179112990338
"AASDHPPT",42.17663,30.00973,45.9035,39.3632866666667,104.747918,110.344793,89.985303,101.692671333333,0.393049339768855
"AASS",11.31447,10.69408,7.86543,9.95799333333333,2.628604,2.250706,1.439504,2.10627133333333,3.52769998413961
"AATF",65.91548,48.41349,45.72871,53.35256,16.465887,17.429714,15.691305,16.5289686666667,3.10072777432466
"AATK",110.09658,87.6251,129.53919,109.086956666667,16.385879,16.887406,16.473264,16.582183,6.26127919762106
"ABAT",184.41095,210.86949,239.78623,211.68889,59.088785,64.587057,41.158971,54.9449376666667,3.80175399009739
"ABCA1",8.0013,11.27437,2.40332,7.22633,4.587007,4.124422,3.096802,3.936077,1.66657246230154
"ABCA10",4.6053,2.12776,11.16453,5.96586333333333,1.20466,0.95142,0.489229,0.881769666666667,3.7017619407547
"ABCA11P",3.11438,5.25032,6.59822,4.98764,1.784649,1.474793,0.919267,1.392903,2.50224935987794
"ABCA12",0.0497,0.02763,0.10924,0.06219,0.060479,0.006374,0,0.0222843333333333,1.03903578032596
"ABCA13",0.61294,0.35923,0.24033,0.404166666666667,0.018797,0.084847,0.059631,0.054425,1.33168946740325
"ABCA17P",11.9771,6.54909,7.55955,8.69524666666667,4.66571,1.657589,2.029971,2.78442333333333,2.56188217139203
"ABCA2",653.80406,399.10733,391.13012,481.34717,86.10463,86.558699,80.710993,84.4581073333333,5.64425289830703
"ABCA3",59.28915,43.854,59.47136,54.2048366666667,55.59978,54.652489,44.714698,51.6556556666667,1.04841229242567
"ABCA4",0.14909,1.2435,4.87219,2.08826,0.709647,0.545438,0.159905,0.471663333333333,2.09848266926992
"ABCA5",13.94844,10.58354,13.54601,12.6926633333333,10.668791,9.107596,7.662206,9.14619766666667,1.3495364256817
"ABCA6",3.2966,1.10533,0.74285,1.71492666666667,0.332708,0.201177,0.26943,0.267771666666667,2.14149498529572
"ABCA7",25.04755,30.28607,84.07266,46.46876,42.45405,52.111696,39.796489,44.7874116666667,1.03672075516244
"ABCA8",21.83378,9.45058,8.78306,13.3558066666667,0.244206,0.413915,0.141469,0.26653,11.3347545393056
"ABCA9",4.27399,5.11216,7.20997,5.53204,4.035468,0.682386,0.739211,1.81902166666667,2.3171301154715
"ABCB1",56.67174,57.67064,29.77937,48.0405833333333,2.608253,0.395444,0.72192,1.24187233333333,21.8748331937427
"ABCB10",4.88692,5.44375,6.03016,5.45361,4.784184,6.526598,5.638334,5.64970533333333,0.970510673254895
"ABCB11",0,0.13817,0,0.0460566666666667,1.713152,2.345963,2.257067,2.105394,0.336851512776371
"ABCB4",0.6295,3.48179,2.20669,2.10599333333333,2.613821,0.236469,0.112046,0.987445333333333,1.56280692668109
"ABCB5",0.08283,0,0.08739,0.05674,0.031732,0.170177,0.033162,0.078357,0.979953762993146
"ABCB6",81.18919,69.71874,70.61404,73.8406566666667,39.80428,30.533985,38.474452,36.2709056666667,2.00801819349404
