"Hs_symbol","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","FoldChange"
"ACTR5",7.00735,4.94636,5.72428,5.89266333333333,1.163629,0.795908,0.976133,0.978556666666667,3.48368254973744
"ACTR6",22.91056,19.42619,15.0317,19.1228166666667,7.680683,7.620821,3.561405,6.28763633333333,2.76122678825585
"ACTR8",18.55374,15.06013,11.47041,15.0280933333333,17.708309,15.074514,11.257858,14.680227,1.02218503171755
"ACTRT1",0,0,0,0,0,0,0,0,1
"ACTRT2",0,0.22107,0,0.07369,0,0,0,0,1.07369
"ACTRT3",1.09335,0.69083,2.84029,1.54149,0.448872,0.581869,0.461129,0.49729,1.69739329054492
"ACVR1",20.72387,14.34167,7.86543,14.3103233333333,7.233818,5.194846,4.253429,5.56069766666667,2.33364256535115
"ACVR1B",22.71177,19.23276,27.72562,23.2233833333333,7.139766,4.870088,4.743164,5.58433933333333,3.67893908667526
"ACVR1C",1.87194,0.4145,0.61176,0.966066666666667,0.00775,0.013681,0,0.00714366666666667,1.95212136236108
"ACVR2A",7.15644,6.13459,6.68561,6.65888,2.344089,1.398215,1.171016,1.63777333333333,2.90353985432157
"ACVR2B",0.71233,0.63557,0.50251,0.616803333333333,1.1158,1.888897,1.517997,1.50756466666667,0.644770344241039
"ACVRL1",30.6965,35.06662,9.85363,25.2055833333333,1.239071,1.061599,0.85141,1.05069333333333,12.7788894162625
"ACY1",21.70125,22.05135,19.77281,21.1751366666667,29.01427,20.193338,18.22011,22.475906,0.94459130423621
"ACY3",3.59479,5.22269,3.60499,4.14082333333333,0,0,0.038868,0.012956,5.0750707171223
"ACYP1",28.46012,29.12547,44.26487,33.9501533333333,12.321627,16.716988,15.356579,14.798398,2.21225932739087
"ACYP2",276.00348,372.55176,479.90019,376.15181,14.923638,15.092443,14.910934,14.9756716666667,23.6078844050688
"ADA",7.9516,7.84785,7.82173,7.87372666666667,4.945909,4.204043,4.670719,4.60689033333333,1.58264673270169
"ADAD1",0,0,0,0,0,0,0,0,1
"ADAD2",1.87194,1.43693,0.96133,1.4234,0,0,0,0,2.4234
"ADAL",17.52666,9.11898,13.39307,13.3462366666667,13.118704,10.233636,7.871906,10.408082,1.25755027590674
"ADAM10",21.23741,19.75779,11.42672,17.4739733333333,24.348027,13.702235,11.245455,16.4319056666667,1.0597793314508
