"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HEBP1",476,3.2744,454,3.35214,541,3.91256,3.51303333333,"Hebp1",5.339445,5.302585,4.724116,56,52,39,5.12204866666667,0.737176977684377
"HEBP2",2587,24.211,2432,24.4298,2321,22.8365,23.8257666667,"Hebp2",0.123225,0.263161,0.398046,5,6,8,0.261477333333333,19.6799149780205
"HECA",1289,4.92503,1325,5.43391,1476,5.92899,5.42931,"Heca",4.991547,8.115893,5.844628,498,455,389,6.317356,0.878638404363543
"HECTD1",4289,6.9576,4868,8.47606,4658,7.94403,7.79256333333,"Hectd1",7.310217,7.121609,8.249817,2115,1944,1728,7.56054766666667,1.02710289991921
"HECTD2",455,0.753085,599,1.06414,539,0.937906,0.918377,"Hectd2",0.569933,0.556231,0.202101,25,35,14,0.442755,1.329662347384
"HECTD3",924,18.3747,1057,22.5613,896,18.7325,19.8895,"Hectd3",3.329818,3.929975,5.009502,244,256,204,4.089765,4.10421699233658
"HECTD4",4314,3.39098,4587,3.87003,3785,3.12787,3.46296,"Hectd4",1.476909,3.575291,1.25533,503,530,417,2.10251,1.43849979532701
"HECW1",1954,0.752938,1729,0.715106,1615,0.654253,0.707432333333,"Hecw1",0,0,0,0,0,0,0,1.707432333333
"HECW2",537,0.231875,514,0.238223,531,0.241053,0.237050333333,"Hecw2",3.933942,2.945014,1.028492,354,310,155,2.635816,0.340240081822898
"HEG1",871,1.68531,1020,2.11837,1117,2.27223,2.02530333333,"Heg1",7.578801,7.106918,11.567633,1737,1671,1418,8.75111733333333,0.310251967022104
"HELB",236,0.914148,235,0.977041,351,1.42939,1.10685966667,"Helb",0.952744,0.816488,1.074027,128,102,89,0.947753,1.08168729128899
"HELLS",739,1.14786,876,1.46046,972,1.58727,1.39853,"Hells",3.521769,0.050833,0.220306,16,3,15,1.26430266666667,1.05927976648587
"HELQ",391,1.40802,472,1.82438,448,1.69609,1.64283,"Helq",1.506532,1.137625,2.093908,41,33,27,1.579355,1.02460886539464
"HELZ",1288,1.28179,1745,1.86396,1810,1.89372,1.67982333333,"Helz",1.322229,1.435304,1.672773,456,393,297,1.47676866666667,1.08198370295786
"HELZ2",308,3.3309,289,3.35466,660,7.504,4.72985333333,"Helz2",0.993346,1.135914,1.063298,348,373,261,1.064186,2.77584158274981
"HEMGN",1,0.00967005,0,0,1,0.0101664,0.00661215,"Hemgn",0,0.014879,0,0,1,0,0.00495966666666667,1.00164432801449
"HEMK1",538,3.47885,476,3.3037,547,3.7186,3.50038333333,"Hemk1",16.410323,3.448387,6.254411,132,100,110,8.70437366666667,0.463747943753265
"HENMT1",186,2.45479,193,2.734,264,3.66305,2.95061333333,"Henmt1",0.048538,0,0,2,0,0,0.0161793333333333,3.88771273311666
"HEPACAM",1180,11.9796,1425,15.528,1069,11.4097,12.9724333333,"Hepacam",0.048969,0.019058,0,1,2,0,0.0226756666666667,13.6626242206799
"HEPACAM2",3,0.0138153,3,0.0148286,2,0.00968294,0.0127756133333,"Hepacam2",0.064323,0.030814,0.17689,1,2,2,0.0906756666666667,0.928576335097449
"HEPH",1536,2.52389,1876,3.30867,1720,2.9713,2.93462,"Heph",0.324009,0.22048,0.232313,43,19,25,0.258934,3.12535843817071
"HEPHL1",15,0.0282213,42,0.0848155,10,0.0197799,0.0442722333333,"Hephl1",0,0,0,0,0,0,0,1.0442722333333
"HERC1",3702,2.87016,4695,3.90702,4345,3.54158,3.43958666667,"Herc1",2.773406,2.509296,2.709782,1059,1039,846,2.66416133333333,1.21162423343168
"HERC2",7463,6.17516,7218,6.4105,7691,6.69045,6.42537,"Herc2",5.633236,5.574747,5.625866,961,865,746,5.611283,1.12313600854781
"HERC3",3639,5.47533,3775,6.09657,3389,5.36091,5.64427,"Herc3",5.310595,12.730559,6.891795,475,529,533,8.310983,0.713594901848709
"HERC4",1984,2.25874,2097,2.56249,2328,2.78641,2.53588,"Herc4",10.346411,7.621923,7.545965,340,380,265,8.50476633333333,0.372011249513797
"HERC6",875,2.37462,1061,3.0906,1484,4.23408,3.2331,"Herc6",0.544311,1.115429,0.906267,54,75,39,0.855335666666667,2.28158175151415
"HERPUD1",2948,40.4789,2816,41.5025,3091,44.6209,42.2007666667,"Herpud1",73.737551,68.026371,63.470718,2481,2187,1457,68.4115466666667,0.622385881619408
"HERPUD2",616,1.71053,756,2.25327,915,2.67122,2.21167333333,"Herpud2",4.497388,3.772028,5.100562,370,314,291,4.45665933333333,0.588578677380629
"HES1",155,10.4752,202,14.6528,148,10.5155,11.8811666667,"Hes1",4.047116,4.550129,5.492753,127,122,84,4.696666,2.26117639101538
"HES3",1,0.124785,0,0,1,0.13119,0.085325,"Hes3",0,0,0,0,0,0,0,1.085325
"HES5",11,1.2651,3,0.370335,1,0.120912,0.585449,"Hes5",0,0,0,0,0,0,0,1.585449
"HES6",280,20.4156,227,17.7652,161,12.3415,16.8407666667,"Hes6",1.639427,2.262314,3.096905,67,92,85,2.332882,5.35295479008858
"HES7",8,0.397608,5,0.266732,3,0.156756,0.273698666667,"Hes7",0.020501,0,0,1,0,0,0.00683366666666667,1.26505371128862
"HESX1",44,0.258214,34,0.214164,72,0.444219,0.305532333333,"Hesx1",0,0.042083,0.05412,0,1,1,0.0320676666666667,1.26496776858591
"HEXA",1768,8.68631,1854,9.77695,2142,11.064,9.84242,"Hexa",7.03375,8.631119,8.434057,440,519,374,8.03297533333333,1.20031546637679
"HEXB",1548,3.27303,1678,3.80813,2177,4.83922,3.97346,"Hexb",3.794811,4.375598,3.743078,177,187,153,3.97116233333333,1.00046219908195
"HEXD",552,3.96391,594,4.57837,563,4.25041,4.26423,"Hexdc",1.5407,1.420693,2.381608,109,94,82,1.78100033333333,1.89292677778655
"HEXIM1",753,36.5412,805,41.93,761,38.8249,39.0987,"Hexim1",1.73387,1.76401,2.076745,205,197,175,1.85820833333333,14.0293132352727
"HEXIM2",124,2.3191,139,2.79031,122,2.39881,2.50274,"Hexim2",0.327206,0.450246,0.357148,12,7,11,0.3782,2.54153243360906
"HEY1",1377,62.5158,1496,72.9,1193,56.9422,64.1193333333,"Hey1",1.375094,1.909975,1.424789,92,105,56,1.56995266666667,25.3387286769614
"HEY2",879,11.2862,1048,14.4431,851,11.4876,12.4056333333,"Hey2",0.418533,0.412528,0.553499,34,31,32,0.46152,9.17239130035853
"HEYL",588,6.33741,658,7.61203,495,5.6089,6.51944666667,"Heyl",4.056741,4.066874,5.141659,336,265,298,4.421758,1.38690193599013
