"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,0.746664898158887
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.042919703518381
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,4.29636550099194
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.218875085302753
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,2.6148811875558
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.114650596277138
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,0.857178241068835
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,0.281539597086363
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,15.8272571849166
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,0.809454851186906
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,0.57027180059197
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.18723161865672
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.214317879414689
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,0.0507121275083014
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,1.02163340386906
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,1.5687879826914
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.917418390845864
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.932946790477592
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,0.351179479546438
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,0.752715830455657
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,1.08193523493954
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.274441244739199
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,0.654369516274811
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.813337716160024
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,0.264961392097403
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.571929830297494
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,1.27587425606821
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,1.52321715184556
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,2.28599569051797
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,0.366644819907931
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,1.12622098854435
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.386933430564705
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.0518690391913129
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,1.01323894975843
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,6.76295868803731
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,3.77532355713914
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,7.97699862843663
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.762661677274673
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,"Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,0.0527164025716452
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,"Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0.924895791257179
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,"Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,0.0598022078419831
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.769892525856625
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,6.82707877128831
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,3.81111766323229
