"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,"Abca13",0.007846,0.009002,0.008991,2,4,4,0.008613,1.08416161600138
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,"Abca2",103.016126,33.995107,47.446613,4424,2855,3399,61.4859486666667,0.930174989848651
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,"Abca3",15.899095,4.777714,6.130924,1470,804,955,8.935911,1.21850594944943
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,"Abca4",1.503687,0.819555,0.594934,84,61,75,0.972725333333333,0.529007298870463
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,"Abca5",8.437813,3.190949,3.230402,934,644,646,4.95305466666667,0.767861250392236
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,"Abca6",0.744271,0.261836,0.29088,56,30,41,0.432329,9.30805701762654
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,"Abca7",2.326388,0.985227,1.206147,237,188,232,1.50592066666667,3.41141552499401
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,17.4521546724804
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,5.65101596470082
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.644504641058702
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.0491821883517689
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.376189723388576
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,0.974283382967327
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,0.588333955477267
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,"Abcb5",0,0,0,0,0,0,0,1.02413
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,1.71596047413655
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,0.243333273583265
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.44863458999939
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,0.361451351554335
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,0.299039197188026
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,3.04088684395798
