"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.238630348019681
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1a",25.124783,38.637608,36.052522,224,1188,549,33.2716376666667,0.215861973252752
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,5.39303560684387
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,0.480325393959814
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,0.189031247490126
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,1.50238144722605
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,1.23659018671123
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,"Acad12",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,0.8186239211711
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,0.26417551872438
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,0.590430139065282
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.162067099273403
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.277554827176961
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.0968679085297731
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,0.776462078454456
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0301429560279211
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,5.13192163595305
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.342251338605923
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,3.10464574939459
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.106427062529534
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,"Acap3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,0.697785734204737
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,0.289776449167459
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat3",0.859081,0.856018,0.384914,8,16,6,0.700004333333333,20.7695352933414
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,1.30113099559702
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,0.474129695512893
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,"Acbd4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.130206783979111
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.200028757260435
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.0508280322112356
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.23586614274811
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,1.55477019094194
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.901230838480134
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.754543001612526
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.214964116243641
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.600441574183954
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,1.07721592780532
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.307979014923686
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.510457356133891
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,1.22348462632543
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,0.270831436606147
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0.342286374489707
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,1.14902626450335
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,1.39595643377557
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,1.19745330553596
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,0.533000210704883
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,1.2254712900436
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,"Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,0.47103677455937
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,"Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,0.0458120513102985
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,"Acod1",0,0.015449,0,0,1,0,0.00514966666666667,1.04866611904231
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot5",0.262587,0.519585,0.226514,2,16,4,0.336228666666667,7.46317122368527
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,3.89509931767465
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,8.46451356259494
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.792075566909083
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,"Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,0.0649643042778181
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,"Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.966616380668944
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,"Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,0.0392127372321768
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.799585290631206
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot5",0.262587,0.519585,0.226514,2,16,4,0.336228666666667,7.53393007084865
