"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.255341048117448
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,0.0549239671368306
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.37059327138087
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,2.85994345234073
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.944709698400644
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.84500924047831
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,0.468428344136917
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.739470705730339
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,1.07660596256109
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.263861593119634
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,0.668044127760681
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,2.29250611930208
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,0.251610773008185
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.504925740091022
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.539448186190737
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,1.20623759266936
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,2.4287318058875
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,0.984185363121471
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,1.09483680278657
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,0.519753854741969
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.0586572912606507
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,"Acod1",0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,5.01598895719775
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,3.91196688150147
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,6.16645326873752
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,1.08842853600872
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,"Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,0.107886849633577
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,"Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.863229094689747
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,"Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,0.048152305699693
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,1.09874800291084
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,5.0635458985244
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,3.94905651248808
