"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABR",475.702567,515.55903,441.250144,477.503913666667,3442,4631,4703,"Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,118.870349323604
"ABRA",0.023562,0,0.016861,0.0134743333333333,1,0,1,"Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.207450135482254
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,0.461115477001319
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,0.828899295453913
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,1.78540946034363
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.07383695330254
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,0.671374640568396
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,0.777498361936117
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",12.394399,14.285179,15.320303,538,517,430,13.9999603333333,2.87379562181509
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,42.3014016459936
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.0466175682698851
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,38.4289432306691
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,0.29684787692989
