"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABRACL",17.048097,16.217016,13.732567,15.6658933333333,152,196,170,"Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,0.356347440022678
"ABRAXAS1",2.109371,2.159075,1.935205,2.06788366666667,56,86,86,"Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,0.740157002227954
"ABRAXAS2",10.186842,8.464947,8.190416,8.94740166666667,471,532,542,"Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.527683047043994
"ABT1",3.263841,4.270345,3.155402,3.563196,152,271,212,"Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,1.69441615519091
"ABTB1",3.761994,3.647191,4.428543,3.94590933333333,98,109,136,"Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.107377171232545
"ABTB2",1.172037,1.371578,1.223632,1.255749,92,149,130,"Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.134829744758897
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1a",25.849155,26.174187,25.673361,1300,309,546,25.898901,1.60254949945105
"ACAA1",39.895704,46.043135,40.381622,42.1068203333333,585,998,977,"Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,33.2950730573481
"ACAA2",13.144815,9.897038,9.823666,10.955173,271,275,335,"Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.251092163345309
"ACACA",100.200507,77.444775,45.429501,74.358261,3946,4127,3502,"Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,2.43147956558197
"ACACB",5.011705,4.261474,2.549066,3.94074833333333,60,56,49,"Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,1.45877799885776
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad12",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,2.75592228373096
"ACAD10",12.856185,11.636386,10.582543,11.6917046666667,221,279,250,"Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,2.14727529204971
"ACAD11",18.399625,10.629317,9.67092,12.899954,358,253,310,"Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,1.37952138389279
"ACAD8",23.137744,24.865645,22.47821,23.4938663333333,569,801,726,"Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,1.26051475090949
"ACAD9",17.669058,19.626573,12.870046,16.7218923333333,447,569,481,"Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.506819951828457
"ACADL",0.160831,0.314712,0.317482,0.264341666666667,8,12,13,"Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.017457862552931
"ACADM",31.655912,30.807253,30.544017,31.002394,568,773,686,"Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.290668478679513
"ACADS",3.004861,4.19166,2.473391,3.223304,78,146,97,"Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,0.385560040194685
"ACADSB",3.572105,3.466148,3.181139,3.406464,336,406,350,"Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.0395603316295822
"ACADVL",223.022625,188.605112,238.198574,216.608770333333,1342,1537,1988,"Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,5.0591645447331
"ACAN",0.292759,0.315011,0.284229,0.297333,25,26,39,"Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,1.13075999177206
"ACAP1",11.286318,12.913279,6.490646,10.230081,45,54,54,"Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,9.48668452482021
"ACAP2",11.321554,4.989484,5.03907,7.11670266666667,561,490,425,"Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.377014055114535
"ACAP3",201.068487,222.065102,155.227804,192.787131,2075,3473,3111,"Acap3",26.341607,23.504182,26.967993,2641,611,998,25.604594,7.28397249738147
"ACAT1",109.114332,109.952951,112.925312,110.664198333333,760,1074,1157,"Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,2.55148152383786
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.740992104171875
"ACAT2",119.603573,70.690947,60.766009,83.686843,2428,1983,1817,"Acat3",0.439284,0.279318,1.026169,16,4,8,0.581590333333333,53.5453721581084
"ACBD3",65.899098,64.268898,51.033552,60.400516,1039,1267,1242,"Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,3.16023307295085
"ACBD4",3.64765,3.399864,4.113433,3.72031566666667,75,106,119,"Acbd4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.0381249040715294
"ACBD5",28.434973,21.567845,22.642447,24.2150883333333,1235,1449,1480,"Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.474299234975476
"ACBD6",45.008644,45.056697,44.61445,44.8932636666667,636,975,991,"Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,1.44476721478218
"ACBD7",1.034596,0.949647,0.691054,0.891765666666667,40,52,53,"Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.670413580415356
"ACCS",5.273883,5.411674,5.203006,5.29618766666667,72,100,76,"Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,0.872591609455751
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.600157841512318
"ACD",12.408905,8.62736,10.509139,10.5151346666667,165,217,228,"Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,1.13517437217984
"ACE",5.405634,2.557996,4.848241,4.27062366666667,108,104,195,"Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,1.95718553631554
"ACE2",0.05341,0,0.099057,0.0508223333333333,1,0,1,"Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.706648799827668
"ACER1",0.145606,0.072291,0.066789,0.0948953333333333,3,2,2,"Acer1",0.010316,0,0,1,0,0,0.00343866666666667,1.09114325539246
"ACER2",0.989215,1.238033,0.764366,0.997204666666667,43,73,48,"Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.862250122754796
"ACER3",5.100368,4.487993,5.453281,5.01388066666667,507,602,712,"Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,0.501441959123303
"ACHE",150.826048,123.139185,143.64468,139.203304333333,4252,4881,6215,"Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,2.82517314356713
"ACIN1",80.771096,83.773455,54.064282,72.869611,1809,2688,1954,"Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,1.59087452881463
"ACKR1",5.527193,8.511619,6.913666,6.98415933333333,150,313,243,"Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0.0210137298042025
"ACKR2",0.648149,0.227417,0.267559,0.381041666666667,15,14,12,"Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,1.2408410989633
"ACKR3",1.953183,0.627658,0.254604,0.945148333333333,33,11,7,"Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,0.664302189252376
"ACKR4",0.058436,0.043248,0,0.0338946666666667,2,2,0,"Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0.820991791363197
"ACLY",258.665498,200.768091,176.389823,211.941137333333,8902,9754,9291,"Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,0.828241060958349
"ACMSD",0.069346,0.050982,0.281347,0.133891666666667,2,2,7,"Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.979002111013099
"ACO1",12.481148,12.32891,11.425298,12.078452,956,1358,1328,"Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,1.64892674061687
"ACO2",69.325062,71.569862,65.685688,68.860204,2171,3126,3037,"Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,0.424166283497024
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,3.00811667657327
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,1.09186813738545
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,0.382426300991161
"ACOT1",2.514575,1.663513,2.042674,2.07358733333333,51,52,55,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,2.99938748591104
"ACOT11",1.059936,0.383645,0.558014,0.667198333333333,60,46,67,"Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,0.175743722837367
"ACOT12",0.137311,0.78691,0.64326,0.522493666666667,4,17,11,"Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,1.21285082868527
