"Hs_symbol","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACO2","Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,194.64864,168.23135,188.20215,183.694046666667,1.57707881542618
"ACOT1","Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,2.23639,3.31599,4.85035,3.46757666666667,0.26371216908794
"ACOT11","Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,4.55561,7.12938,9.43851,7.04116666666667,2.96022873961075
"ACOT12","Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,0.0497,0,0,0.0165666666666667,1.04548939239925
"ACOT13","Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,37.93578,57.75354,36.3339,44.00774,3.8999098747608
"ACOT2","Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,8.051,10.61118,19.33584,12.6660066666667,0.18734582792047
"ACOT4","Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,2.96529,3.31599,4.67556,3.65228,0.429952768678297
"ACOT6","Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,1.62345,0.19343,0.26218,0.69302,1.85677172547676
"ACOT7","Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,154.75809,102.10494,213.74293,156.868653333333,1.37040124875118
"ACOT8","Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,66.89287,65.57375,49.87991,60.7821766666667,0.16682406732945
"ACOT9","Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,13.46803,14.06534,14.22331,13.9188933333333,0.580774534661642
"ACOX1","Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,62.50292,72.70314,76.18538,70.4638133333333,0.649320280697774
"ACOX2","Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,13.50116,16.5247,11.05529,13.6937166666667,0.0983075985994013
"ACOX3","Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,8.46514,6.68725,23.55258,12.9016566666667,1.24621804067956
"ACOXL","Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,0,0.05527,0,0.0184233333333333,1.04188369603996
"ACP1","Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,58.74247,61.70509,55.34201,58.5965233333333,0.807147497474266
"ACP2","Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,38.03517,21.63685,46.29677,35.32293,0.590295166166386
"ACP5","Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,4.42308,6.63199,1.9882,4.34775666666667,0.202489642074216
"ACP6","Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,9.44253,12.54551,9.70069,10.56291,0.636732564149797
"ACR","Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,2.81619,1.3264,1.81342,1.98533666666667,0.437133276983835
"ACRBP","Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,3.9261,2.45936,2.16299,2.84948333333333,1.64457611194576
"ACRV1","Acrv1",0,0.036969,0,0,3,0,0.012323,5.84774,3.01203,4.1075,4.32242333333333,0.190199639637834
"ACSBG1","Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,88.3125,109.42775,56.1067,84.61565,1.33740408831018
"ACSBG2","Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,0.59637,0.77373,0.10924,0.493113333333333,0.679224171418111
"ACSF2","Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,51.30441,52.55848,47.82616,50.5630166666667,0.32633958900129
"ACSF3","Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,61.67463,58.77597,55.18907,58.5465566666667,0.138170715384774
"ACSL1","Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,34.42382,22.99088,27.48529,28.2999966666667,1.01096483628724
"ACSL3","Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,44.29706,41.69861,41.796,42.5972233333333,3.26130443169661
"ACSL4","Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,16.20139,7.04648,11.47041,11.57276,1.65506282364943
"ACSL5","Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,9.19404,8.12418,3.23356,6.85059333333333,3.32683992462565
"ACSL6","Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,35.4509,34.34816,47.73876,39.1792733333333,3.34856123165327
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,0.0994,0.46977,0,0.189723333333333,0.863401294978945
"ACSM3","Acsm3",0.578683,7.953216,0.307985,1,9,5,2.946628,0.59637,0.22107,1.02687,0.61477,2.44408058113539
"ACSM4","Acsm4",0,0,0,0,0,0,0,0.16566,0,0.10924,0.0916333333333333,0.916058505603225
"ACSM5","Acsm5",1.167392,0.530411,1.04196,16,37,32,0.913254333333333,7.48776,8.98081,5.4621,7.31022333333333,0.230228991037946
"ACSS1","Acss1",6.481707,7.349056,11.038161,90,441,254,8.28964133333333,57.94731,78.25742,61.83098,66.0119033333333,0.138626734523931
"ACSS2","Acss2",21.66178,26.37256,25.142039,306,1411,776,24.3921263333333,43.78352,30.83873,37.47001,37.3640866666667,0.661872301404108
"ACSS3","Acss3",1.880805,1.868718,1.826704,43,165,88,1.85874233333333,12.72257,14.9496,21.32404,16.33207,0.164939463857077
"ACTA1","Acta1",0.383569,0.39472,0.53884,2,13,10,0.439043,40.80167,32.41383,12.49729,28.57093,0.0486641103272707
"ACTA2","Acta2",10.206045,9.622577,10.670508,95,326,175,10.1663766666667,30.26579,39.46031,26.13069,31.9522633333333,0.338865241325356
"ACTB","Actb",1341.615807,1028.725086,1137.997089,2783,10848,6712,1169.445994,3995.79691,3014.15431,4181.63155,3730.52759,0.313664033233103
"ACTBL2","Actbl2",0,0.059496,0.105002,0,4,4,0.0548326666666667,0,0,0,0,1.05483266666667
"ACTC1","Actc1",0,0.029694,0,0,1,0,0.009898,12.0765,11.13621,6.51082,9.90784333333333,0.0925845714077913
"ACTG1","Actg1",421.073874,536.035053,489.351942,3202,14564,7993,482.153623,1819.21101,1453.84166,1057.48459,1443.51242,0.334475229364937
"ACTG2","Actg2",0,0.312093,0.151151,0,9,2,0.154414666666667,1.52406,3.59233,6.42343,3.84660666666667,0.238190293965125
"ACTL10","Actl10",0.106591,0.285117,0.45635,1,10,9,0.282686,0.18222,0.80136,0.65545,0.546343333333333,0.829496252449327
"ACTL6A","Actl6a",12.522326,10.655135,12.492026,71,254,145,11.889829,57.40064,40.37221,15.20649,37.65978,0.333417029274352
"ACTL6B","Actl6b",25.579593,21.634274,24.562795,168,689,394,23.925554,82.51446,59.10757,87.50286,76.3749633333333,0.322139784320415
"ACTL7A","Actl7a",0,0,0,0,0,0,0,0,0.22107,0,0.07369,0.931367526939806
"ACTL7B","Actl7b",0,0,0.053651,0,0,1,0.0178836666666667,0,0.05527,0,0.0184233333333333,0.999470095932602
"ACTL9","Actl9",0,0.032174,0.056975,0,1,1,0.0297163333333333,0,0.22107,0,0.07369,0.959044354826191
"ACTN1","Actn1",10.569857,10.026463,10.456415,149,708,399,10.3509116666667,196.73593,153.64099,75.39884,141.925253333333,0.0794185170355712
"ACTN2","Actn2",2.203623,1.072808,0.807368,6,43,15,1.36126633333333,204.83663,117.0269,46.4934,122.785643333333,0.0190754458251257
"ACTN4","Actn4",32.219291,44.111705,43.53803,489,2007,1154,39.956342,605.08392,637.55483,640.02714,627.555296666667,0.0651594890969789
