"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACACB","Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,20.49195,31.50193,31.19952,27.7311333333333,0.0722155872723434
"ACAD10","Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,24.91503,22.63165,26.08699,24.5445566666667,0.0878522847724766
"ACAD11","Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,18.22243,17.18789,9.94102,15.1171133333333,0.554695485171662
"ACAD8","Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,43.56816,32.08223,31.52725,35.72588,0.324855233784278
"ACAD9","Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,27.96314,25.78184,27.98781,27.2442633333333,0.901438297971777
"ACADL","Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,1.32527,1.63036,0.52436,1.15999666666667,7.7342804541365
"ACADM","Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,52.48059,49.82279,36.42129,46.2415566666667,0.889530714730188
"ACADS","Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,17.75858,19.89596,16.93251,18.1956833333333,0.241643563960995
"ACADSB","Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,15.12461,11.57834,8.215,11.6393166666667,9.36305601964241
"ACADVL","Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,850.20868,1070.84452,774.50407,898.51909,0.0211411874167859
"ACAN","Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,0.71233,1.18823,1.63863,1.17973,0.717223234070275
"ACAP1","Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,120.28457,95.39005,24.71054,80.1283866666667,0.0135030007581399
"ACAP2","Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,6.75886,7.87548,5.09068,6.57500666666667,5.85372567328874
"ACAT1","Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,91.26122,90.63713,80.1181,87.3388166666667,0.431693813723639
"ACAT2","Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,14.59451,10.77698,17.1073,14.1595966666667,1.35261872622381
"ACBD3","Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,8.61424,9.22951,9.74439,9.19604666666667,0.92754789928384
"ACBD5","Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,27.4496,28.9044,23.68367,26.6792233333333,1.08225960579096
"ACBD6","Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,159.59532,134.10426,263.79763,185.832403333333,0.182792895614949
"ACBD7","Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,60.8629,83.23141,60.76041,68.2849066666667,0.0208483598544214
"ACCS","Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,16.40018,12.6284,11.6015,13.54336,0.190557729896438
"ACCSL","Accsl",0,0.034594,0.15719,0,1,5,0.063928,0,0.0829,0,0.0276333333333333,1.035318693438
"ACD","Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,21.63499,14.56273,22.17613,19.45795,0.705992324092427
"ACE","Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,35.79878,27.88197,7.51585,23.7322,0.219931870193513
"ACE2","Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.66263,0.829,0,0.49721,0.958351867807455
"ACE3P","Ace3",0.03383,0.034681,0,1,1,0,0.022837,0,0,0,0,1.022837
"ACER1","Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.6295,0.3316,0.37142,0.444173333333333,0.703962359088937
"ACER2","Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,1.95477,1.13296,1.42015,1.50262666666667,1.89770361273755
"ACER3","Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,22.21479,21.27762,19.8602,21.1175366666667,0.250129090626578
"ACHE","Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,124.93958,128.46708,62.90155,105.43607,0.392583072010582
"ACIN1","Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,84.9662,86.90664,82.0626,84.6451466666667,0.711208325328729
"ACLY","Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,34.88766,21.19472,31.22137,29.10125,1.427470066304
"ACMSD","Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.0497,0.2487,0,0.0994666666666667,1.08893039049236
"ACO1","Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,16.64867,16.08256,13.32753,15.35292,0.52988257346904
"ACO2","Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,194.64864,168.23135,188.20215,183.694046666667,1.23171755906083
"ACOT1","Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,2.23639,3.31599,4.85035,3.46757666666667,0.361990131861195
"ACOT11","Acot11",16.39184,11.025737,12.582761,571,446,944,13.333446,4.55561,7.12938,9.43851,7.04116666666667,1.78250825958091
"ACOT12","Acot12",0.095005,0.210018,0.265278,4,5,8,0.190100333333333,0.0497,0,0,0.0165666666666667,1.17070564317802
"ACOT13","Acot13",123.393218,148.425882,153.998995,274,274,555,141.939365,37.93578,57.75354,36.3339,44.00774,3.17588408127135
"ACOT2","Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,8.051,10.61118,19.33584,12.6660066666667,0.186538032812316
"ACOT4","Acot4",1.124605,1.253735,2.055501,47,57,95,1.477947,2.96529,3.31599,4.67556,3.65228,0.532630667113759
"ACOT6","Acot6",1.865273,2.034413,1.302298,80,89,113,1.73399466666667,1.62345,0.19343,0.26218,0.69302,1.61486259268447
"ACOT7","Acot7",111.188515,131.036078,129.630967,1570,1672,2878,123.951853333333,154.75809,102.10494,213.74293,156.868653333333,0.791492488819186
"ACOT8","Acot8",8.592737,6.335262,7.813267,92,79,179,7.580422,66.89287,65.57375,49.87991,60.7821766666667,0.138881833935602
"ACOT9","Acot9",7.906744,9.434484,8.697412,173,191,328,8.67954666666667,13.46803,14.06534,14.22331,13.9188933333333,0.648811305932433
"ACOX1","Acox1",42.462694,49.530815,42.902378,2083,2319,3937,44.9652956666667,62.50292,72.70314,76.18538,70.4638133333333,0.64319679461083
"ACOX2","Acox2",0.34875,0,0.118511,1,0,2,0.155753666666667,13.50116,16.5247,11.05529,13.6937166666667,0.0786563190842344
"ACOX3","Acox3",9.86655,14.350914,13.065142,304,335,636,12.4275353333333,8.46514,6.68725,23.55258,12.9016566666667,0.965894616397039
"ACOXL","Acoxl",0.051151,0.052153,0,1,1,0,0.0344346666666667,0,0.05527,0,0.0184233333333333,1.01572168744497
"ACP1","Acp1",35.477273,40.812405,33.525439,463,546,899,36.605039,58.74247,61.70509,55.34201,58.5965233333333,0.630993838175236
"ACP2","Acp2",14.524213,21.164139,23.563349,907,1033,1751,19.750567,38.03517,21.63685,46.29677,35.32293,0.571280097723394
"ACP5","Acp5",0.06068,0,0.126958,1,0,4,0.062546,4.42308,6.63199,1.9882,4.34775666666667,0.198690042616
"ACP6","Acp6",8.264773,7.340749,10.902368,110,97,263,8.83596333333333,9.44253,12.54551,9.70069,10.56291,0.850647746400632
"ACR","Acr",0.807444,0.628591,0.846833,11,11,18,0.760956,2.81619,1.3264,1.81342,1.98533666666667,0.589868479378652
