"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABRACL",11.912176,11.774747,14.945013,12.877312,113,90,104,"Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,0.296722444257173
"ABRAXAS1",7.491499,5.007126,3.562498,5.35370766666667,275,121,99,"Abraxas1",3.576158,3.463709,2.394861,158,35,60,3.14490933333333,1.53289424585725
"ABRAXAS2",7.8423,8.782454,8.707067,8.44394033333333,412,353,319,"Abraxas2",19.151046,15.849001,18.553229,1604,384,645,17.851092,0.500975770174658
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,2.1520260083998
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,0.176783506865202
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,0.301331508200645
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",25.849155,26.174187,25.673361,1300,309,546,25.898901,1.68483001096092
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,35.0045588753247
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,0.387077069497707
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,1.8061126062154
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,1.73461879253325
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",3.621239,3.400602,3.793902,278,56,108,3.60524766666667,4.25590675796445
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,3.31598734862459
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,1.57843734777039
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,1.94791175092908
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.625668446394084
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.0179621719102183
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.314973388006527
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,0.459298255768431
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.0567326843354964
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,9.48652697957739
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,1.58276630683
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,7.89529045405383
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.58239336998255
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",26.341607,23.504182,26.967993,2641,611,998,25.604594,7.94327468406396
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,2.80891028270926
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.777617564907387
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",0.439284,0.279318,1.026169,16,4,8,0.581590333333333,56.1919913521643
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,2.99737234489897
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.0432991414043473
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.387247186915981
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,1.07040141587402
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.711847578492462
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,2.39616746533275
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.600157841512318
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,1.27489770241685
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,3.52413514642249
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.744338400560752
"ACER1",0,0,0,0,0,0,0,"Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0.996573117240848
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,1.27295097349014
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,0.534126884731821
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,1.24135014972527
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,2.41237891682231
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0.0149352025068353
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,1.07007530776753
