"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,11.4955790502073
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,2.90530892289909
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,2.0374372744495
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,39.8379769959546
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,5.42046271719925
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.141540063507164
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.576831221705786
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,0.919255335958078
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,1.03654343727004
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,3.42215188900462
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.912760482825955
