"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"ABT1",4.02236,4.495368,5.868998,4.79557533333333,215,183,215,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,1.83872964801843
"ABTB1",8.227788,5.243431,7.957303,7.14284066666667,219,121,132,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.307469652463634
"ABTB2",3.451672,3.840048,4.832426,4.041382,318,267,292,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.889493811508294
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1a",25.124783,38.637608,36.052522,224,1188,549,33.2716376666667,1.32237846663353
"ACAA1",37.51069,45.687812,49.761725,44.3200756666667,672,620,569,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,33.0379364591828
"ACAA2",24.508458,12.44024,15.340642,17.42978,617,249,284,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,1.08149089083912
"ACACA",52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,3.07440168124928
"ACACB",5.82404,4.214339,4.586609,4.874996,290,101,72,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,1.90786267276317
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad12",3.5386,1.843828,2.742705,30,115,59,2.70837766666667,5.28519650057217
"ACAD10",24.09517,13.699953,18.003391,18.5995046666667,465,241,262,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,7.98366864004951
"ACAD11",21.296656,12.759557,10.656436,14.9042163333333,568,268,245,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,1.4045419322127
"ACAD8",29.394922,40.292933,40.865493,36.851116,722,686,705,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,1.71538966884574
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.552284054026624
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.0472380708497166
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.668667180604262
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,0.786772939460716
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0375980842227826
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,14.8541175607471
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,0.558431897542767
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,9.01483433667151
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,0.470413456703793
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",20.858138,22.288186,21.60155,324,1404,830,21.5826246666667,9.357973270128
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,2.99030797843324
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,3.27501007064672
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",0.859081,0.856018,0.384914,8,16,6,0.700004333333333,52.277931644488
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,4.50662707673232
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",49.52793,55.202241,55.661162,120,558,315,53.4637776666667,0.0984314327125295
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,0.538372406175079
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.921356332738729
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,1.2539027549005
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,3.39157349788719
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.89665511774875
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.799543739487649
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.800671650198349
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.626380402700414
"ACER1",0,0,0,0,0,0,0,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.984186097780857
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,0.724638622665947
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.884773137737217
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.786819463548901
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,1.97945512235092
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,0.0281838016744688
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,0.951653487226788
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,0.659104536580612
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,0.49566982803518
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,2.40604639114606
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,1.03265809703907
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,"Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,0.902515935735512
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,"Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,0.25773353905346
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0.994876716535415
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,4.90387252603861
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,2.25660581542983
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot1",10.727808,10.211123,13.832099,46,140,108,11.5903433333333,0.45888491788548
