"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ACAD9",20.618117,20.88167,21.133159,20.8776486666667,574,471,475,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.859279372557045
"ACADL",0.63777,0.16945,0.095375,0.300865,23,5,4,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.0778680379887011
"ACADM",31.38729,31.831206,37.816546,33.6783473333333,662,516,582,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,0.825226648504681
"ACADS",3.919399,3.709052,4.464577,4.03100933333333,114,83,88,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,1.08461676657895
"ACADSB",7.753468,4.374615,3.829584,5.31922233333333,527,304,282,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0533976837707032
"ACADVL",417.243124,362.292121,441.590667,407.041970666667,2854,1977,2042,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,21.4568060464809
"ACAN",0.61022,0.60714,1.230414,0.815924666666667,58,65,66,"Acan",0.614366,0.464376,0.611317,65,34,81,0.563353,1.16155766910395
"ACAP1",11.702953,8.178989,5.156753,8.34623166666667,76,54,37,"Acap1",0,0.108492,0.177938,0,2,7,0.0954766666666667,8.53165745200719
"ACAP2",18.902318,8.651381,7.061189,11.538296,805,452,432,"Acap2",40.253599,39.743015,50.029419,1571,1340,3149,43.342011,0.282763359559854
"ACAP3",213.831943,213.096372,204.054479,210.327598,2582,2252,2362,"Acap3",35.732662,34.21104,38.286445,1186,1304,2426,36.0767156666667,5.69973888463889
"ACAT1",113.018886,107.505607,145.26679,121.930427666667,828,668,739,"Acat1",36.845443,39.308077,35.252442,744,836,1402,37.1353206666667,3.22353203061218
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat2",17.578099,21.025242,19.912122,358,390,757,19.5051543333333,4.33416441976548
"ACAT2",94.414141,82.903806,86.300184,87.8727103333333,2278,1511,1430,"Acat3",1.550678,3.144767,2.78883,43,56,68,2.49475833333333,25.4302878358303
"ACBD3",43.967242,69.083492,58.658097,57.236277,939,748,717,"Acbd3",8.711635,8.351731,8.308599,404,380,741,8.45732166666667,6.15779805875272
"ACBD4",5.340975,3.641431,4.100437,4.36094766666667,153,68,74,"Acbd4",41.732106,45.944524,42.770953,202,247,451,43.4825276666667,0.120518053893865
"ACBD5",15.374346,21.627524,21.759596,19.5871553333333,885,847,801,"Acbd5",26.608624,30.755417,29.504275,1046,980,1737,28.9561053333333,0.687244056069772
"ACBD6",30.045769,28.430908,40.527744,33.0014736666667,567,434,470,"Acbd6",32.968509,32.791544,33.694855,319,349,678,33.151636,0.995603070572276
"ACBD7",1.327791,0.639002,1.059258,1.00868366666667,81,30,45,"Acbd7",0.4743,0.485264,0.373866,2,2,3,0.444476666666667,1.3905961328555
"ACCS",14.477036,14.943544,19.448083,16.2895543333333,190,194,188,"Accs",1.881498,1.749502,1.683049,33,31,62,1.77134966666667,6.23867660630819
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.034594,0.15719,0,1,5,0.063928,0.939913227210864
"ACD",13.137008,9.048602,13.611827,11.932479,198,130,153,"Acd",14.365661,13.762332,12.201474,225,224,391,13.4431556666667,0.895405360052086
"ACE",6.841322,8.479831,10.149919,8.49035733333333,209,183,161,"Ace",5.506368,4.122808,3.689021,187,217,398,4.439399,1.744743736088
"ACE2",0,0.095415,0.225191,0.106868666666667,0,0,1,"Ace2",0.371849,0.51982,0.412893,16,22,36,0.434854,0.771415535424975
"ACER1",0,0,0,0,0,0,0,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,0.983628809963242
"ACER2",2.060095,1.631226,2.154176,1.948499,103,62,73,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.620835486015282
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,1.15791748705979
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,1.47430412786573
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,1.83897497170542
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.0415754992884991
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.446785041757487
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,0.569528282033958
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,1.00534114441231
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,4.44276680120925
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.922577377796982
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,0.995858841389598
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.329999439787116
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,3.57250307936094
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,2.26637795203519
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,0.63057549082044
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot5",1.231387,1.047701,0.685341,19,18,23,0.988143,2.90598748010916
