"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ACER3",7.649808,4.8069,3.760922,5.40587666666667,518,375,350,"Acer3",3.481609,5.184627,5.45389,351,403,381,4.70670866666667,1.12251685530819
"ACHE",52.081818,67.700639,62.028934,60.603797,1662,1679,1380,"Ache",33.834013,47.679276,42.808478,660,1514,1703,41.440589,1.45153020849923
"ACIN1",122.816081,100.430979,109.79734,111.0148,3076,1982,1940,"Acin1",45.807958,21.09828,21.753088,1080,1089,980,29.5531086666667,3.66623250098959
"ACKR1",2.616941,4.886551,6.520383,4.674625,86,122,141,"Ackr1",101.103231,14.233693,28.400341,431,187,207,47.9124216666667,0.116016030420084
"ACKR2",0.123068,0.277159,0.172717,0.190981333333333,7,9,4,"Ackr2",0.649428,0.359553,0.708918,12,16,18,0.572633,0.757316763245674
"ACKR3",2.012493,0.697493,1.28327,1.33108533333333,52,13,22,"Ackr3",3.231514,3.181414,3.449357,127,255,243,3.28742833333333,0.54370246033267
"ACKR4",0.105038,0.101865,0.037545,0.0814826666666667,4,3,1,"Ackr4",0.132857,0.125531,0.088747,4,6,5,0.115711666666667,0.969320926702986
"ACLY",200.668971,184.300449,184.729433,189.899617666667,7551,5465,5135,"Acly",44.180974,41.640376,34.502339,2485,3516,3246,40.1078963333333,4.6438673513894
"ACMSD",0.185122,0.039662,0.088863,0.104549,6,1,2,"Acmsd",0.102752,0.079444,0,3,4,0,0.060732,1.041308266367
"ACO1",9.64322,6.563351,6.68116,7.62924366666667,860,462,416,"Aco1",7.262014,5.414308,4.996443,412,554,518,5.89092166666667,1.25226262669749
"ACO2",71.653142,76.994982,73.567485,74.0718696666667,2492,1993,1982,"Aco2",263.104087,251.75769,261.873345,6115,11826,11858,258.911707333333,0.288836045274359
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.073883,0.014681,0,5,1,0.0295213333333333,0.971325185425978
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot3",0.889756,0.635427,0.487761,33,39,32,0.670981333333333,3.45756026797826
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot2",2.118218,1.538339,1.968624,59,81,106,1.87506033333333,2.00952953914822
"ACOT1",4.205801,4.758707,5.368048,4.77751866666667,99,81,76,"Acot1",10.961634,13.839671,14.384726,95,194,228,13.0620103333333,0.410860078304119
