"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCF2P1",0.036536,0,0,0.0121786666666667,1,0,0,0,0,0,0,0,0,0,1.01217866666667
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCF3",46.460597,40.982435,31.451225,39.631419,710,879,744,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,0.845673377298164
"ABCG1",2.981022,2.516257,2.216058,2.57111233333333,133,150,148,4.150456,4.415328,3.848561,4.138115,183,146,140,0.695023823587704
"ABCG2",0,0.032841,0.010415,0.0144186666666667,0,3,1,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.214550094995467
"ABCG4",12.913126,10.418173,10.808669,11.3799893333333,598,780,776,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,3.27481207949953
"ABCG5",0.106507,0.151389,0.042838,0.100244666666667,5,10,3,0,0.053623,0,0.0178743333333333,0,2,0,1.08092387305178
"ABCG8",0.375379,0.464493,0.42013,0.420000666666667,27,45,55,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,1.242900227544
"ABHD1",0.400221,0.717874,0.22597,0.448021666666667,14,18,14,0.539133,1.449996,2.556852,1.515327,16,11,17,0.575679292062887
"ABHD10",22.938499,24.352688,21.626771,22.9726526666667,576,818,829,17.896254,16.509149,18.709231,17.704878,474,316,439,1.28162571638621
"ABHD11",6.937606,7.064101,6.864255,6.95532066666667,76,110,135,8.315591,5.793527,10.881287,8.330135,88,44,86,0.852647969902543
"ABHD12",64.546737,62.306897,62.683147,63.178927,766,1044,1187,34.456652,32.027544,41.779576,36.087924,424,313,435,1.73045347590768
"ABHD12B",1.904262,0.479376,0.66991,1.01784933333333,10,10,16,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.449761680578942
"ABHD13",2.367033,2.196661,1.88721,2.15030133333333,196,246,214,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,0.742356598867846
"ABHD14A",22.540257,19.428712,18.954588,20.3078523333333,283,320,352,19.98651,11.809536,18.625674,16.80724,220,94,202,1.19658365548694
"ABHD14A.ACY1",3.863768,4.694379,6.380052,4.97939966666667,22,47,62,5.286409,7.547299,9.72672,7.52014266666667,36,39,52,0.701795721104513
"ABHD14B",3.320588,2.072545,1.528819,2.30731733333333,54,55,44,6.270991,5.484107,6.977415,6.244171,142,105,131,0.456548766357577
"ABHD15",0.626613,0.218831,0.501833,0.449092333333333,33,16,41,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,0.419216965720228
"ABHD16A",37.200716,47.134845,37.037113,40.457558,666,1034,935,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,0.922307302671026
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,22.251861,16.580488,18.393927,19.0754253333333,855,595,608,1.10266155257549
"ABHD17B",10.201998,14.689547,11.447473,12.113006,457,762,669,6.982168,5.876005,6.383279,6.41381733333333,292,190,217,1.7687252612824
"ABHD17C",22.112876,26.685209,23.848278,24.2154543333333,525,820,771,5.189827,4.249834,4.998582,4.81274766666667,101,79,94,4.33795784357403
"ABHD18",4.011071,3.517854,4.147912,3.892279,213,284,273,3.285167,2.22549,2.818459,2.776372,157,105,137,1.2954971067469
"ABHD2",13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.349217279441203
"ABHD3",1.597983,1.039653,1.180823,1.27281966666667,33,27,32,3.984849,5.25904,2.915345,4.053078,43,53,50,0.449789151615444
"ABHD4",25.455379,4.883742,6.507743,12.282288,182,133,112,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.456842959825554
"ABHD5",10.403327,7.362645,6.909279,8.22508366666667,314,407,402,2.814933,3.503613,4.082079,3.466875,117,93,117,2.06522091320368
"ABHD6",11.668832,13.764524,17.829011,14.420789,180,342,395,11.831495,8.409419,12.306665,10.849193,138,99,156,1.30142103348304
"ABHD8",9.661101,10.705984,15.55678,11.9746216666667,265,375,569,3.366122,1.881682,2.264601,2.504135,60,36,33,3.70266033319683
"ABI1",25.555257,19.141618,16.288946,20.328607,935,970,821,12.69711,14.372399,14.823763,13.964424,447,426,457,1.42528753529037
"ABI2",43.432644,40.900572,32.384224,38.9058133333333,3163,4154,3817,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,1.76480095561917
"ABI3",0.107534,0.068506,0,0.05868,1,1,0,0,0.122185,0,0.0407283333333333,0,1,0,1.01724913802353
"ABI3BP",1.876574,1.343379,0.53984,1.25326433333333,21,26,23,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.381489914982708
"ABITRAM",8.026917,12.043578,11.681156,10.5838836666667,142,241,232,13.474933,12.693075,15.766697,13.978235,185,143,177,0.773381087068447
"ABL1",18.289946,25.341736,17.462119,20.3646003333333,1256,2037,1573,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,0.927146933181566
"ABL2",4.651018,3.942953,3.604234,4.06606833333333,834,1003,998,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.500918073742531
"ABLIM1",78.965193,95.017141,84.824801,86.269045,7302,12899,12481,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,5.93959454047712
"ABLIM2",29.024891,22.325349,27.889239,26.4131596666667,811,842,921,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,9.12210386064656
"ABLIM3",59.162438,43.070208,35.850085,46.027577,2210,2652,2304,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,1.29244339792879
