"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg__TPM","FoldChange"
"POLR2B",110.242171,102.621294,81.825858,2096,2878,2344,0,62.21017,55.462472,48.769854,1446,1115,952,0,1
"POLR2C",22.076637,25.542406,20.125039,507,674,639,0,20.772578,19.199908,17.046074,681,590,535,0,1
"POLR2D",13.442668,13.163677,12.419709,522,710,750,0,6.104747,3.752019,3.352035,319,272,245,0,1
"POLR2E",75.420857,81.727325,84.126339,939,1308,1402,0,87.01778,68.055144,63.48816,1477,1248,1057,0,1
"POLR2F",29.457855,36.998321,32.033888,258,452,389,0,44.696694,35.342378,33.038803,360,295,263,0,1
"POLR2G",121.322716,97.651439,99.892921,710,891,987,0,34.837405,42.757084,26.143647,375,380,295,0,1
"POLR2H",38.783711,37.4348,32.413216,249,391,360,27.5068273333333,23.406033,28.413408,25.318198,242,268,224,0,28.5068273333333
"POLR2I",83.869882,83.72856,87.78616,312,432,530,20.306257,60.972809,64.252198,48.03157,271,287,239,11.0140473333333,1.7734454017744
"POLR2J",10.937582,10.357473,9.691241,130,166,164,0,15.445765,15.874378,12.392335,249,242,186,0,1
"POLR2J2",24.798246,17.013646,24.691274,73,66,88,0,1.174214,1.018368,0.729534,44,41,30,0,1
"POLR2J2.1",1.129799,0.56573,3.505871,27,18,120,3.33135666666667,0,0,0.018808,0,0,1,0,4.33135666666667
"POLR2J3",53.961081,51.594199,42.02646,722,861,747,0,22.424825,25.037275,13.998042,351,392,235,0,1
"POLR2J3.1",50.779303,59.184826,48.42414,348,287,226,0,68.784426,80.109922,59.866475,407,411,277,0,1
"POLR2J4",2.309434,2.716273,2.346419,53,85,87,0,1.8675,1.505977,1.700037,46,30,38,0,1
"POLR2K",52.170026,51.382879,49.303775,613,817,801,0,16.134163,17.089812,16.277353,176,216,198,0,1
"POLR2L",27.405941,30.409677,27.98984,235,325,308,0,82.794087,84.159643,86.768838,931,855,876,0,1
"POLR2M",27.723461,34.297738,81.296375,657,781,813,0,60.584928,29.29561,24.208521,409,357,322,0,1
"POLR3A",20.000821,19.872658,15.902637,1460,2103,1670,0,3.306552,2.270168,2.100143,442,313,276,0,1
"POLR3B",2.489636,2.352471,1.655833,142,216,161,4.83510333333333,1.414059,1.209389,0.898909,126,107,78,0,5.83510333333333
"POLR3C",10.682105,11.438742,9.147126,301,446,397,0,6.103478,4.022864,3.205832,205,167,144,0,1
"POLR3D",13.919485,10.981791,10.883567,534,627,637,0,7.154002,3.613971,4.233731,260,163,154,0,1
"POLR3E",18.611428,19.065715,15.153239,346,513,452,0,12.103004,7.373681,7.92624,317,263,187,0,1
"POLR3F",8.92349,8.372619,8.47325,208,284,279,0,4.14935,3.189881,1.862074,117,107,70,0,1
"POLR3G",1.999228,1.607948,1.886049,60,37,58,0,0.478678,0.270328,0.292744,16,14,15,0,1
"POLR3GL",17.774011,18.434247,14.794693,262,361,348,0,16.858156,14.442145,13.10137,356,295,255,0,1
"POLR3H",19.622644,23.32923,24.178897,449,723,718,0,8.008745,7.498063,5.155159,204,186,145,0,1
"POLR3K",5.945408,5.236894,6.575684,103,127,168,0,5.661821,4.703255,4.452976,118,102,97,0,1
"POLRMT",30.585372,25.813317,23.310909,294,519,519,0,30.978298,43.584587,32.330367,623,459,406,0,1
"POM121",17.62247,18.994578,14.914036,1593,2344,1953,0,6.699784,4.984399,4.201294,838,593,501,0,1
"POM121C",46.235606,34.063705,29.797513,1161,1673,1422,3.33135666666667,12.281773,7.353487,6.080126,721,564,508,0,4.33135666666667
"POM121L12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"POM121L2",0.020015,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"POM121L9P",0.017299,0.016158,0.024364,1,2,3,0,0.013754,0,0.014085,2,0,2,0,1
"POMC",0,0.042153,0,0,1,0,0,0,0,0,0,0,0,0,1
