"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ADAMTS2",2.34039,2.34039,1.05629,1.019052,1.068975,1.04810566666667,1.63096565492959
"ADAMTS20",0,0,1.283844,0.25905,0.359154,0.634016,0.611989111489728
"ADAMTS3",0.45543,0.45543,6.587764,4.025588,2.784121,4.46582433333333,0.266278224699623
"ADAMTS4",2.37835,2.37835,25.829682,6.699742,10.583665,14.3710296666667,0.219786837528928
"ADAMTS5",4.52898,4.52898,2.810816,3.243508,4.167592,3.40730533333333,1.25450350766107
"ADAMTS6",1.05001,1.05001,1.385549,0.272905,0.54382,0.734091333333333,1.18218110003433
"ADAMTS7",0.97411,0.97411,30.711528,21.35642,27.594435,26.5541276666667,0.0716448012392771
"ADAMTS8",0.35422,0.35422,1.292831,3.322689,5.300198,3.30523933333333,0.314551618423382
"ADAMTS9",29.72933,29.72933,11.33945,7.446555,7.577687,8.78789733333333,3.1395231226373
"ADAMTSL1",1.82171,1.82171,5.919842,5.793045,6.199496,5.97079433333333,0.404790310123911
"ADAMTSL2",0.0506,0.0506,0.70847,0.709747,0.641205,0.686474,0.622956535351271
"ADAMTSL3",8.1724,8.1724,1.068124,0.941684,1.198236,1.069348,4.43250724382752
"ADAMTSL4",11.84113,11.84113,1.307851,0.581012,0.686961,0.858608,6.90900394273564
"ADAMTSL5",17.72374,17.72374,5.943779,4.096958,2.883372,4.30803633333333,3.52743252385424
"ADAP1",2.4163,2.4163,34.213031,38.13869,48.991537,40.4477526666667,0.0824242517435083
"ADAP2",3.88379,3.88379,1.058876,0.353861,4.97029,2.12767566666667,1.56147584356306
"ADAR",42.98734,42.98734,105.908597,112.956385,96.851585,105.238855666667,0.414041922081823
"ADARB1",10.68991,10.68991,68.1759,68.438509,91.97377,76.1960596666667,0.151431433812518
"ADARB2",0.10121,0.10121,1.417302,0.902524,0.536378,0.952068,0.564124815324056
"ADAT1",23.21418,23.21418,38.849966,55.207581,52.832268,48.9632716666667,0.484639600095577
"ADAT2",4.28861,4.28861,3.889025,2.159954,2.429168,2.826049,1.3822640535968
"ADAT3",0,0,0.789433,1.103201,1.650664,1.18109933333333,0.458484391204558
"ADCK1",9.7917,9.7917,6.371801,4.972601,7.045702,6.13003466666667,1.51355505330876
"ADCK2",7.2742,7.2742,11.198469,11.32432,12.399282,11.6406903333333,0.654568681125037
"ADCK5",0.24036,0.24036,7.056568,12.014195,5.892048,8.320937,0.13307245827324
"ADCY1",1.29038,1.29038,8.094792,11.432533,9.663837,9.73038733333333,0.213448026511127
"ADCY10",0.50603,0.50603,0.112042,0.05848,0.015777,0.0620996666666667,1.41797427046238
"ADCY10P1",1.44219,1.44219,2.283359,2.212481,2.87769,2.45784333333333,0.706275491563624
"ADCY2",0.13916,0.13916,12.940722,10.140875,15.029355,12.7036506666667,0.0831282136205457
