"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"PDE7B","Pde7b",11.235768,5.285936,3.383068,647,530,351,6.634924,2.60303,2.60303,2.11902870639434
"PDE8A","Pde8a",6.460823,6.135935,7.793299,309,437,498,6.79668566666667,8.36314,8.36314,0.832699891987802
"PDE8B","Pde8b",49.023754,26.292433,24.766649,981,1087,971,33.3609453333333,4.93426,4.93426,5.79026623931768
"PDE9A","Pde9a",18.264023,16.940752,18.019892,174,303,315,17.7415556666667,25.6644,25.6644,0.702868081286909
"PDGFA","Pdgfa",29.264021,22.328554,28.331764,368,626,592,26.6414463333333,19.93565,19.93565,1.32030514138961
"PDGFB","Pdgfb",7.44427,7.294889,5.757336,286,446,370,6.832165,8.55132,8.55132,0.820008648019331
"PDGFC","Pdgfc",2.202317,1.970323,2.067952,94,149,153,2.08019733333333,2.91665,2.91665,0.786436708241312
"PDGFD","Pdgfd",1.861264,2.030326,1.977623,73,154,123,1.95640433333333,14.42642,14.42642,0.191645523286241
"PDGFRA","Pdgfra",10.743417,5.61148,5.219132,1034,885,879,7.191343,16.29768,16.29768,0.473551539859681
"PDGFRB","Pdgfrb",4.526363,1.677116,2.247994,376,253,344,2.81715766666667,25.31942,25.31942,0.145031982720997
"PDGFRL","Pdgfrl",0.646052,0.711484,1.100379,14,28,42,0.819305,33.42122,33.42122,0.0528541696081661
"PDHA1","Pdha1",77.046269,70.191473,61.767594,3191,5144,4538,69.6684453333333,188.25438,188.25438,0.373404543310085
"PDHA2","Pdha2",0,0,0,0,0,0,0,0,0,1
"PDHB","Pdhb",62.747419,69.458727,65.518183,1199,2428,2360,65.9081096666667,115.07687,115.07687,0.576412076468522
"PDHX","Pdhx",21.630589,22.555045,17.852866,557,1069,857,20.6795,28.05835,28.05835,0.746067825599182
"PDIA2","Pdia2",0,0.024202,0,0,1,0,0.00806733333333333,24.37857,24.37857,0.0397212030990451
"PDIA3","Pdia3",123.789044,93.791933,87.533063,2855,3904,3582,101.70468,160.66646,160.66646,0.635287492532465
"PDIA4","Pdia4",18.418106,14.431819,11.230828,519,873,686,14.6935843333333,26.64707,26.64707,0.567640054925652
"PDIA5","Pdia5",1.50824,0.551084,0.868227,27,25,40,0.975850333333333,12.13701,12.13701,0.150403351549046
"PDIA6","Pdia6",45.317001,36.913857,32.812447,1336,1984,1730,38.3477683333333,61.49002,61.49002,0.629664838214699
"PDIK1L","Pdik1l",5.38698,3.434269,2.398702,207,249,200,3.73998366666667,2.35213,2.35213,1.41402143313853
"PDILT","Pdilt",0.032795,0,0,1,0,0,0.0109316666666667,0.03136,0.03136,0.980192819836591
"PDK1","Pdk1",25.488975,25.073792,15.463354,798,961,924,22.008707,2.2476,2.2476,7.08483403128464
"PDK2","Pdk2",60.706932,51.787388,49.769786,1058,1728,1743,54.0880353333333,94.52444,94.52444,0.57669048186342
"PDK3","Pdk3",29.272563,19.023002,19.109038,362,504,536,22.468201,8.99038,8.99038,2.34907991487811
"PDK4","Pdk4",4.299574,3.592228,2.464122,151,247,189,3.45197466666667,46.8127,46.8127,0.0931128061512248
"PDLIM1","Pdlim1",9.852005,10.02785,10.430126,87,165,176,10.103327,98.29831,98.29831,0.111817884916672
"PDLIM2","Pdlim2",17.080975,27.330774,32.934811,138,389,546,25.7821866666667,114.94096,114.94096,0.230998489806076
"PDLIM3","Pdlim3",2.20133,0.804706,0.832427,20,26,33,1.27948766666667,1.57854,1.57854,0.8840226122793
"PDLIM4","Pdlim4",6.640221,9.953101,8.128404,85,193,198,8.24057533333333,106.18057,106.18057,0.0862150232391312
"PDLIM5","Pdlim5",7.075973,4.9308,4.422447,430,519,419,5.47640666666667,15.11638,15.11638,0.401852442463299
"PDLIM7","Pdlim7",22.096296,25.709582,20.498612,245,446,403,22.7681633333333,196.92069,196.92069,0.120089331405086
"PDP1","Pdp1",55.955694,45.84778,33.630434,2510,3498,2545,45.144636,17.65669,17.65669,2.47335599187208
"PDPK1","Pdpk1",21.342434,9.300683,7.490158,2338,1590,1456,12.7110916666667,16.87264,16.87264,0.76715536522118
"PDPN","Pdpn",4.704734,6.264459,7.238473,95,259,302,6.069222,19.61157,19.61157,0.342973485280355
"PDPR","Pdpr",5.417229,2.789087,2.641609,409,370,355,3.615975,1.01403,1.01403,2.29190975308213
"PDRG1","Pdrg1",51.830241,59.008325,58.936257,299,702,706,56.5916076666667,86.72581,86.72581,0.656495593106141
"PDS5A","Pds5a",19.998258,10.559828,9.267613,984,771,653,13.275233,9.69079,9.69079,1.33528326718605
"PDS5B","Pds5b",21.419157,11.424052,10.60725,2014,1884,1691,14.4834863333333,6.43962,6.43962,2.08122005335398
"PDSS1","Pdss1",3.066984,2.730399,2.087363,74,87,84,2.62824866666667,5.21651,5.21651,0.583647201832968
"PDSS2","Pdss2",7.364988,7.523277,6.127895,146,258,264,7.00538666666667,9.189,9.189,0.785689141885039
"PDX1","Pdx1",0,0,0,0,0,0,0,0.05227,0.05227,0.950326437131155
"PDXDC1","Pdxdc1",88.683425,75.291742,73.860996,1354,2092,2011,79.278721,24.66082,24.66082,3.12845501429806
"PDXK","Pdxk",32.284844,19.408403,17.691641,2497,2710,2544,23.128296,165.32891,165.32891,0.145063753499016
"PDXP","Pdxp",62.623078,82.019664,75.2052,1435,3686,3531,73.2826473333333,84.07051,84.07051,0.873189161947346
"PDYN","Pdyn",13.110408,10.756132,11.390963,317,511,422,11.752501,0,0,12.752501
"PDZD11","Pdzd11",22.084724,29.010132,28.119891,291,675,672,26.4049156666667,137.32283,137.32283,0.198122867112151
"PDZD3","Pdzd3",0.338832,0.371231,0.36618,7,12,17,0.358747666666667,0.04182,0.04182,1.30420578090905
"PDZD4","Pdzd4",29.560499,29.620844,26.212034,1508,2815,2561,28.464459,88.1789,88.1789,0.330397201580194
"PDZD7","Pdzd7",2.066062,0.873956,0.98173,58,48,55,1.30724933333333,64.77255,64.77255,0.0350792136435844
"PDZD8","Pdzd8",14.615629,7.181588,6.665053,1283,1129,1046,9.48742333333333,12.00111,12.00111,0.806655995782924
"PDZD9","Pdzd9",0.461061,0.1981,0.162618,9,7,5,0.273926333333333,0.20908,0.20908,1.05363278966928
"PDZK1","Pdzk1",0,0,0.03174,0,0,2,0.01058,0.28226,0.28226,0.788124093397595
"PDZK1IP1","Pdzk1ip1",1.430444,0.325191,1.070895,5,5,11,0.942176666666667,0.31362,0.31362,1.47849200428333
"PDZRN3","Pdzrn3",6.147202,2.608016,1.821841,336,235,175,3.52568633333333,5.7183,5.7183,0.673635641953073
"PEAK1","Peak1",7.61819,1.430997,2.416361,808,241,306,3.82184933333333,3.89932,3.89932,0.984187465471399
"PEAR1","Pear1",1.454267,2.094637,2.906292,74,84,110,2.151732,6.73233,6.73233,0.407604434885733
"PEBP1","Pebp1",210.074047,276.765448,288.88947,3306,8021,8527,258.576321666667,820.38264,820.38264,0.316023627753646
"PEBP4","Pebp4",0.074624,0.084675,0.208565,1,2,5,0.122621333333333,13.07787,13.07787,0.079743692286783
"PECR","Pecr",2.053505,3.742363,3.036771,31,74,80,2.944213,8.01816,8.01816,0.437363386766258
"PEF1","Pef1",28.917207,33.82276,34.221248,603,1292,1328,32.320405,163.77127,163.77127,0.202222177446347
"PEG10","Peg10",10.85342,4.86838,4.57303,1099,866,813,6.76494333333333,74.93377,74.93377,0.102259420720627
"PEG3","Peg3",49.039401,12.319345,13.654912,6528,2874,3211,25.0045526666667,11.68749,11.68749,2.04962153007937
"PELI1","Peli1",9.564697,6.59021,5.617073,467,565,465,7.25732666666667,15.16865,15.16865,0.510699821362122
"PELI2","Peli2",4.683859,3.471818,5.430297,309,369,337,4.528658,3.50207,3.50207,1.22802577481025
"PELI3","Peli3",6.903268,5.544833,5.695219,349,318,350,6.04777333333333,40.47762,40.47762,0.169917496069768
"PELO","Pelo",6.533349,6.16771,5.310639,139,248,218,6.00389933333333,18.7439,18.7439,0.354737378802229
"PELP1","Pelp1",7.339927,4.806652,4.512813,372,431,411,5.55313066666667,22.54913,22.54913,0.278274852050444
"PEMT","Pemt",3.999829,4.483411,5.904994,15,41,40,4.796078,410.37949,410.37949,0.0140893703767293
"PENK","Penk",82.956207,114.801857,61.738245,1277,3016,1697,86.4987696666667,9.55489,9.55489,8.28987982505423
"PEPD","Pepd",18.196864,28.210323,25.153763,276,716,711,23.85365,84.85455,84.85455,0.289485531052227
"PER1","Per1",23.19851,12.638314,10.549067,1185,1035,921,15.4619636666667,47.05314,47.05314,0.342578313647488
"PER2","Per2",49.876069,30.225436,18.447881,585,353,283,32.8497953333333,1.02449,1.02449,16.7201593158442
"PER3","Per3",5.834621,2.481201,2.292488,465,363,330,3.53610333333333,3.62751,3.62751,0.980247116339745
"PERP","Perp",2.524318,2.533095,2.666598,67,121,127,2.57467033333333,22.27733,22.27733,0.15356874406701
"PES1","Pes1",17.352515,18.172379,18.379311,445,912,934,17.9680683333333,72.90571,72.90571,0.256652271297216
"PET100","Pet100",38.778025,53.614247,64.254272,109,212,278,52.2155146666667,241.46488,241.46488,0.219477207035785
"PET117","Pet117",0,1.499605,0.940143,0,19,12,0.813249333333333,16.33949,16.33949,0.104573394796118
"PEX1","Pex1",17.934345,11.42655,12.523336,281,322,285,13.9614103333333,7.07731,7.07731,1.85227635603107
"PEX10","Pex10",3.800375,5.556307,5.287283,85,215,222,4.88132166666667,53.01188,53.01188,0.108889408527655
"PEX11A","Pex11a",4.009833,3.959314,4.218265,106,197,202,4.06247066666667,2.93755,2.93755,1.28569050975014
"PEX11B","Pex11b",27.061132,34.035687,41.863898,368,891,963,34.320239,62.16952,62.16952,0.559134199531673
"PEX11G","Pex11g",0.59945,0.574954,0.720705,24,27,28,0.631703,6.5128,6.5128,0.217189729528272
"PEX12","Pex12",25.39985,12.916853,15.373234,114,202,166,17.8966456666667,3.65888,3.65888,4.05604902179637
"PEX13","Pex13",24.124797,32.186013,28.241519,460,854,771,28.1841096666667,5.57194,5.57194,4.44071456322892
"PEX14","Pex14",14.604237,18.124217,17.689924,400,945,937,16.806126,41.92026,41.92026,0.414865287395743
"PEX16","Pex16",13.027291,17.110142,12.41586,162,384,320,14.184431,69.98906,69.98906,0.213898183748313
"PEX19","Pex19",34.489402,41.319607,42.936418,943,2019,1958,39.581809,29.9296,29.9296,1.31207028218923
"PEX2","Pex2",11.07154,13.198687,13.253244,243,474,491,12.5078236666667,30.73456,30.73456,0.425650258477403
"PEX26","Pex26",3.194911,3.004369,2.707316,182,307,281,2.96886533333333,11.38433,11.38433,0.320474772017003
"PEX3","Pex3",14.985837,15.568755,12.822738,292,539,546,14.45911,14.08144,14.08144,1.02504203842604
"PEX5","Pex5",15.648962,15.11639,12.089677,569,981,933,14.2850096666667,23.40635,23.40635,0.626271837725291
"PEX5L","Pex5l",76.903338,56.435896,59.43595,3194,3976,4187,64.2583946666667,9.0322,9.0322,6.50489370892393
"PEX6","Pex6",15.210859,14.651999,12.537396,618,1001,970,14.133418,8.17497,8.17497,1.64942424879863
"PEX7","Pex7",11.065181,14.122746,17.796469,298,550,577,14.328132,14.62505,14.62505,0.980997308808612
"PF4V1","Pf4",4.347722,4.738895,2.800829,9,19,14,3.962482,0.66905,0.66905,2.9732374704173
"PFAS","Pfas",7.154343,4.376625,4.062075,302,293,276,5.197681,4.01431,4.01431,1.23599877151592
"PFDN1","Pfdn1",64.207761,84.469957,82.809534,387,910,953,77.1624173333333,194.9658,194.9658,0.398857440090737
"PFDN2","Pfdn2",99.768983,93.555704,94.778336,834,1456,1528,96.034341,154.19547,154.19547,0.625239518911216
"PFDN5","Pfdn5",328.95105,450.879138,511.981273,825,2051,2347,430.603820333333,992.27662,992.27662,0.434525299038382
"PFDN6","Pfdn6",71.39171,66.537621,72.686374,340,597,604,70.205235,144.25378,144.25378,0.490212612711352
"PFKFB1","Pfkfb1",0.365245,1.038397,0.75819,8,22,20,0.720610666666667,0.18817,0.18817,1.44811825468297
"PFKFB2","Pfkfb2",9.741465,5.676043,4.971524,350,367,354,6.796344,7.41184,7.41184,0.926829801803173
"PFKFB4","Pfkfb4",5.369756,4.397182,4.336858,128,260,249,4.70126533333333,8.76039,8.76039,0.58412269728293
"PFKL","Pfkl",52.274604,39.623589,32.523116,1767,2465,2288,41.4737696666667,163.39493,163.39493,0.258364230981251
"PFKM","Pfkm",134.587327,136.360611,124.883369,4788,8143,7520,131.943769,144.78694,144.78694,0.911904516275601
"PFKP","Pfkp",115.462704,70.718209,71.298398,3486,3786,3548,85.826437,391.1338,391.1338,0.221420436085846
"PFN1","Pfn1",66.345703,90.164688,99.665851,634,1600,1805,85.3920806666667,609.85094,609.85094,0.141429070513777
"PFN2","Pfn2",196.26722,193.281342,174.37849,5254,9132,8337,187.975684,302.34857,302.34857,0.622965468404878
"PFN3","Pfn3",0,0.111986,0,0,1,0,0.0373286666666667,0.05227,0.05227,0.985800855927344
"PFN4","Pfn4",5.774905,6.838334,6.782309,87,173,207,6.46518266666667,0.60633,0.60633,4.64735307605951
"PGA5","Pga5",0,0,0,0,0,0,0,0.12545,0.12545,0.888533475498689
"PGAM1","Pgam1",274.145263,342.061644,310.385022,5477,11788,11404,308.863976333333,426.15447,426.15447,0.725414336254829
"PGAM2","Pgam2",3.063968,4.747739,4.626177,29,82,81,4.14596133333333,1.42173,1.42173,2.1249112549018
"PGAM5","Pgam5",21.978878,24.064406,21.174448,566,1139,1099,22.4059106666667,21.85917,21.85917,1.02391778295829
"PGAP1","Pgap1",5.325385,1.507777,1.561792,875,425,433,2.798318,1.27538,1.27538,1.66931149961765
"PGAP2","Pgap2",11.020806,16.352632,16.820043,135,295,290,14.7311603333333,10.08804,10.08804,1.41875032317103
"PGAP3","Pgap3",2.938318,1.809958,2.031999,86,110,128,2.26009166666667,12.9106,12.9106,0.234360248060232
"PGBD5","Pgbd5",56.038944,55.575172,49.054666,1670,2747,2354,53.5562606666667,11.92793,11.92793,4.22003063651077
"PGC","Pgc",0,0,0,0,0,0,0,0.09409,0.09409,0.914001590362767
"PGD","Pgd",11.015557,13.02402,10.760617,339,700,617,11.6000646666667,109.73491,109.73491,0.113785839232331
"PGF","Pgf",1.073047,1.573884,2.489108,23,57,98,1.712013,47.84764,47.84764,0.0555198367822888
"PGGT1B","Pggt1b",4.532734,1.436894,1.20717,376,181,171,2.392266,3.82614,3.82614,0.702894238459721
"PGK1","Pgk1",141.429784,170.592451,170.536863,3586,7616,7739,160.853032666667,616.77144,616.77144,0.261995006869639
"PGK2","Pgk2",0,0,0,0,0,0,0,0,0,1
"PGLS","Pgls",7.388369,14.997561,15.472876,90,286,320,12.619602,139.84223,139.84223,0.0967011243715752
"PGLYRP1","Pglyrp1",9.038859,10.040303,7.126025,67,130,93,8.73506233333333,0.02091,0.02091,9.53567144345078
"PGLYRP2","Pglyrp2",0,0,0.013224,0,0,1,0.004408,0.01045,0.01045,0.994020485922114
"PGLYRP3","Pglyrp3",0,0,0,0,0,0,0,0,0,1
"PGLYRP4","Pglyrp4",0,0,0,0,0,0,0,0.06272,0.06272,0.940981632038542
"PGM1","Pgm1",5.215938,5.256602,3.839339,88,146,114,4.77062633333333,32.96124,32.96124,0.169918010453486
"PGM2","Pgm2",22.528994,26.080014,25.80945,770,1598,1606,24.8061526666667,6.87869,6.87869,3.2754369910057
"PGM2L1","Pgm2l1",61.746067,15.288008,13.371901,8057,3505,2866,30.1353253333333,13.91418,13.91418,2.08763239637267
"PGM3","Pgm3",3.45086,3.828807,4.389259,128,209,201,3.889642,7.76727,7.76727,0.557715457605389
"PGM5","Pgm5",1.883993,1.403389,1.445922,70,74,81,1.577768,5.56149,5.56149,0.392863206375381
"PGP","Pgp",19.915144,22.477094,24.529591,680,1457,1641,22.3072763333333,111.20891,111.20891,0.207713240716208
"PGPEP1","Pgpep1",18.532243,18.992553,28.593743,147,306,354,22.039513,5.88556,5.88556,3.34606233915615
"PGPEP1L","Pgpep1l",0.29034,0.637567,1.014746,2,13,21,0.647551,0.43907,0.43907,1.14487203541176
"PGR","Pgr",5.175226,2.917179,2.63463,495,481,432,3.57567833333333,0.64814,0.64814,2.77626799503278
"PGRMC1","Pgrmc1",131.565965,161.838397,141.186228,3396,7459,6469,144.86353,161.33551,161.33551,0.89853125788683
"PGRMC2","Pgrmc2",32.70714,19.329523,16.589169,1080,1277,1198,22.8752773333333,30.13868,30.13868,0.766740187231229
"PGS1","Pgs1",23.32632,23.468357,21.882824,760,1398,1326,22.8925003333333,27.9329,27.9329,0.825790029113339
"PHACTR1","Phactr1",241.0297,164.438276,154.673315,5326,6119,5081,186.713763666667,15.98406,15.98406,11.0523493008543
"PHACTR3","Phactr3",38.930127,36.817851,31.9282,1462,2392,2156,35.8920593333333,6.31417,6.31417,5.04391603330704
"PHACTR4","Phactr4",4.195121,2.302759,2.416823,185,152,148,2.97156766666667,4.11885,4.11885,0.775871077813702
"PHAX","Phax",22.521129,21.803359,19.23635,403,692,663,21.186946,20.93922,20.93922,1.01129146797379
"PHB","Phb",34.918753,47.733326,52.824655,577,1353,1487,45.1589113333333,340.14999,340.14999,0.135303862483869
"PHB2","Phb2",94.139824,121.058674,108.916618,486,1295,1271,108.038372,156.73578,156.73578,0.691272278236428
"PHC1","Phc1",14.800076,5.995271,9.374558,493,443,518,10.056635,2.19533,2.19533,3.46024823727127
"PHC2","Phc2",23.585062,25.861582,24.191963,778,1631,1591,24.5462023333333,147.19134,147.19134,0.172386607296576
"PHC3","Phc3",7.015108,1.912953,1.757201,1156,540,508,3.561754,1.53673,1.53673,1.79828125184785
"PHEX","Phex",0.167178,0.134653,0.051834,8,11,7,0.117888333333333,0.25089,0.25089,0.89367437051486
"PHF1","Phf1",11.87541,11.528469,12.696125,357,683,687,12.0333346666667,75.80145,75.80145,0.169701674469254
"PHF10","Phf10",25.643612,17.952951,12.739076,803,890,797,18.7785463333333,17.90758,17.90758,1.04606440027403
"PHF11","Phf11a",0,0.045501,0,0,1,0,0.015167,48.78849,48.78849,0.0203895920522996
"PHF12","Phf12",20.656058,7.917712,9.635977,584,463,490,12.7365823333333,10.03577,10.03577,1.24473256812468
"PHF13","Phf13",5.066993,3.509252,3.443992,228,289,290,4.00674566666667,3.88886,3.88886,1.02411311975934
"PHF14","Phf14",28.900714,15.134409,13.611729,717,623,566,19.2156173333333,20.71969,20.71969,0.930750730481574
"PHF19","Phf19",1.222452,0.230881,1.395444,7,15,13,0.949592333333333,24.13813,24.13813,0.0775551854228351
"PHF2","Phf2",8.656837,3.523158,3.791468,691,519,569,5.323821,7.21321,7.21321,0.769957300495178
"PHF20","Phf20",43.43489,30.378172,29.563245,1258,1385,1353,34.458769,10.99753,10.99753,2.95550575826858
"PHF20L1","Phf20l1",18.568777,14.286279,9.390607,964,992,733,14.0818876666667,7.35957,7.35957,1.80414634564537
"PHF21A","Phf21a",27.170981,10.70205,10.395475,497,373,358,16.089502,6.32463,6.32463,2.33315566793135
"PHF21B","Phf21b",10.022148,3.987459,5.804905,91,65,76,6.60483733333333,0.37634,0.37634,5.52540602854915
"PHF23","Phf23",20.469879,25.773156,26.21024,469,855,823,24.1510916666667,32.43855,32.43855,0.752158561500623
"PHF5A","Phf5a",29.143632,32.30075,33.069447,207,400,410,31.5046096666667,32.84625,32.84625,0.960360739126688
"PHF6","Phf6",15.090121,10.753022,11.661552,390,582,509,12.501565,4.01431,4.01431,2.69260675945444
"PHF7","Phf7",1.439042,1.798261,2.649346,30,74,96,1.96221633333333,4.46383,4.46383,0.542150164506094
"PHF8","Phf8",6.131603,3.069273,2.592372,423,324,354,3.93108266666667,2.48804,2.48804,1.413711616457
"PHGDH","Phgdh",56.322242,70.798638,81.510457,723,1945,2080,69.543779,38.0314,38.0314,1.8073596898907
"PHGR1","Phgr1",0,0,0,0,0,0,0,0,0,1
"PHIP","Phip",6.925549,1.587557,1.841037,962,434,377,3.451381,0.49133,0.49133,2.98483970683886
"PHKA1","Phka1",5.136248,2.930031,2.806827,447,478,465,3.62436866666667,1.16039,1.16039,2.14052493608407
"PHKA2","Phka2",16.688478,7.742521,5.275768,284,259,250,9.90225566666667,11.37388,11.37388,0.881070098196093
"PHKB","Phkb",17.032887,14.849788,14.002801,566,838,801,15.2951586666667,38.27184,38.27184,0.414932396003515
"PHKG1","Phkg1",8.504394,11.72222,11.33324,189,399,343,10.5199513333333,0.31362,0.31362,8.76962236669153
"PHKG2","Phkg2",34.351535,35.358336,30.094022,455,889,878,33.2679643333333,50.50294,50.50294,0.665359382072816
"PHLDA1","Phlda1",5.809321,6.891568,6.264388,114,263,231,6.321759,7.87181,7.87181,0.825283566712993
"PHLDA2","Phlda2",0,0,0,0,0,0,0,120.64881,120.64881,0.00822038456438661
"PHLDA3","Phlda3",20.456228,29.912237,33.270596,192,614,641,27.879687,275.71196,275.71196,0.104367324780613
"PHLDB1","Phldb1",44.571652,27.492964,28.667728,1420,1791,2053,33.577448,33.07624,33.07624,1.01470843027282
"PHLDB2","Phldb2",2.388844,1.11217,1.188733,124,80,113,1.563249,7.07731,7.07731,0.317339436025112
"PHLPP1","Phlpp1",21.309584,8.943208,9.299633,1769,1369,1456,13.1841416666667,4.46383,4.46383,2.5960071354099
"PHLPP2","Phlpp2",7.256674,2.691289,2.727867,867,579,592,4.22527666666667,2.62394,2.62394,1.44187725698181
"PHOSPHO1","Phospho1",13.589423,17.406912,16.627586,234,423,458,15.8746403333333,2.98982,2.98982,4.22942396733019
"PHOSPHO2","Phospho2",9.835893,10.898174,10.425757,312,557,573,10.386608,4.62064,4.62064,2.02585613026275
"PHOX2A","Phox2a",0,0,0.027077,0,0,1,0.00902566666666667,0.02091,0.02091,0.988359078338606
"PHOX2B","Phox2b",0,0.039762,0.039024,0,3,3,0.026262,0.17772,0.17772,0.87139727609279
"PHPT1","Phpt1",38.422256,41.147242,49.113013,319,621,739,42.8941703333333,177.38229,177.38229,0.246067983168807
"PHRF1","Phrf1",16.266023,10.564639,12.954378,588,571,562,13.26168,9.50262,9.50262,1.35791640562069
"PHTF1","Phtf1",14.41515,10.390469,7.855479,505,564,484,10.8870326666667,16.87264,16.87264,0.665096631872329
"PHTF2","Phtf2",4.251614,2.884899,2.354501,194,185,193,3.16367133333333,5.1747,5.1747,0.674311518508322
"PHYH","Phyh",55.180351,76.011072,75.282225,887,2201,2153,68.8245493333333,46.92769,46.92769,1.45687282932546
"PHYHD1","Phyhd1",7.778516,8.551879,9.598414,94,170,206,8.64293633333333,21.21102,21.21102,0.434150990514318
"PHYHIP","Phyhip",219.995286,133.629884,115.889188,4574,5149,4314,156.504786,20.52107,20.52107,7.31863174089392
"PHYHIPL","Phyhipl",111.581372,92.288002,97.080694,2265,3355,3291,100.316689333333,47.27267,47.27267,2.09884162888304
"PI15","Pi15",0.224454,0.051576,0.108788,23,9,17,0.128272666666667,0.15681,0.15681,0.975331010854563
"PI16","Pi16",0.297046,0.679517,0.6694,13,30,30,0.548654333333333,28.46605,28.46605,0.0525572424309785
"PI4K2A","Pi4k2a",21.17864,24.112584,22.061752,951,1953,1875,22.450992,31.52905,31.52905,0.720924588944344
"PI4K2B","Pi4k2b",0.600872,0.489578,0.477342,17,37,34,0.522597333333333,5.00743,5.00743,0.253452363711826
"PI4KA","Pi4ka",95.654379,46.692724,45.420376,4229,3260,3152,62.5891596666667,98.72692,98.72692,0.637632844438259
"PI4KB","Pi4kb",24.029115,30.025631,31.036954,567,1190,1184,28.3639,61.6991,61.6991,0.468330486402516
"PIANP","Pianp",489.723645,351.952329,310.602912,1718,1811,1721,384.092962,18.96343,18.96343,19.2899197182047
"PIAS1","Pias1",14.194442,5.829687,5.990903,909,739,661,8.67167733333333,12.18928,12.18928,0.733298355432088
"PIAS2","Pias2",18.437857,14.478914,13.240159,700,937,797,15.3856433333333,11.21707,11.21707,1.34120892598089
"PIAS3","Pias3",9.57961,7.992287,5.994085,261,389,412,7.85532733333333,11.44705,11.44705,0.711439845853703
"PIAS4","Pias4",86.724787,76.159232,72.464117,153,286,293,78.4493786666667,12.26246,12.26246,5.99054614804996
"PICALM","Picalm",108.937321,65.780358,52.722076,2359,2523,2135,75.8132516666667,84.94864,84.94864,0.893711077530333
"PICK1","Pick1",20.163687,17.35442,17.854178,379,654,671,18.4574283333333,49.07075,49.07075,0.388598699506864
"PID1","Pid1",12.322269,9.339222,8.835065,431,567,557,10.1655186666667,31.14226,31.14226,0.347378145365841
"PIEZO1","Piezo1",2.658792,1.373851,0.9425,129,42,66,1.658381,70.71038,70.71038,0.037071076739518
"PIEZO2","Piezo2",0.34815,0.292331,0.140327,21,6,12,0.260269333333333,22.06825,22.06825,0.0546322037143404
"PIF1","Pif1",0.029678,0.071807,0.022183,1,5,2,0.0412226666666667,2.48804,2.48804,0.298512249477261
"PIGA","Piga",3.322244,1.427907,1.822076,110,112,131,2.19074233333333,1.85035,1.85035,1.11942124066635
"PIGB","Pigb",5.371132,1.522187,1.738449,235,127,146,2.877256,4.15021,4.15021,0.752834544610802
"PIGC","Pigc",4.642035,5.886058,5.974807,130,191,232,5.50096666666667,28.13153,28.13153,0.223159122320958
"PIGF","Pigf",7.943544,8.206122,7.599684,94,169,158,7.91645,46.17501,46.17501,0.189007909060327
"PIGH","Pigh",2.319141,3.008427,3.20604,78,179,193,2.844536,41.60664,41.60664,0.0902332594168421
"PIGK","Pigk",110.315355,84.913698,71.178479,1142,1009,960,88.8025106666667,15.82725,15.82725,5.33673123455506
"PIGL","Pigl",1.90371,1.386961,1.261009,59,64,58,1.51722666666667,13.25558,13.25558,0.176578341019213
"PIGM","Pigm",1.666154,1.084028,1.030135,195,222,209,1.26010566666667,1.74581,1.74581,0.823110727496319
"PIGN","Pign",3.619503,2.858009,2.294911,280,288,276,2.924141,4.29657,4.29657,0.740883439660006
"PIGO","Pigo",6.257,5.831123,3.988438,228,224,228,5.35885366666667,13.23468,13.23468,0.446715603488569
"PIGP","Pigp",27.876266,36.27083,41.654279,149,356,417,35.267125,48.29716,48.29716,0.735683860895841
"PIGQ","Pigq",80.514017,63.030856,58.734498,1165,1771,1724,67.426457,54.84132,54.84132,1.22537320034698
"PIGR","Pigr",0,0,0,0,0,0,0,0.15681,0.15681,0.864446192546745
"PIGS","Pigs",18.798747,18.363689,17.245611,678,1214,1157,18.1360156666667,44.56511,44.56511,0.419970799295045
"PIGT","Pigt",24.287394,19.034113,18.463538,830,1232,1272,20.595015,93.63585,93.63585,0.228190638114414
"PIGU","Pigu",10.528177,12.964686,10.716324,244,513,431,11.4030623333333,33.79756,33.79756,0.356434828572272
"PIGV","Pigv",2.35094,2.401706,2.35211,91,143,130,2.368252,6.68006,6.68006,0.438571052830316
"PIGW","Pigw",1.887145,0.798774,0.875557,55,38,42,1.18715866666667,4.45337,4.45337,0.401065518508127
"PIGX","Pigx",10.032049,10.186558,12.382214,80,143,177,10.8669403333333,22.24596,22.24596,0.51049474116506
"PIGZ","Pigz",10.204689,17.330143,20.092327,124,186,196,15.8757196666667,27.19067,27.19067,0.59862783206879
"PIH1D1","Pih1d1",35.174369,34.649787,45.322855,189,342,390,38.382337,65.43115,65.43115,0.59282937296735
"PIH1D2","Pih1d2",1.341958,2.345426,3.112333,12,30,37,2.26657233333333,2.58212,2.58212,0.911910358484175
"PIK3AP1","Pik3ap1",0.932972,0.449603,0.437334,58,55,53,0.606636333333333,4.49519,4.49519,0.29237138903902
"PIK3C2A","Pik3c2a",7.014158,4.315753,3.849046,552,642,611,5.05965233333333,4.73563,4.73563,1.05649289325381
"PIK3C2G","Pik3c2g",2.968814,0.047844,0.072903,5,4,7,1.02985366666667,0.30316,0.30316,1.55763963493866
