"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ACSM4","Acsm4",0.032515,0.018361,0,1,1,0,0.0169586666666667,0.16566,0,0.10924,0.0916333333333333,0.931593636446914
"ACSM5","Acsm5",0,0.103164,0.161887,0,6,8,0.0883503333333333,7.48776,8.98081,5.4621,7.31022333333333,0.130965232783555
"ACSS1","Acss1",9.943921,7.44783,6.344807,292,386,415,7.912186,57.94731,78.25742,61.83098,66.0119033333333,0.132994073540467
"ACSS2","Acss2",18.226148,17.723046,18.224044,626,1144,1142,18.057746,43.78352,30.83873,37.47001,37.3640866666667,0.496760060146529
"ACSS3","Acss3",0.734858,0.60194,0.346877,48,65,38,0.561225,12.72257,14.9496,21.32404,16.33207,0.0900772383217931
"ACTA1","Acta1",3.585673,4.303819,3.346984,66,151,119,3.745492,40.80167,32.41383,12.49729,28.57093,0.160478280527532
"ACTA2","Acta2",15.624107,13.404868,15.517049,296,436,554,14.8486746666667,30.26579,39.46031,26.13069,31.9522633333333,0.480958606889825
"ACTB","Actb",1395.959313,1572.045538,1463.033274,8217,16340,16001,1477.01270833333,3995.79691,3014.15431,4181.63155,3730.52759,0.396087841422964
"ACTBL2","Actbl2",0.024943,0,0.014532,1,0,1,0.0131583333333333,0,0,0,0,1.01315833333333
"ACTC1","Actc1",0,0,0,0,0,0,0,12.0765,11.13621,6.51082,9.90784333333333,0.0916771509675148
"ACTG1","Actg1",669.163615,698.177045,673.971237,10977,21201,20212,680.437299,1819.21101,1453.84166,1057.48459,1443.51242,0.471742083740616
"ACTG2","Actg2",0.611885,0.175024,0.099914,7,4,3,0.295607666666667,1.52406,3.59233,6.42343,3.84660666666667,0.267322635355871
"ACTL10","Actl10",0.254595,0.105854,0.077653,5,4,3,0.146034,0.18222,0.80136,0.65545,0.546343333333333,0.741125192119904
"ACTL6A","Actl6a",5.337694,7.134668,7.305312,89,203,211,6.592558,57.40064,40.37221,15.20649,37.65978,0.196394237111541
"ACTL6B","Actl6b",38.475074,40.535358,35.640714,563,1196,1110,38.2170486666667,82.51446,59.10757,87.50286,76.3749633333333,0.506844164794219
"ACTL7A","Actl7a",0.097759,0,0,2,0,0,0.0325863333333333,0,0.22107,0,0.07369,0.961717379628509
"ACTL7B","Actl7b",0,0,0,0,0,0,0,0,0.05527,0,0.0184233333333333,0.981909945765841
"ACTL9","Actl9",0.055109,0.060875,0,1,2,0,0.0386613333333333,0,0.22107,0,0.07369,0.967375437354668
"ACTN1","Actn1",23.980828,10.2768,8.384307,975,632,532,14.2139783333333,196.73593,153.64099,75.39884,141.925253333333,0.10644709719598
"ACTN2","Actn2",7.314407,4.876111,3.283167,131,173,86,5.157895,204.83663,117.0269,46.4934,122.785643333333,0.0497464393622599
"ACTN4","Actn4",63.1012,34.865722,27.396091,1672,1722,1634,41.787671,605.08392,637.55483,640.02714,627.555296666667,0.0680730418260894
