"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"MRGPRX3","Mrgpra1",0,0,0,0,0,0,0,11.74184,11.74184,0.0784816007735147
"MRGPRX4","Mrgprx1",0,0,0,0,0,0,0,0,0,1
"MRI1","Mri1",3.481663,6.73821,5.851212,65,161,161,5.35702833333333,33.06802,33.06802,0.186598115573882
"MRM1","Mrm1",17.812882,24.911074,44.472571,134,269,263,29.065509,6.78372,6.78372,3.86261440545138
"MRO","Mro",8.732507,8.661,7.837042,139,278,232,8.410183,19.79102,19.79102,0.452608049051946
"MRPL1","Mrpl1",3.39939,3.02989,3.760595,169,268,329,3.396625,50.90898,50.90898,0.0846987361339021
"MRPL10","Mrpl10",20.325951,29.024407,26.970961,477,1145,1117,25.4404396666667,45.68117,45.68117,0.566404819473605
"MRPL11","Mrpl11",41.178125,63.099783,75.322067,263,699,793,59.8666583333333,15.12333,15.12333,3.77506745401436
"MRPL12","Mrpl12",24.234963,41.05879,44.9523,366,1053,1178,36.7486843333333,51.53134,51.53134,0.718593592574135
"MRPL13","Mrpl13",24.45428,30.903583,39.841336,241,544,686,31.7330663333333,20.35115,20.35115,1.53308212125967
"MRPL14","Mrpl14",14.783133,23.703328,27.610223,75,210,260,22.032228,24.91511,24.91511,0.888756713747308
"MRPL15","Mrpl15",36.650985,37.44121,38.999773,310,618,621,37.6973226666667,17.63351,17.63351,2.07675970156276
"MRPL16","Mrpl16",11.732745,15.409178,19.130963,176,391,494,15.4242953333333,27.48753,27.48753,0.576543327320176
"MRPL17","Mrpl17",37.919766,63.989757,68.103832,292,571,637,56.6711183333333,52.54786,52.54786,1.07700136538292
"MRPL18","Mrpl18",180.864548,227.668999,256.739538,296,604,644,221.757695,109.12032,109.12032,2.02285731643352
"MRPL19","Mrpl19",25.374356,29.840116,28.448783,397,607,657,27.8877516666667,13.98234,13.98234,1.92812015123583
"MRPL2","Mrpl2",176.414351,263.995803,201.249616,177,569,602,213.88659,84.91054,84.91054,2.50128319528663
"MRPL20","Mrpl20",75.869672,103.620026,111.976824,343,822,937,97.1555073333333,98.47797,98.47797,0.986705974532184
"MRPL21","Mrpl21",25.726876,33.251229,33.080924,174,418,402,30.686343,102.5648,102.5648,0.305956686055494
"MRPL22","Mrpl22",18.650168,18.899955,19.052392,116,231,247,18.867505,37.34155,37.34155,0.518171670159396
"MRPL23","Mrpl23",1.406855,1.004358,1.085657,18,23,18,1.16562333333333,91.96395,91.96395,0.0232953024622268
"MRPL24","Mrpl24",23.807421,27.534458,30.191209,310,672,716,27.177696,58.10761,58.10761,0.476718581583657
"MRPL27","Mrpl27",39.120494,51.595112,54.086638,295,645,763,48.2674146666667,54.89208,54.89208,0.881473988204888
"MRPL28","Mrpl28",25.425301,35.82352,38.689665,320,810,933,33.3128286666667,93.20867,93.20867,0.364221559084389
"MRPL3","Mrpl3",31.791237,43.647376,45.079796,705,1225,1248,40.172803,36.38727,36.38727,1.10125192344881
"MRPL30","Mrpl30",66.419422,94.584288,101.006513,355,858,930,87.336741,0,0,88.336741
"MRPL32","Mrpl32",17.793887,16.775482,18.693015,164,276,284,17.754128,27.81946,27.81946,0.650745295019407
"MRPL33","Mrpl33",45.03047,47.076599,53.616752,123,220,285,48.574607,130.59171,130.59171,0.376730471851152
"MRPL34","Mrpl34",18.376428,25.859324,25.088313,102,281,281,23.1080216666667,44.85135,44.85135,0.525786518099613
"MRPL35","Mrpl35",12.882212,12.130172,12.996955,351,510,525,12.6697796666667,12.23973,12.23973,1.03248175504083
"MRPL36","Mrpl36",16.268678,24.840733,23.473184,153,445,420,21.5275316666667,65.86635,65.86635,0.336903863702246
"MRPL37","Mrpl37",21.12495,24.464473,22.668294,360,718,720,22.7525723333333,30.20517,30.20517,0.761174264820007
"MRPL38","Mrpl38",60.698387,70.022102,60.932466,330,762,781,63.8843183333333,162.08309,162.08309,0.397860491442328
"MRPL39","Mrpl39",8.743656,12.086958,8.33676,243,549,488,9.722458,10.89129,10.89129,0.9017068795732
"MRPL4","Mrpl4",26.702931,39.077716,51.322616,300,729,839,39.034421,43.81409,43.81409,0.893344503927225
"MRPL40","Mrpl40",19.502762,29.464341,27.136705,208,549,520,25.367936,26.49176,26.49176,0.959121424019415
"MRPL41","Mrpl41",49.212246,62.019566,67.342563,301,706,811,59.5247916666667,99.05884,99.05884,0.604891998214917
"MRPL42","Mrpl42",53.922605,65.309307,67.818505,352,732,767,62.350139,16.26432,16.26432,3.66942567097922
"MRPL43","Mrpl43",13.931172,23.398521,21.940053,250,711,707,19.756582,95.88481,95.88481,0.214239796723552
"MRPL44","Mrpl44",10.283985,15.181737,14.084979,194,517,488,13.183567,12.03228,12.03228,1.08834118051484
"MRPL45","Mrpl45",14.64182,15.365444,20.072678,334,698,778,16.693314,11.55514,11.55514,1.4092486423887
"MRPL46","Mrpl46",14.654829,16.476437,18.214531,209,422,474,16.448599,16.65848,16.65848,0.988114435670567
"MRPL47","Mrpl47",12.775105,14.257497,12.261029,184,310,291,13.097877,22.19748,22.19748,0.607733124460071
"MRPL48","Mrpl48",42.019806,51.455646,47.93337,659,1212,1147,47.136274,107.79262,107.79262,0.442459001355055
"MRPL49","Mrpl49",30.747909,34.948709,33.607322,368,805,751,33.1013133333333,19.39686,19.39686,1.67189034652066
"MRPL50","Mrpl50",14.287295,13.930087,13.833295,430,727,723,14.0168923333333,6.47254,6.47254,2.0096101637908
"MRPL51","Mrpl51",24.66018,37.550848,40.002804,353,728,755,34.0712773333333,173.28555,173.28555,0.201228830120072
"MRPL52","Mrpl52",92.184569,113.84885,134.735064,88,234,291,113.589494333333,173.24406,173.24406,0.657637880644731
"MRPL53","Mrpl53",17.972316,19.131166,23.961841,128,251,319,20.3551076666667,107.75113,107.75113,0.196366765721576
"MRPL54","Mrpl54",23.637404,27.969415,32.463572,129,293,346,28.0234636666667,61.11568,61.11568,0.467248586293616
"MRPL55","Mrpl55",16.692481,22.951842,23.81812,150,365,393,21.1541476666667,169.90407,169.90407,0.129629140292953
"MRPL9","Mrpl9",15.276917,19.938839,19.663714,334,779,781,18.2931566666667,81.46682,81.46682,0.233950535096014
"MRPS10","Mrps10",23.257729,20.387722,23.876871,185,371,387,22.5074406666667,23.64965,23.64965,0.953662249430181
"MRPS11","Mrps11",14.645474,24.207429,27.916694,130,383,438,22.2565323333333,45.53595,45.53595,0.499754111248042
"MRPS12","Mrps12",67.504689,97.607347,107.553696,221,582,637,90.8885773333333,19.14792,19.14792,4.5606979446679
"MRPS14","Mrps14",35.140904,46.212644,48.053013,394,775,719,43.1355203333333,25.01884,25.01884,1.69629085437065
"MRPS15","Mrps15",22.615791,28.523513,27.949428,169,412,462,26.3629106666667,74.04,74.04,0.364644331911869
"MRPS16","Mrps16",17.070823,25.809102,27.536451,167,445,478,23.4721253333333,31.42914,31.42914,0.754633805686285
"MRPS17","Mrps17",55.640549,74.377625,74.475941,603,963,889,68.164705,10.76681,10.76681,5.87794865388325
"MRPS18A","Mrps18a",31.872725,42.395338,46.375953,311,785,842,40.214672,33.39995,33.39995,1.19810267166086
"MRPS18B","Mrps18b",34.679073,48.14785,53.889747,174,395,408,45.5722233333333,77.7949,77.7949,0.591056316250586
"MRPS18C","Mrps18c",94.448763,124.346841,151.309512,105,219,247,123.368372,47.94241,47.94241,2.5411166307503
"MRPS2","Mrps2",10.703648,10.113593,9.534454,315,532,506,10.1172316666667,23.04804,23.04804,0.462292630362668
"MRPS21","Mrps21",207.816956,354.56762,371.670574,243,571,644,311.351716666667,85.40843,85.40843,3.61482920898652
"MRPS22","Mrps22",9.22321,13.356841,14.58346,140,356,393,12.387837,26.84443,26.84443,0.480808441760165
"MRPS23","Mrps23",48.088063,84.710225,88.032893,281,722,730,73.6103936666667,35.30851,35.30851,2.05490100438345
"MRPS24","Mrps24",15.23128,25.019668,27.267139,101,310,360,22.506029,77.71192,77.71192,0.29863366310973
"MRPS25","Mrps25",27.739967,37.923198,34.810304,302,624,611,33.4911563333333,54.12451,54.12451,0.625695472546302
"MRPS26","Mrps26",22.868664,29.718113,31.474466,338,860,917,28.0204143333333,52.11221,52.11221,0.54639816971151
"MRPS27","Mrps27",12.446772,15.871069,15.560631,299,637,671,14.6261573333333,193.69894,193.69894,0.0802580503691152
"MRPS28","Mrps28",8.763093,11.825786,12.934746,74,187,209,11.1745416666667,560.10256,560.10256,0.0216975336321165
"MRPS30","Mrps30",4.559484,5.577221,5.913628,217,471,494,5.350111,11.38917,11.38917,0.512553383317849
"MRPS31","Mrps31",9.701643,12.298528,13.314587,198,432,457,11.771586,13.87861,13.87861,0.858385695975632
"MRPS33","Mrps33",51.805432,59.942704,65.98355,268,547,616,59.2438953333333,54.04153,54.04153,1.09451709160943
"MRPS34","Mrps34",21.594008,32.504102,38.391081,214,626,762,30.8297303333333,109.57671,109.57671,0.287852028997185
"MRPS35","Mrps35",26.954119,33.336774,36.810728,174,328,340,32.367207,21.22245,21.22245,1.50150892453352
"MRPS36","Mrps36",22.720939,28.487176,31.282439,135,300,331,27.4968513333333,36.09684,36.09684,0.768174629788773
"MRPS5","Mrps5",47.429228,57.905423,53.081531,529,770,733,52.805394,61.15717,61.15717,0.865634551894818
"MRPS6","Mrps6",22.051301,27.270869,28.074697,197,469,489,25.7989556666667,113.66354,113.66354,0.233718195571728
"MRPS7","Mrps7",25.961343,34.080873,36.699619,320,821,904,32.2472783333333,55.74264,55.74264,0.585931115177816
"MRPS9","Mrps9",13.917863,16.415118,16.362326,236,526,552,15.5651023333333,20.39264,20.39264,0.774336516359521
"MRRF","Mrrf",14.842376,12.945119,15.593096,209,410,410,14.460197,15.74569,15.74569,0.923234396432754
"MRS2","Mrs2",153.964699,69.974988,57.943478,1361,1284,1106,93.961055,12.75836,12.75836,6.90206209170279
"MRTO4","Mrto4",22.314627,24.164285,29.209511,225,484,517,25.2294743333333,27.52902,27.52902,0.919396261537667
"MS4A1","Ms4a1",0.052189,0,0.064106,2,0,5,0.038765,0.10373,0.10373,0.941140496317034
"MS4A10","Ms4a10",0,0,0,0,0,0,0,0.31118,0.31118,0.762671791821108
"MS4A13","Ms4a13",0,0,0,0,0,0,0,0,0,1
"MS4A15","Ms4a15",0,0,0.023227,0,0,1,0.00774233333333333,0.18671,0.18671,0.849190057666434
"MS4A2","Ms4a2",0,0.016741,0,0,1,0,0.00558033333333333,0.49789,0.49789,0.67133122814982
"MS4A3","Ms4a3",0,0.030713,0,0,1,0,0.0102376666666667,0.33192,0.33192,0.758482241175646
"MS4A6E","Ms4a6b",1.262008,0.775012,0.960827,17,23,18,0.999282333333333,0,0,1.99928233333333
"MSANTD1","Msantd1",0.910732,4.185061,2.767182,11,36,29,2.62099166666667,2.75913,2.75913,0.963252578832514
"MSANTD2","Msantd2",14.767595,12.12339,13.950112,83,98,78,13.613699,13.29774,13.29774,1.02209852745958
"MSANTD3","Msantd3",8.916222,8.489933,4.428689,109,149,150,7.27828133333333,22.13524,22.13524,0.357821286199466
"MSANTD4","Msantd4",22.187206,21.14602,18.837916,894,1486,1322,20.723714,12.84135,12.84135,1.56947942216619
"MSC","Msc",0.893569,0.677061,0.805596,13,20,18,0.792075333333333,2.94583,2.94583,0.454169422740801
"MSGN1","Msgn1",0,0,0,0,0,0,0,0,0,1
"MSH2","Msh2",16.479535,12.944699,15.784846,409,660,598,15.0696933333333,7.15713,7.15713,1.970018049649
"MSH3","Msh3",9.622772,6.452406,5.103433,312,361,293,7.059537,4.81291,4.81291,1.38648921108361
"MSH4","Msh4",0.24922,0.208848,0.196975,10,14,13,0.218347666666667,0.2282,0.2282,0.991978233729577
"MSH5","Msh5",0.510706,1.05313,0.268449,4,5,5,0.610761666666667,13.54669,13.54669,0.110730459414937
"MSH6","Msh6",4.586349,3.285935,2.713216,286,345,311,3.5285,11.86632,11.86632,0.351965441555938
"MSI1","Msi1",11.031075,7.944383,8.260089,285,399,429,9.07851566666667,7.55129,7.55129,1.17859593893631
"MSI2","Msi2",29.81302,13.315164,15.770824,1632,1776,1591,19.6330026666667,227.26484,227.26484,0.0903906298782882
"MSL1","Msl1",106.586432,45.947522,49.786927,2133,1918,1715,67.4402936666667,61.17791,61.17791,1.10071717860357
"MSL2","Msl2",12.293822,6.57268,5.80698,850,768,667,8.224494,7.01191,7.01191,1.1513476811397
"MSL3","Msl3",6.886577,6.379226,6.222131,216,349,344,6.495978,20.84903,20.84903,0.343080585270834
"MSLN","Msln",1.270129,4.246803,1.015117,19,18,13,2.17734966666667,2.24049,2.24049,0.980515189575239
"MSMB","Msmb",0,0,0,0,0,0,0,0,0,1
"MSMO1","Msmo1",73.129556,102.511938,107.802822,1135,2211,2224,94.4814386666667,55.86711,55.86711,1.67902744955154
"MSMP","Msmp",0,0,0,0,0,0,0,10.33116,10.33116,0.0882522177782328
"MSN","Msn",6.985758,4.923811,4.740131,401,496,483,5.5499,38.81447,38.81447,0.164510541016872
"MSR1","Msr1",0.105698,0.081961,0.024287,3,2,2,0.0706486666666667,2.21975,2.21975,0.332525403111008
"MSRA","Msra",17.110738,19.110949,19.66194,258,528,558,18.6278756666667,241.93178,241.93178,0.0807958335737986
"MSRB1","Msrb1",13.381536,17.671013,20.92947,140,345,413,17.3273396666667,29.60355,29.60355,0.598863192886664
"MSRB2","Msrb2",43.641561,56.262449,43.972062,167,347,390,47.9586906666667,75.74112,75.74112,0.637972063304089
"MSRB3","Msrb3",2.050585,1.229866,1.545391,114,97,118,1.608614,33.3792,33.3792,0.0758776818541444
"MSS51","Mss51",0.23604,0.067551,0.022215,6,3,1,0.108602,1.01652,1.01652,0.549759982544185
"MST1","Mst1",0.031846,0.215923,0.017156,1,1,1,0.0883083333333333,43.60664,43.60664,0.0243978998044536
"MST1R","Mst1r",0.606433,0.190083,0.191847,15,25,21,0.329454333333333,1.86708,1.86708,0.463696281001344
"MSTN","Mstn",0.105595,0.139971,0.049251,4,9,3,0.0982723333333333,0.58087,0.58087,0.694726532436781
"MSTO1","Msto1",6.365801,8.937103,8.523634,160,421,397,7.94217933333333,36.11758,36.11758,0.24091493392978
"MSX1","Msx1",1.615413,2.748161,2.814743,39,131,139,2.39277233333333,10.60085,10.60085,0.292458943382022
"MSX2","Msx2",0.17228,0.098182,0.19663,5,6,12,0.155697333333333,0.99577,0.99577,0.579073406922307
"MT1X","Mt1",237.734539,354.977232,326.577508,1134,3170,2960,306.429759666667,389.72135,389.72135,0.786826109365835
"MT2A","Mt2",239.992206,317.959733,309.479278,809,1928,1837,289.143739,399.05674,399.05674,0.725256469869749
"MT3","Mt3",265.341071,402.762753,410.395775,1171,3403,3551,359.499866333333,1874.00661,1874.00661,0.19226591757633
"MT4","Mt4",0,0,0,0,0,0,0,0,0,1
"MTA1","Mta1",16.5211,13.665522,12.081761,576,913,815,14.089461,157.10421,157.10421,0.0954399696250973
"MTA2","Mta2",12.996003,11.471881,9.936198,469,825,737,11.4680273333333,33.19249,33.19249,0.364642274760725
"MTA3","Mta3",27.418412,17.86945,16.195554,1024,1140,1149,20.494472,34.2505,34.2505,0.609763606189983
"MTAP","Mtap",4.235083,4.247485,4.432544,154,303,315,4.30503733333333,14.62544,14.62544,0.339512828652079
"MTBP","Mtbp",1.430001,1.098517,1.775519,20,33,50,1.434679,1.53515,1.53515,0.960368814468572
"MTCH1","Mtch1",286.253048,337.594497,366.548327,3541,8336,7835,330.131957333333,316.09625,316.09625,1.04426323973662
"MTCH2","Mtch2",77.058902,65.891521,68.537271,902,1767,1650,70.495898,58.19059,58.19059,1.20789297758309
"MTCP1","Mtcp1",1.927766,0.75198,0.697053,36,30,27,1.12559966666667,14.02383,14.02383,0.141481876902672
"MTDH","Mtdh",35.649575,35.066768,32.746445,1179,1520,1200,34.487596,24.16828,24.16828,1.41001276209578
"MTF1","Mtf1",7.230291,4.141238,3.664519,468,426,363,5.012016,1.88782,1.88782,2.08185274705487
"MTF2","Mtf2",13.331379,7.298667,5.854416,436,363,301,8.828154,10.28967,10.28967,0.87054395744074
"MTFMT","Mtfmt",4.50813,4.931821,3.771557,84,177,159,4.403836,10.1652,10.1652,0.483989180668506
"MTFP1","Mtfp1",32.219413,42.311226,39.597042,566,1351,1268,38.0425603333333,12.26048,12.26048,2.94427956856263
"MTFR1","Mtfr1",3.647166,4.407771,3.766713,105,244,201,3.94055,12.77911,12.77911,0.3585536366282
"MTG1","Mtg1",57.817983,77.522961,79.788459,152,362,368,71.709801,39.43683,39.43683,1.79810833341783
"MTHFD1","Mthfd1",21.227212,18.17564,20.870752,489,671,618,20.0912013333333,58.00388,58.00388,0.357454481524492
"MTHFD1L","Mthfd1l",3.931466,3.091332,2.390338,163,239,238,3.137712,11.80408,11.80408,0.323155744106566
"MTHFD2","Mthfd2",7.223066,5.883731,5.817528,116,224,197,6.30810833333333,7.738,7.738,0.836359388113222
"MTHFD2L","Mthfd2l",6.389584,5.840623,4.782182,101,191,175,5.67079633333333,35.93087,35.93087,0.180629276627746
"MTHFR","Mthfr",5.866009,3.524258,4.157611,294,314,338,4.51595933333333,16.88668,16.88668,0.308383631469526
"MTHFS","Mthfs",11.547651,5.912501,17.885305,31,42,60,11.781819,18.1314,18.1314,0.668106829609961
"MTHFSD","Mthfsd",24.333535,29.618275,31.346205,326,505,484,28.4326716666667,9.62582,9.62582,2.76992003126974
"MTIF2","Mtif2",14.30302,8.461845,13.301489,264,425,451,12.022118,11.51365,11.51365,1.04063306868899
"MTIF3","Mtif3",16.263936,22.138363,12.933569,175,363,359,17.111956,50.09992,50.09992,0.354441963901313
"MTM1","Mtm1",1.704444,1.264045,1.586442,81,102,124,1.51831033333333,4.70918,4.70918,0.441098429780342
"MTMR1","Mtmr1",19.217707,11.839008,9.881274,625,853,671,13.6459963333333,8.6093,8.6093,1.52414809958408
"MTMR10","Mtmr10",6.327843,5.286601,4.364549,381,546,489,5.326331,51.09569,51.09569,0.121436744575223
"MTMR11","Mtmr11",5.26322,4.835364,5.998822,87,134,143,5.365802,8.8375,8.8375,0.647095501905972
"MTMR12","Mtmr12",8.669396,3.619598,3.043779,597,430,360,5.11092433333333,5.20707,5.20707,0.984510297665941
"MTMR14","Mtmr14",13.653595,16.199828,14.576637,140,297,277,14.81002,19.04419,19.04419,0.788758238671655
"MTMR2","Mtmr2",21.774858,24.539759,25.055529,786,1443,1367,23.7900486666667,15.7042,15.7042,1.48406081504452
"MTMR3","Mtmr3",16.138701,10.581445,10.72898,1313,1591,1612,12.483042,28.62852,28.62852,0.455069709860634
"MTMR4","Mtmr4",16.137719,9.953486,8.972395,1374,1442,1320,11.6878666666667,24.5417,24.5417,0.496751064598937
"MTMR6","Mtmr6",47.138932,34.293666,34.549262,2059,2976,2836,38.66062,9.62582,9.62582,3.7324761759563
"MTMR7","Mtmr7",22.747157,17.940673,16.378842,823,1141,1059,19.022224,8.85825,8.85825,2.03101199502954
"MTMR9","Mtmr9",36.167715,22.124883,22.066949,1088,1170,1185,26.7865156666667,9.35613,9.35613,2.68309838392012
"MTNR1A","Mtnr1a",0,0,1.017346,0,0,4,0.339115333333333,0,0,1.33911533333333
"MTNR1B","Mtnr1b",0,0,0,0,0,0,0,0,0,1
"MTO1","Mto1",11.173855,7.484418,7.442554,228,398,399,8.70027566666667,31.98926,31.98926,0.294043445250565
"MTOR","Mtor",23.725503,10.432497,7.961228,1681,963,1114,14.0397426666667,15.26855,15.26855,0.924467310649484
"MTPAP","Mtpap",9.1518,8.426206,6.935133,303,465,401,8.17104633333333,4.58471,4.58471,1.64217055734914
"MTPN","Mtpn",80.317142,50.883489,40.438307,4730,5188,3882,57.2129793333333,22.30121,22.30121,2.49828139110945
"MTR","Mtr",2.488928,0.83833,0.688915,323,173,158,1.33872433333333,6.47254,6.47254,0.312975819913086
"MTRF1","Mtrf1",2.68463,3.584893,3.471514,67,156,153,3.24701233333333,14.12755,14.12755,0.280746871326377
"MTRF1L","Mtrf1l",3.855077,3.512859,5.27472,62,107,121,4.21421866666667,21.40916,21.40916,0.232682468538163
"MTRR","Mtrr",5.82294,7.568769,4.653558,138,292,249,6.015089,40.82677,40.82677,0.167717684152996
"MTSS1","Mtss1",20.47507,10.71551,10.976151,601,598,630,14.055577,132.08537,132.08537,0.113127213006208
"MTTP","Mttp",3.303364,2.895545,3.065695,168,271,295,3.08820133333333,0.76758,0.76758,2.31288051083025
"MTUS1","Mtus1",26.772266,13.812177,14.493509,745,864,812,18.3593173333333,97.23326,97.23326,0.197074975760077
"MTUS2","Mtus2",12.714819,4.558271,6.23812,666,488,527,7.83707,10.76681,10.76681,0.751016630675604
"MTX1","Mtx1",46.835205,62.203676,66.049261,238,538,571,58.362714,12.63389,12.63389,4.35405551900448
"MTX2","Mtx2",21.996731,30.163831,35.80879,254,594,638,29.3231173333333,57.75494,57.75494,0.516094771492122
"MUC1","Muc1",0.06261,0.051881,0.27365,2,3,3,0.129380333333333,3.07031,3.07031,0.277467891471002
"MUC13","Muc13",0.068878,0,0,3,0,0,0.0229593333333333,0.08298,0.08298,0.944578231669406
"MUC15","Muc15",0.195758,0.07601,0.065271,10,6,5,0.112346333333333,0.60161,0.60161,0.694517599998335
"MUC19","Muc19",0,0,0.013428,0,0,1,0.004476,0.6846,0.6846,0.596269737623175
"MUC20","Muc20",0,0,0,0,0,0,0,14.1483,14.1483,0.0660140081725342
"MUC4","Muc4",0,0.139502,0,0,1,0,0.0465006666666667,1.26546,1.26546,0.461937384313414
"MUC6","Muc6",0.029509,0,0,4,0,0,0.00983633333333333,0.56012,0.56012,0.647281192045056
"MUL1","Mul1",16.593545,17.943906,18.73764,551,1046,989,17.7583636666667,11.7211,11.7211,1.47458660545603
"MUS81","Mus81",19.468276,18.141772,16.251909,138,301,351,17.9539856666667,67.75417,67.75417,0.275677615869214
"MUSK","Musk",0.094802,0.090536,0.167334,3,8,15,0.117557333333333,1.47292,1.47292,0.451918110304148
"MUSTN1","Mustn1",1.196141,0.836837,0.859129,19,24,25,0.964035666666667,25.53747,25.53747,0.0740099062445164
"MUTYH","Mutyh",2.016848,0.935069,0.41471,15,19,15,1.122209,47.00887,47.00887,0.0442045188732832
"MVD","Mvd",7.341309,8.052984,7.588073,175,362,346,7.66078866666667,124.11917,124.11917,0.0692203174514878
"MVK","Mvk",10.545547,26.474134,21.022027,158,466,472,19.347236,37.50752,37.50752,0.528396427502992
"MVP","Mvp",2.431586,1.916637,1.768384,112,159,149,2.038869,37.32081,37.32081,0.079300750688725
"MX2","Mx1",0.236672,0.214821,0.21187,8,11,11,0.221121,5.24856,5.24856,0.195424385778483
"MXD1","Mxd1",6.263858,4.471811,2.657186,345,364,336,4.464285,7.90396,7.90396,0.613691548479553
"MXD3","Mxd3",0.584989,0.384518,0.606047,4,7,15,0.525184666666667,8.52632,8.52632,0.16010218706349
"MXD4","Mxd4",22.01638,24.130187,22.277863,1001,1723,1510,22.8081433333333,59.12413,59.12413,0.395983165716216
"MXI1","Mxi1",27.520553,25.819191,21.411922,831,1350,1139,24.917222,340.34752,340.34752,0.0759262056452029
"MXRA7","Mxra7",5.36532,5.025456,5.78488,122,229,245,5.39188533333333,63.79182,63.79182,0.0986526591371153
"MXRA8","Mxra8",8.901647,5.310618,6.300397,83,117,149,6.837554,47.48601,47.48601,0.161645678825707
"MYADM","Myadm",21.143696,8.684837,8.649,768,520,577,12.8258443333333,47.50675,47.50675,0.285029286302078
"MYADML2","Myadml2",5.087308,4.609931,4.875098,70,121,138,4.85744566666667,2.28198,2.28198,1.78472923865065
"MYB","Myb",0.289992,0.230885,0.31601,12,16,22,0.278962333333333,0.47714,0.47714,0.865836910064945
"MYBBP1A","Mybbp1a",18.190709,13.060957,15.935429,542,788,771,15.7290316666667,48.1706,48.1706,0.340224273583537
"MYBL1","Mybl1",1.493721,0.617332,0.940238,54,71,78,1.017097,2.96658,2.96658,0.508522959325162
"MYBL2","Mybl2",0.343715,0.116722,0.193446,8,5,7,0.217961,0.20745,0.20745,1.00870512236532
"MYBPC2","Mybpc2",0.291332,0.050933,0.030122,5,5,3,0.124129,1.12025,1.12025,0.530187006249263
"MYBPC3","Mybpc3",0,0.139799,0.08602,0,16,10,0.075273,2.53093,2.53093,0.304529684813916
"MYBPH","Mybph",0.119348,0.085796,0,3,4,0,0.0683813333333333,0.29043,0.29043,0.827926608443181
"MYBPHL","Mybphl",0.060626,0,0.032837,1,0,1,0.0311543333333333,6.82521,6.82521,0.131773375198024
"MYC","Myc",2.410129,0.99359,1.611211,54,50,68,1.67164333333333,6.76297,6.76297,0.34415221665591
"MYCBP","Mycbp",35.387644,50.793501,54.526063,62,127,127,46.9024026666667,3.38149,3.38149,10.932902429691
"MYCBP2","Mycbp2",45.032475,9.940706,10.415449,5598,1659,2054,21.79621,28.87747,28.87747,0.762989972042479
"MYCBPAP","Mycbpap",1.558788,0.940378,1.506032,29,43,45,1.335066,4.08683,4.08683,0.459041485561735
"MYCN","Mycn",2.090869,1.29947,1.337649,71,85,86,1.575996,5.33154,5.33154,0.406851413716094
"MYCT1","Myct1",0.144057,0.261998,0.364538,6,19,26,0.256864333333333,3.2985,3.2985,0.292396029622737
"MYD88","Myd88",1.935879,3.224489,2.619035,54,89,121,2.59313433333333,6.26508,6.26508,0.494576017515751
"MYEF2","Myef2",27.513105,14.976521,13.932122,917,901,772,18.8072493333333,42.92204,42.92204,0.450963783406539
"MYF5","Myf5",0,0,0.024797,0,0,1,0.00826566666666667,0,0,1.00826566666667
"MYF6","Myf6",0,0,0,0,0,0,0,0.37342,0.37342,0.728109391154927
"MYH1","Myh1",0.121753,0.044122,0.039256,11,7,7,0.068377,3.79639,3.79639,0.222746065269922
"MYH10","Myh10",134.681625,24.846436,24.783566,4536,1423,1728,61.437209,39.76875,39.76875,1.53149677142419
"MYH11","Myh11",3.401974,0.571498,0.800228,341,103,146,1.59123333333333,50.84675,50.84675,0.0499787032616959
"MYH14","Myh14",7.993416,3.474699,3.468097,508,285,370,4.97873733333333,35.84789,35.84789,0.162254537053094
"MYH3","Myh3",0.320134,0.149372,0.098267,30,25,17,0.189257666666667,16.63774,16.63774,0.0674268736621963
"MYH4","Myh4",0.011445,0.010243,0.033764,1,2,6,0.018484,0,0,1.018484
"MYH6","Myh6",0.734829,1.370034,0.251833,23,22,17,0.785565333333333,7.19862,7.19862,0.2177885221334
"MYH7","Myh7",10.271905,8.504207,8.079432,177,251,259,8.951848,15.45525,15.45525,0.604782546603668
"MYH7B","Myh7b",2.339861,0.400436,1.127042,80,62,72,1.289113,23.33847,23.33847,0.0940532827248385
"MYH8","Myh8",0.054523,0.023637,0.023015,5,4,4,0.033725,0.08298,0.08298,0.954519012354799
"MYH9","Myh9",39.1614,3.259453,11.007793,1196,375,488,17.8095486666667,68.9574,68.9574,0.268871465587153
"MYL1","Myl1",0.345761,0.254673,0.250959,2,4,4,0.283797666666667,10.93278,10.93278,0.107585798671112
"MYL10","Myl10",0,0,0,0,0,0,0,0,0,1
"MYL12B","Myl12b",190.715202,223.888498,197.061862,1514,2992,2800,203.888520666667,112.54329,112.54329,1.80449695148579
"MYL2","Myl2",0.569539,1.999942,2.768682,2,10,17,1.77938766666667,61.6758,61.6758,0.0443454677350216
"MYL3","Myl3",0,0.140029,0,0,2,0,0.0466763333333333,25.6412,25.6412,0.0392878824277185
"MYL4","Myl4",11.576016,12.381709,11.798686,91,187,158,11.9188036666667,14.81215,14.81215,0.817017525552608
"MYL6","Myl6",433.843924,573.250863,588.146748,1871,4442,4833,531.747178333333,1069.04719,1069.04719,0.497872601612396
