"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"NAGA","Naga",26.725756,28.720673,25.158196,190,411,411,26.8682083333333,10.39649,10.39649,2.44533258339483
"NAGK","Nagk",20.22426,28.259073,29.645891,244,628,639,26.0430746666667,149.46122,149.46122,0.179734516752334
"NAGPA","Nagpa",7.965166,6.623977,6.477926,81,155,169,7.02235633333333,17.28611,17.28611,0.438713117953099
"NAGS","Nags",0.042947,0.077969,0.0229,1,4,1,0.0479386666666667,1.33448,1.33448,0.448895971122762
"NAIF1","Naif1",0.909288,0.636616,0.610993,60,78,77,0.718965666666667,24.64124,24.64124,0.0670391005531194
"NAIP","Naip1",0.04172,0.008757,0.080143,1,1,1,0.04354,11.91717,11.91717,0.0807870454596479
"NALCN","Nalcn",18.261692,17.019246,9.02866,1999,1850,1734,14.769866,14.12061,14.12061,1.04293847933384
"NAMPT","Nampt",18.525878,16.236773,17.056435,805,1427,1263,17.2730286666667,32.74119,32.74119,0.541564439981716
"NANOG","Nanog",0.035892,0.020245,0.080319,1,1,4,0.0454853333333333,0.49655,0.49655,0.698596995311438
"NANOS1","Nanos1",7.861009,7.827973,7.102869,412,752,696,7.59728366666667,3.44481,3.44481,1.93422973460433
"NANOS2","Nanos2",0.283201,0.052559,0.103569,6,2,4,0.146443,0.12414,0.12414,1.0198400555091
"NANOS3","Nanos3",0.141637,0.552692,1.110901,1,3,7,0.601743333333333,8.4103,8.4103,0.170211718365337
"NANP","Nanp",7.339701,6.004456,5.460917,133,187,165,6.268358,0.74482,0.74482,4.16567783496292
"NANS","Nans",7.946161,12.142751,14.091054,143,313,351,11.393322,20.42057,20.42057,0.578571065102376
"NAP1L1","Nap1l1",125.860026,104.38416,99.015729,3474,4745,4345,109.753305,427.00103,427.00103,0.258768781467652
"NAP1L2","Nap1l2",41.782868,39.991994,36.202636,1484,2470,2184,39.3258326666667,11.07925,11.07925,3.33843845161468
"NAP1L3","Nap1l3",21.395675,19.039289,15.811214,862,1346,1088,18.748726,37.11703,37.11703,0.518107680477729
"NAP1L4","Nap1l4",209.303311,326.863278,293.45622,1175,2418,2476,276.540936333333,145.4578,145.4578,1.89502325129377
"NAP1L5","Nap1l5",257.781994,315.953894,319.551093,4530,9577,8762,297.762327,15.8275,15.8275,17.754409567672
"NAPA","Napa",201.637334,279.744926,238.880975,2072,4913,4460,240.087745,88.78915,88.78915,2.68504318172073
"NAPB","Napb",107.040028,74.433809,71.119758,7127,8604,8289,84.197865,33.76533,33.76533,2.45065601275754
"NAPEPLD","Napepld",5.283789,3.427687,2.918784,307,342,290,3.87675333333333,10.5827,10.5827,0.421037697025161
"NAPG","Napg",71.263793,65.282182,63.23698,2238,3462,2853,66.5943183333333,18.71369,18.71369,3.42880091618227
"NAPSA","Napsa",0.65824,1.038882,1.011318,4,16,11,0.902813333333333,1.92413,1.92413,0.650728022807924
"NARF","Narf",14.285419,16.500238,15.435224,514,1018,922,15.4069603333333,59.5238,59.5238,0.271082786165663
"NARS2","Nars2",6.938434,8.527358,8.884331,124,244,249,8.11670766666667,10.79994,10.79994,0.772606273139242
"NASP","Nasp",9.039458,6.604377,5.701711,249,294,256,7.115182,85.96503,85.96503,0.0933154625485669
"NAT10","Nat10",14.069903,8.006347,7.02008,260,406,387,9.69877666666667,14.24475,14.24475,0.701800729212789
"NAT14","Nat14",27.903958,31.978827,28.609701,436,759,759,29.4974953333333,59.83414,59.83414,0.501322042743324
"NAT2","Nat1",0.586159,1.582845,1.18071,9,42,32,1.11657133333333,0,0,2.11657133333333
"NAT8L","Nat8l",54.546599,32.490288,34.138767,5038,5669,6121,40.3918846666667,21.75505,21.75505,1.81901971943224
"NAT9","Nat9",17.215633,24.711633,18.861673,126,281,248,20.2629796666667,31.77913,31.77913,0.648674314012198
"NAV1","Nav1",9.623909,1.431676,1.691462,1686,331,558,4.24901566666667,8.09995,8.09995,0.576818077755006
"NAV3","Nav3",14.242065,4.561902,3.278982,1361,682,715,7.360983,5.36894,5.36894,1.312774653239
"NBEA","Nbea",45.569837,13.159165,13.010021,4564,1952,2010,23.9130076666667,5.67928,5.67928,3.72989419019216
"NBEAL2","Nbeal2",2.810824,1.466118,3.073211,115,84,109,2.450051,23.86538,23.86538,0.138749176565972
"NBL1","Nbl1",23.400561,25.129295,27.348788,460,956,1052,25.2928813333333,57.10312,57.10312,0.452520989119575
"NBN","Nbn",6.234508,5.656661,4.979509,229,362,321,5.62355933333333,9.96201,9.96201,0.604228543244654
"NBR1","Nbr1",213.962572,112.360253,112.940602,2435,2423,2195,146.421142333333,36.37221,36.37221,3.94467285540067
"NCALD","Ncald",189.893294,166.059146,144.540023,7401,11656,10254,166.830821,25.07572,25.07572,6.43628712840911
"NCAM1","Ncam1",50.116777,21.34761,43.535499,3170,2169,2376,38.3332953333333,218.97807,218.97807,0.17880552972091
"NCAM2","Ncam2",15.559843,6.073156,5.19955,1350,892,713,8.944183,37.58255,37.58255,0.257737837442056
"NCAN","Ncan",22.890351,6.558199,7.305881,2510,1322,1500,12.251477,3.32067,3.32067,3.06699585943847
"NCAPD2","Ncapd2",7.145737,5.036877,5.351498,232,253,214,5.844704,16.9137,16.9137,0.382093258232526
"NCAPD3","Ncapd3",5.495011,3.656495,4.054003,289,377,339,4.40183633333333,33.9205,33.9205,0.154689547209614
"NCAPG2","Ncapg2",2.600937,0.738671,0.676723,88,72,66,1.338777,3.28964,3.28964,0.545215216195298
"NCAPH","Ncaph",0.647237,0.373953,0.34016,15,19,22,0.453783333333333,0.21724,0.21724,1.19432760452609
"NCAPH2","Ncaph2",55.120057,84.65388,80.562087,1060,2439,2515,73.4453413333333,76.4375,76.4375,0.961360340059187
"NCBP1","Ncbp1",18.662235,19.80065,18.825116,650,1130,1005,19.0960003333333,16.26198,16.26198,1.16417701406984
"NCBP2","Ncbp2",48.118398,48.413521,40.882472,602,1027,935,45.804797,48.19628,48.19628,0.951388946481319
"NCCRP1","Nccrp1",0,0.155791,0.050845,0,6,2,0.0688786666666667,0.71379,0.71379,0.623692906754425
"NCDN","Ncdn",326.721283,206.530582,207.337452,15643,19140,19634,246.863105666667,161.09909,161.09909,1.52908388114126
"NCEH1","Nceh1",31.54498,24.711494,21.124885,2111,2877,2431,25.7937863333333,7.35513,7.35513,3.20686648003482
"NCF1","Ncf1",2.293414,2.658136,1.651321,81,127,110,2.200957,9.24822,9.24822,0.312342728786072
"NCF2","Ncf2",2.778767,1.734141,1.161075,43,74,64,1.89132766666667,13.46889,13.46889,0.199830648146932
"NCF4","Ncf4",1.791835,0.792782,0.698284,6,17,15,1.09430033333333,12.662,12.662,0.153293832040209
"NCK1","Nck1",12.445724,15.433202,15.688014,229,423,411,14.5223133333333,34.57222,34.57222,0.436360545766706
"NCK2","Nck2",12.912932,11.841397,11.872308,289,471,422,12.208879,48.32042,48.32042,0.267817650376862
"NCKAP1","Nckap1",185.204612,140.064491,117.72713,9139,11276,9738,147.665411,32.61706,32.61706,4.42232042302331
"NCKAP1L","Nckap1l",2.167042,1.461372,1.825067,125,180,187,1.817827,4.65515,4.65515,0.498276261460792
"NCKAP5L","Nckap5l",8.059913,3.021926,1.91116,214,127,140,4.33099966666667,12.81717,12.81717,0.38582427998401
"NCKIPSD","Nckipsd",161.393058,124.946053,134.698441,803,1146,1092,140.345850666667,18.31024,18.31024,7.31973557380264
"NCL","Ncl",90.158683,41.910514,45.4598,3969,3055,3023,59.1763323333333,212.05742,212.05742,0.282441852216803
"NCLN","Ncln",29.757546,30.863038,24.637098,488,873,783,28.4192273333333,34.9136,34.9136,0.819166759482016
"NCMAP","Ncmap",0.365257,1.640504,0.696487,8,17,14,0.900749333333333,4.65515,4.65515,0.336109445962235
"NCOA1","Ncoa1",32.360651,9.86126,11.109922,2042,1157,1187,17.7772776666667,22.15849,22.15849,0.810816148490971
"NCOA2","Ncoa2",23.175244,5.559422,7.451877,1609,872,922,12.062181,4.18963,4.18963,2.51697731822885
"NCOA3","Ncoa3",7.34265,3.886659,4.643002,584,346,365,5.29077033333333,6.98272,6.98272,0.788048476375638
"NCOA5","Ncoa5",19.264394,11.221415,13.700504,595,898,786,14.728771,13.71716,13.71716,1.0687368350959
"NCOA6","Ncoa6",11.162206,2.082338,2.400822,1043,346,404,5.215122,11.45166,11.45166,0.499140034340803
"NCOA7","Ncoa7",30.417046,24.81338,23.256239,1150,1559,1362,26.1622216666667,40.56184,40.56184,0.65353751582381
"NCOR1","Ncor1",113.66073,37.16588,40.194153,3446,1907,1901,63.6735876666667,33.98257,33.98257,1.84873746173213
"NCOR2","Ncor2",52.280652,9.077063,14.657592,2128,691,1020,25.3384356666667,154.61292,154.61292,0.169256098186877
"NCR1","Ncr1",0,0,0,0,0,0,0,0,0,1
"NCS1","Ncs1",94.88507,68.697854,75.428785,4705,6544,6551,79.6705696666667,42.05149,42.05149,1.87381597400384
"NCSTN","Ncstn",20.139235,15.406572,13.587302,770,1088,1027,16.377703,58.56174,58.56174,0.291759491915448
"NDC80","Ndc80",0.249427,0.208546,0.167038,9,14,13,0.208337,0,0,1.208337
"NDE1","Nde1",12.533521,13.230918,11.023679,323,631,519,12.262706,47.57559,47.57559,0.27303231931923
"NDEL1","Ndel1",50.507857,47.525672,47.508903,967,1717,1736,48.514144,24.79641,24.79641,1.91941995029541
"NDFIP1","Ndfip1",334.640887,408.194101,381.040891,6244,12849,11572,374.625293,49.40662,49.40662,7.45190399594339
"NDFIP2","Ndfip2",49.873622,47.62642,47.056554,1335,2181,1863,48.185532,15.9206,15.9206,2.90684325614931
"NDN","Ndn",28.1458,44.410777,47.267365,1538,4317,4472,39.941314,29.54466,29.54466,1.34037550262468
"NDNF","Ndnf",5.609512,2.328793,3.307527,276,230,296,3.74861066666667,1.30344,1.30344,2.061530001505
"NDOR1","Ndor1",7.179759,5.182545,7.065079,180,311,283,6.47579433333333,10.98614,10.98614,0.623703238351407
"NDP","Ndp",3.283982,4.175243,4.699632,89,198,226,4.05295233333333,6.11376,6.11376,0.710306832579864
"NDRG1","Ndrg1",101.579155,91.865534,107.665625,1845,3431,3855,100.370104666667,798.97823,798.97823,0.126716079094636
"NDRG2","Ndrg2",1039.051901,1143.327321,1180.430548,8431,17157,17916,1120.93659,3457.62521,3457.62521,0.324388021794359
"NDRG3","Ndrg3",789.932176,840.897637,688.308009,6044,10621,9592,773.045940666667,38.54461,38.54461,19.5739935396168
"NDRG4","Ndrg4",807.683606,666.274889,615.557543,20264,30191,26662,696.505346,178.85071,178.85071,3.87824627436834
"NDST1","Ndst1",50.957399,18.070539,17.230634,1823,1211,1438,28.7528573333333,54.89969,54.89969,0.532254424547494
"NDST2","Ndst2",7.550717,9.799296,8.324998,140,208,182,8.558337,13.18958,13.18958,0.673616625721128
"NDST3","Ndst3",3.281285,2.880938,1.911246,259,323,266,2.69115633333333,0.89999,0.89999,1.94272408451273
"NDST4","Ndst4",9.563173,3.267979,4.150786,268,245,256,5.660646,0,0,6.660646
"NDUFA1","Ndufa1",133.858569,189.148319,178.035621,365,922,875,167.014169666667,125.78205,125.78205,1.32522048402488
"NDUFA10","Ndufa10",810.945415,962.79407,897.409038,1430,3329,3316,890.382841,142.50954,142.50954,6.21131418162165
"NDUFA11","Ndufa11",144.047459,251.996759,272.173823,436,1416,1493,222.739347,298.08452,298.08452,0.748080666294598
"NDUFA12","Ndufa12",102.424599,137.684702,153.570154,612,1422,1615,131.226485,91.39603,91.39603,1.43108405198795
"NDUFA13","Ndufa13",62.231538,89.07747,94.359142,963,2682,2914,81.8893833333333,297.37073,297.37073,0.277806684768755
"NDUFA2","Ndufa2",58.628167,76.711773,93.218993,303,716,883,76.186311,103.59252,103.59252,0.737971615943473
"NDUFA3","Ndufa3",303.155045,442.729207,477.341298,474,1233,1331,407.74185,397.02189,397.02189,1.02693309154429
"NDUFA4","Ndufa4",395.166469,486.882137,566.871307,1351,3012,3462,482.973304333333,443.72852,443.72852,1.0882443616014
"NDUFA4L2","Ndufa4l2",5.35778,5.915051,6.097672,25,45,64,5.79016766666667,72.03063,72.03063,0.0929769833105187
"NDUFA5","Ndufa5",209.914013,220.722071,231.553576,399,715,731,220.729886666667,77.89611,77.89611,2.81040328435289
"NDUFA6","Ndufa6",264.255155,267.90745,278.122616,455,956,968,270.095073666667,56.4514,56.4514,4.71868524816918
"NDUFA7","Ndufa7",166.569364,260.821326,301.043963,378,1066,1276,242.811551,93.6305,93.6305,2.57645844627261
"NDUFA8","Ndufa8",73.848214,92.82653,97.957141,728,1663,1782,88.2106283333333,63.6824,63.6824,1.3792102385399
"NDUFA9","Ndufa9",60.387325,70.748219,70.878217,1061,2118,2142,67.3379203333333,52.16867,52.16867,1.28530430295385
"NDUFAB1","Ndufab1",183.432394,258.291872,297.25161,580,1157,1220,246.325292,60.14449,60.14449,4.04493180006898
"NDUFAF1","Ndufaf1",32.589477,29.42396,29.87299,245,420,431,30.628809,18.15507,18.15507,1.651197776881
"NDUFAF2","Ndufaf2",100.070042,128.391103,132.328557,132,258,308,120.263234,333.64983,333.64983,0.362358570449595
"NDUFAF3","Ndufaf3",38.945697,69.68387,61.62057,217,676,624,56.7500456666667,182.45069,182.45069,0.314798737833402
"NDUFAF4","Ndufaf4",13.963527,14.467981,15.210171,387,623,579,14.5472263333333,20.85505,20.85505,0.711379124428145
"NDUFAF5","Ndufaf5",20.11654,25.949056,26.64077,295,663,695,24.2354553333333,14.80336,14.80336,1.59684113589346
"NDUFAF6","Ndufaf6",20.248788,21.654505,17.893565,48,98,118,19.932286,16.16887,16.16887,1.21919998229353
"NDUFB10","Ndufb10",149.924899,198.267106,205.715608,885,2144,2319,184.635871,124.26136,124.26136,1.48198830828597
"NDUFB11","Ndufb11",62.113054,103.37176,105.938349,653,1995,2081,90.4743876666667,142.10609,142.10609,0.639206812698654
"NDUFB2","Ndufb2",75.780069,96.803323,128.501304,510,885,1152,100.361565333333,369.68066,369.68066,0.27344713731041
"NDUFB3","Ndufb3",54.428457,67.593754,74.779564,451,982,1101,65.6005916666667,68.58582,68.58582,0.957100048065348
"NDUFB4","Ndufb4",25.235181,30.181709,40.487172,97,204,277,31.9680206666667,573.11054,573.11054,0.0574245173528196
"NDUFB5","Ndufb5",123.836274,178.725274,217.733979,820,2042,2345,173.431842333333,349.6325,349.6325,0.497477679146495
"NDUFB6","Ndufb6",85.031273,117.457968,122.730362,456,1081,1169,108.406534333333,51.70315,51.70315,2.07590123803479
"NDUFB7","Ndufb7",72.967396,97.775698,102.425711,440,1090,1163,91.0562683333333,262.64334,262.64334,0.349169709097652
"NDUFB8","Ndufb8",459.292619,640.823113,826.898403,990,2554,3217,642.338045,234.52626,234.52626,2.7314917877947
"NDUFB9","Ndufb9",150.116153,192.234123,218.693223,1096,2523,2916,187.014499666667,209.4195,209.4195,0.893522224255198
"NDUFC1","Ndufc1",299.313554,457.494661,514.261795,326,860,969,423.690003333333,127.95445,127.95445,3.29333344706858
"NDUFC2","Ndufc2",94.084404,125.360493,125.039613,610,1432,1441,114.82817,260.03646,260.03646,0.44372410658649
"NDUFS1","Ndufs1",117.261736,105.209058,106.724232,2185,3497,3339,109.731675333333,16.26198,16.26198,6.41477254250864
"NDUFS2","Ndufs2",237.262931,316.172645,321.855949,1816,4316,4514,291.763841666667,116.22348,116.22348,2.49748464784245
"NDUFS3","Ndufs3",166.67784,280.073529,286.085148,800,2346,2385,244.278839,167.8025,167.8025,1.45305217043586
"NDUFS4","Ndufs4",86.711472,105.146083,111.008284,559,1140,1229,100.955279666667,308.72928,308.72928,0.329175464672461
"NDUFS5","Ndufs5",187.143083,240.229302,284.890018,497,1160,1377,237.420801,275.89499,275.89499,0.861051335742839
"NDUFS6","Ndufs6",65.301241,93.942046,95.046433,334,861,879,84.76324,90.93052,90.93052,0.932913683072825
"NDUFS7","Ndufs7",72.436691,111.664107,123.164387,565,1670,1865,102.421728333333,200.94714,200.94714,0.512122768033919
"NDUFS8","Ndufs8",67.576957,99.792231,113.464921,544,1550,1778,93.6113696666667,201.50575,201.50575,0.467203374060572
"NDUFV1","Ndufv1",164.07161,222.203175,238.928379,1465,3696,3730,208.401054666667,275.70878,275.70878,0.756756090886117
"NDUFV2","Ndufv2",98.568312,123.148942,135.81636,1107,2414,2681,119.177871333333,141.01989,141.01989,0.846204509335512
"NDUFV3","Ndufv3",84.300808,121.236639,122.902193,425,1071,1115,109.47988,55.73761,55.73761,1.94720715236331
"NEBL","Nebl",25.099081,15.752837,20.866335,1391,1325,1271,20.572751,75.13406,75.13406,0.28335216853009
"NECAB1","Necab1",30.969611,18.780328,14.663724,2295,2394,1779,21.471221,115.82003,115.82003,0.192357603400718
"NECAB2","Necab2",33.943831,41.823034,39.308954,674,1469,1421,38.3586063333333,38.2653,38.2653,1.00237630511758
"NECAB3","Necab3",25.128019,32.31505,34.325368,453,1122,1161,30.589479,21.75505,21.75505,1.38824036862147
"NECAP1","Necap1",64.59331,77.713419,68.967257,2297,4681,4372,70.424662,16.51025,16.51025,4.07902011678874
"NECAP2","Necap2",15.96152,20.024833,25.418316,235,626,629,20.468223,40.96528,40.96528,0.511571065414076
"NEDD1","Nedd1",1.068611,1.209639,1.086983,55,72,81,1.12174433333333,3.35171,3.35171,0.487565654267709
"NEDD4","Nedd4",146.731727,63.214728,58.914094,8011,6357,6232,89.620183,16.57232,16.57232,5.15698456436031
"NEDD4L","Nedd4l",86.98979,32.643456,25.579793,2094,1123,1090,48.4043463333333,16.29301,16.29301,2.85689688107121
"NEDD8","Nedd8",132.939399,189.821068,213.315863,475,1210,1321,178.69211,188.71962,188.71962,0.947145635227395
"NEDD9","Nedd9",2.281322,1.570688,1.736112,151,197,219,1.86270733333333,7.5103,7.5103,0.336381482830609
"NEFH","Nefh",24.973837,14.650739,17.070232,1308,1443,1740,18.8982693333333,10.52063,10.52063,1.72718586859688
"NEFL","Nefl",125.550709,111.456017,113.759737,6241,10047,10262,116.922154333333,12.8482,12.8482,8.51534165691811
"NEFM","Nefm",70.925147,30.237957,30.052221,3464,2685,2716,43.7384416666667,23.02746,23.02746,1.86197133058037
"NEGR1","Negr1",58.535829,26.50797,23.586099,3518,3468,2606,36.209966,131.11995,131.11995,0.28163775417717
"NEIL1","Neil1",1.98656,1.988958,2.288187,45,83,88,2.08790166666667,54.12383,54.12383,0.0560175457087555
"NEIL2","Neil2",0.858733,0.547872,1.011944,34,28,49,0.806183,25.72744,25.72744,0.0675778525739839
"NEIL3","Neil3",0.151124,0.018536,0.033543,5,1,3,0.0677343333333333,0.18621,0.18621,0.900122519059301
"NEK1","Nek1",8.824158,3.957285,4.36776,506,469,435,5.716401,5.58618,5.58618,1.01977185561281
"NEK10","Nek10",0.997522,0.303296,0.415077,73,79,60,0.571965,0.46551,0.46551,1.07264024128119
"NEK11","Nek11",0.420321,0.392579,0.662367,18,26,47,0.491755666666667,27.18605,27.18605,0.0529253182573176
"NEK2","Nek2",0.315501,0.283806,0.166632,15,23,12,0.255313,0.80689,0.80689,0.694736812976994
"NEK3","Nek3",1.69672,0.764831,1.098274,26,34,44,1.18660833333333,21.3516,21.3516,0.0978278214236714
"NEK4","Nek4",5.343491,3.602422,3.746539,299,383,326,4.23081733333333,11.6689,11.6689,0.412886464754898
"NEK5","Nek5",0.144449,0.338769,0.140454,5,15,8,0.207890666666667,0.9931,0.9931,0.606036158078705
"NEK6","Nek6",14.883845,16.413084,21.441473,347,674,720,17.5794673333333,20.73092,20.73092,0.854978405577552
"NEK7","Nek7",14.123515,12.772472,11.588605,844,1296,1149,12.8281973333333,148.00261,148.00261,0.0928050678664846
"NEK8","Nek8",1.029581,1.509255,1.017392,42,64,62,1.18540933333333,3.13446,3.13446,0.528583982753088
"NEK9","Nek9",10.106115,6.502977,6.509642,820,944,962,7.70624466666667,24.70331,24.70331,0.338720758792026
"NELL1","Nell1",17.226907,17.564973,16.290681,800,1412,1302,17.0275203333333,1.83102,1.83102,6.36785340030566
"NELL2","Nell2",150.236378,101.569851,90.027767,6674,8081,7322,113.944665333333,48.01007,48.01007,2.34532750786386
"NEMF","Nemf",18.751376,16.400161,15.156447,1238,1984,1853,16.769328,44.96871,44.96871,0.386552678985336
"NENF","Nenf",35.68181,53.560057,62.39734,238,703,853,50.5464023333333,366.6393,366.6393,0.14020917332106
"NEO1","Neo1",20.332628,7.267259,8.340935,1788,1101,1262,11.980274,44.96871,44.96871,0.282371943872256
"NEPNP","Nepn",0,0,0,0,0,0,0,0,0,1
"NES","Nes",1.951666,0.729521,0.75757,173,120,128,1.14625233333333,34.85153,34.85153,0.0598650136642239
"NET1","Net1",23.994051,14.176668,12.803425,442,589,461,16.9913813333333,50.71006,50.71006,0.347928069186795
"NETO1","Neto1",63.23296,23.354135,21.047652,1631,1238,843,35.878249,4.56204,4.56204,6.63034588028853
"NETO2","Neto2",15.354807,9.67867,7.276021,1185,1256,894,10.7698326666667,2.48274,2.48274,3.37947497277048
"NEU1","Neu1",18.988351,26.278936,21.67447,505,1170,1125,22.313919,11.38959,11.38959,1.88173450453163
"NEU2","Neu2",1.912744,2.185726,1.957602,29,71,49,2.01869066666667,0,0,3.01869066666667
"NEU3","Neu3",0.73059,0.637205,0.633809,36,56,56,0.667201333333333,0.89999,0.89999,0.877479004275461
"NEU4","Neu4",1.750681,3.225308,2.729599,94,253,229,2.56852933333333,12.10338,12.10338,0.272336552350106
"NEURL1B","Neurl1b",6.720201,2.775258,2.697717,582,448,434,4.064392,1.67585,1.67585,1.89262925799279
"NEURL2","Neurl2",1.319968,1.286424,1.49074,16,30,35,1.36571066666667,3.66205,3.66205,0.507440003145969
"NEURL3","Neurl3",0.295112,0.334517,0.352949,11,20,24,0.327526,0.43448,0.43448,0.925440577770342
"NEURL4","Neurl4",51.618892,31.537922,30.958194,1417,1756,1759,38.038336,35.75152,35.75152,1.06222371210769
"NEUROD1","Neurod1",3.747479,1.957694,1.615742,143,130,100,2.440305,5.58618,5.58618,0.522352106987662
"NEUROD2","Neurod2",13.189378,5.786085,6.242931,561,480,533,8.40613133333333,5.21376,5.21376,1.5137583899818
"NEUROD4","Neurod4",0.101775,0.047631,0.076089,5,4,6,0.075165,0.03103,0.03103,1.04280670785525
"NEUROD6","Neurod6",24.623265,22.110534,19.59588,748,1162,1008,22.109893,0.27931,0.27931,18.064341715456
"NEUROG1","Neurog1",0.047429,0.024099,0,1,1,0,0.0238426666666667,0,0,1.02384266666667
"NEUROG2","Neurog2",0.218339,0.202247,0.106406,6,11,6,0.175664,0.77586,0.77586,0.662025159640963
"NEUROG3","Neurog3",0,0,0,0,0,0,0,0.15517,0.15517,0.865673450660942
"NEXN","Nexn",18.589374,11.010736,5.966414,119,88,82,11.855508,4.37584,4.37584,2.39134870085419
"NF1","Nf1",17.942434,4.304878,4.957643,1980,771,903,9.06831833333333,19.14817,19.14817,0.499713787075121
"NF2","Nf2",45.339815,34.073991,33.405734,1282,1505,1396,37.6065133333333,11.29649,11.29649,3.13963686656382
"NFAM1","Nfam1",0.701737,0.820754,1.03611,44,71,84,0.852867,3.97239,3.97239,0.372631068761702
"NFASC","Nfasc",171.009254,35.056364,34.732592,4412,1556,2083,80.26607,35.34808,35.34808,2.23577338885575
"NFAT5","Nfat5",16.445207,1.743268,3.61867,1471,342,426,7.26904833333333,2.88619,2.88619,2.12780340985215
"NFATC1","Nfatc1",2.483681,0.660758,1.038622,77,76,80,1.39435366666667,5.12066,5.12066,0.391192071878959
"NFATC2","Nfatc2",2.504369,1.965613,2.214648,122,157,172,2.22821,2.04826,2.04826,1.05903367822955
"NFATC2IP","Nfatc2ip",2.061564,1.115184,1.631602,72,72,74,1.60278333333333,13.71716,13.71716,0.176853641146344
"NFATC3","Nfatc3",3.138275,1.099016,1.161823,246,167,175,1.79970466666667,4.77928,4.77928,0.484438315268799
"NFATC4","Nfatc4",0.745056,0.257104,0.57788,27,18,21,0.52668,16.88266,16.88266,0.0853720867029849
"NFE2","Nfe2",0,0,0.147782,0,0,3,0.0492606666666667,1.24137,1.24137,0.468133626606346
"NFE2L1","Nfe2l1",148.734491,79.191103,81.068782,4516,4796,4851,102.998125333333,295.3535,295.3535,0.350925922364114
"NFE2L2","Nfe2l2",5.957076,7.059278,6.731531,210,439,417,6.58262833333333,60.5169,60.5169,0.123260897953787
"NFE2L3","Nfe2l3",2.229684,1.072719,1.526986,69,60,94,1.60979633333333,3.75515,3.75515,0.548835753516363
"NFIA","Nfia",6.741028,1.857869,2.359206,612,317,302,3.652701,15.20681,15.20681,0.287083084209662
"NFIB","Nfib",14.578918,4.329168,3.195894,1516,697,702,7.36799333333333,10.05512,10.05512,0.756933740505153
"NFIC","Nfic",37.662145,12.107068,17.072303,1454,857,1127,22.2805053333333,39.01012,39.01012,0.581865421381724
"NFIL3","Nfil3",4.517411,3.484614,4.094854,128,179,214,4.032293,10.39649,10.39649,0.441565166116936
"NFIX","Nfix",109.249299,36.52006,28.628212,2258,1304,1654,58.1325236666667,115.57176,115.57176,0.507262853942213
"NFKB1","Nfkb1",5.197486,3.992022,4.518855,222,291,335,4.56945433333333,10.6758,10.6758,0.477008370589881
"NFKB2","Nfkb2",0.846993,0.577739,0.734366,39,58,74,0.719699333333333,8.78271,8.78271,0.175789667007745
"NFKBIA","Nfkbia",16.36278,20.632179,17.65262,253,559,473,18.2158596666667,129.87857,129.87857,0.146822047846845
"NFKBIB","Nfkbib",9.616895,13.662171,13.048953,149,408,396,12.1093396666667,57.69278,57.69278,0.223355234948262
"NFKBID","Nfkbid",0.485163,0.473919,0.561369,8,25,22,0.506817,6.70341,6.70341,0.195603894898493
"NFKBIE","Nfkbie",0.688667,0.374276,0.797126,25,24,53,0.620023,6.2379,6.2379,0.223825004490253
"NFKBIL1","Nfkbil1",4.378563,3.322313,3.717082,71,116,135,3.805986,21.1654,21.1654,0.216823788427008
"NFKBIZ","Nfkbiz",0.891629,0.553034,0.609346,41,48,53,0.684669666666667,3.78619,3.78619,0.351985538949909
"NFRKB","Nfrkb",5.324435,2.252999,2.103026,300,286,301,3.22682,3.01033,3.01033,1.0539830886735
"NFS1","Nfs1",21.541048,25.092163,20.763242,381,852,803,22.4654843333333,30.81707,30.81707,0.737512421267368
"NFU1","Nfu1",31.042564,35.174057,44.754318,296,687,658,36.990313,54.93072,54.93072,0.67923876181104
"NFX1","Nfx1",23.199704,18.413991,14.826378,1127,1607,1478,18.8133576666667,16.75853,16.75853,1.1157093332988
"NFYA","Nfya",7.393673,7.272918,5.287414,236,322,275,6.651335,10.61373,10.61373,0.658818054147978
"NFYB","Nfyb",20.066478,11.11926,13.479122,510,616,551,14.8882866666667,67.43755,67.43755,0.232157443781472
"NFYC","Nfyc",21.077773,15.964051,16.403365,355,590,520,17.815063,53.25487,53.25487,0.346790306566028
"NGB","Ngb",5.215525,7.997734,8.254951,111,298,317,7.15607,6.26893,6.26893,1.12204547299259
"NGDN","Ngdn",35.542969,31.7267,20.054616,152,258,303,29.108095,36.65152,36.65152,0.799651514733004
"NGEF","Ngef",92.063086,74.290762,53.009449,2578,3952,3042,73.121099,7.01375,7.01375,9.24924024333177
"NGF","Ngf",1.984735,2.246282,1.853896,26,49,40,2.02830433333333,1.02413,1.02413,1.49610169966027
"NGFR","Ngfr",0.734539,0.749859,0.642026,37,71,62,0.708808,12.32062,12.32062,0.128282917762086
"NGLY1","Ngly1",8.815395,9.37854,9.730826,286,528,493,9.30825366666667,12.10338,12.10338,0.78668661571798
"NGRN","Ngrn",16.745138,21.603015,20.161964,323,753,722,19.5033723333333,223.85045,223.85045,0.0911867080245262
