"Hs_symbol","DRG","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SRP72P1",0,0,0,0,1
"SRP72P2",0.05227,0.05227,0.12447,0.12447,0.935791973107331
"SRP9",183.49784,183.49784,107.17026,107.17026,1.70562444797674
"SRP9P1",10.79891,10.79891,0,0,11.79891
"SRPK1",6.03192,6.03192,10.70458,10.70458,0.600783624871632
"SRPK2",30.09687,30.09687,150.48646,150.48646,0.205278214303773
"SRPK3",1.75626,1.75626,17.34308,17.34308,0.150261570030769
"SRPR",62.53541,62.53541,28.77374,28.77374,2.13394118441284
"SRPRB",47.71174,47.71174,20.95276,20.95276,2.21893465787445
"SRPX",79.62759,79.62759,8.06992,8.06992,8.88955911408259
"SRPX2",9.00083,9.00083,0.70534,0.70534,5.8644199983581
"SRR",4.21293,4.21293,9.72955,9.72955,0.485847961936894
"SRRD",13.00469,13.00469,3.42298,3.42298,3.16634712343262
"SRRM1",17.95985,17.95985,114.16143,114.16143,0.164637153255217
"SRRM1P2",0,0,0,0,1
"SRRM1P3",0,0,0.2282,0.2282,0.814199641752158
"SRRM2",276.25556,276.25556,894.01903,894.01903,0.309776161966076
"SRRM3",15.28365,15.28365,30.22591,30.22591,0.521478797575475
"SRRM4",0.5227,0.5227,4.2113,4.2113,0.292191967455337
"SRRM5",0.07318,0.07318,1.07876,1.07876,0.516259693278685
"SRRT",57.02619,57.02619,136.46263,136.46263,0.422123380005169
"SRSF1",54.84132,54.84132,127.95706,127.95706,0.433022589069571
"SRSF10",23.10319,23.10319,36.42876,36.42876,0.643975114323852
"SRSF10P1",0,0,0,0,1
"SRSF11",39.94447,39.94447,172.74618,172.74618,0.235656806958288
"SRSF12",0.73178,0.73178,3.67192,3.67192,0.370678436274594
"SRSF1P1",0,0,0,0,1
"SRSF2",90.25923,90.25923,88.39576,88.39576,1.02084517207528
"SRSF3",125.5517,125.5517,93.78954,93.78954,1.33508085385793
"SRSF4",27.97472,27.97472,92.25438,92.25438,0.310706263877364
"SRSF5",206.23514,206.23514,504.62961,504.62961,0.409855625345992
"SRSF6",33.50485,33.50485,49.85097,49.85097,0.67854851146399
"SRSF7",79.63804,79.63804,60.53481,60.53481,1.3104459085841
"SRSF8",26.49026,26.49026,33.64889,33.64889,0.793395113090203
"SRSF9",127.89338,127.89338,129.3055,129.3055,0.989163005398851
"SRSF9P1",0.78404,0.78404,0,0,1.78404
"SRXN1",43.82288,43.82288,8.02843,8.02843,4.96463726251408
"SRY",0,0,0,0,1
"SS18",17.51033,17.51033,46.49023,46.49023,0.389771327702561
"SS18L1",6.00056,6.00056,12.61315,12.61315,0.514249824618108
"SS18L2",34.02754,34.02754,19.10643,19.10643,1.74210638089407
"SSB",90.90738,90.90738,48.19135,48.19135,1.86836466167324
"SSBP1",210.58397,210.58397,57.85866,57.85866,3.59478061512104
"SSBP2",44.4083,44.4083,165.36085,165.36085,0.272950637124059
"SSBP3",88.65978,88.65978,610.59664,610.59664,0.1465995300432
"SSBP4",69.96816,69.96816,49.7265,49.7265,1.39903521827841
"SSC5D",0.60633,0.60633,1.99155,1.99155,0.536955758720396
"SSFA2",36.78738,36.78738,111.67199,111.67199,0.335375100768168
"SSH1",9.06356,9.06356,4.70918,4.70918,1.76269797063676
"SSH2",14.7505,14.7505,34.31274,34.31274,0.446028826989919
"SSH3",12.22064,12.22064,42.27894,42.27894,0.305475134095244
"SSNA1",170.59769,170.59769,128.86985,128.86985,1.32130506041241
"SSPN",3.86795,3.86795,20.68307,20.68307,0.224504648096418
"SSPO",2.56121,2.56121,12.3642,12.3642,0.266473863007138
"SSR1",34.16344,34.16344,19.74953,19.74953,1.694661999573
"SSR1P1",0,0,0,0,1
"SSR1P2",0,0,0,0,1
"SSR2",199.39827,199.39827,76.55018,76.55018,2.5841109588656
"SSR3",52.60418,52.60418,37.65273,37.65273,1.38681485111142
"SSR4",387.83036,387.83036,190.35894,190.35894,2.03194248463124
"SSR4P1",1.80853,1.80853,1.41068,1.41068,1.16503642125873
"SSRP1",38.86771,38.86771,33.8356,33.8356,1.1444530882201
"SSSCA1",102.6576,102.6576,45.57744,45.57744,2.22548942148817
"SST",687.21002,687.21002,68.12759,68.12759,9.955648967366
"SSTR1",0.31362,0.31362,4.04533,4.04533,0.260363544109107
"SSTR2",1.73535,1.73535,5.80869,5.80869,0.401743947807875
"SSTR3",0.84677,0.84677,1.3277,1.3277,0.793388323237531
"SSTR4",0.2718,0.2718,0.4564,0.4564,0.87324910738808
"SSTR5",0.01045,0.01045,0,0,1.01045
"SSU72",166.41612,166.41612,64.14449,64.14449,2.56991988117491
"SSU72P1",0,0,0,0,1
"SSU72P2",0,0,0,0,1
"SSU72P3",0,0,0,0,1
"SSU72P4",0,0,0,0,1
"SSU72P5",0,0,0,0,1
"SSU72P6",0,0,0,0,1
"SSU72P7",0,0,0,0,1
"SSU72P8",0,0,0,0,1
"SSX1",0,0,0.20745,0.20745,0.828191643546317
"SSX10",0,0,0,0,1
"SSX2",0,0,0,0,1
"SSX2B",0,0,0,0,1
"SSX2IP",7.02504,7.02504,5.39378,5.39378,1.25513233173491
"SSX3",0,0,0,0,1
"SSX4",0,0,0,0,1
"SSX4B",0,0,0,0,1
"SSX5",0.01045,0.01045,0,0,1.01045
"SSX6",0.07318,0.07318,0,0,1.07318
"SSX7",0,0,0,0,1
"SSX8",0,0,0,0,1
"SSX9",0,0,0,0,1
"SSXP10",0.02091,0.02091,0,0,1.02091
"ST13",99.78277,99.78277,210.31593,210.31593,0.476929354071887
"ST13P10",0.01045,0.01045,0,0,1.01045
"ST13P11",0,0,0,0,1
"ST13P12",0,0,0,0,1
"ST13P13",0.03136,0.03136,0,0,1.03136
"ST13P14",0,0,0,0,1
"ST13P15",0.04182,0.04182,0.26969,0.26969,0.820530995754869
"ST13P16",0,0,0,0,1
"ST13P18",0.04182,0.04182,0,0,1.04182
"ST13P19",0.02091,0.02091,0,0,1.02091
"ST13P2",0,0,0,0,1
"ST13P20",0,0,0,0,1
"ST13P21",0,0,0,0,1
"ST13P3",0.03136,0.03136,0,0,1.03136
"ST13P4",0.32407,0.32407,0,0,1.32407
"ST13P5",0.11499,0.11499,0,0,1.11499
"ST13P6",0.50179,0.50179,0.24894,0.24894,1.20245167902381
"ST14",10.21349,10.21349,0.31118,0.31118,8.55221251086807
"ST18",0.1359,0.1359,77.52521,77.52521,0.0144654181758954
"ST20",4.72518,4.72518,9.39762,9.39762,0.550624085127173
"ST3GAL1",5.5824,5.5824,6.03688,6.03688,0.935414558724889
"ST3GAL2",9.36672,9.36672,8.98272,8.98272,1.03846647006026
"ST3GAL3",35.54336,35.54336,288.29754,288.29754,0.126317562188742
"ST3GAL4",72.60255,72.60255,97.4822,97.4822,0.747369067709698
"ST3GAL5",38.08367,38.08367,48.04613,48.04613,0.796875716799674
"ST3GAL6",22.58049,22.58049,13.9201,13.9201,1.58045120341016
"ST5",28.0479,28.0479,115.82105,115.82105,0.248652961088776
"ST6GAL1",37.46689,37.46689,48.04613,48.04613,0.784300208803427
"ST6GAL2",0.06272,0.06272,2.67614,2.67614,0.289085834598247
"ST6GALNAC1",2.46713,2.46713,6.26508,6.26508,0.477232184642151
"ST6GALNAC2",53.02233,53.02233,9.60508,9.60508,5.09400494857182
"ST6GALNAC3",2.12215,2.12215,29.83175,29.83175,0.101264118968271
"ST6GALNAC4",19.59067,19.59067,18.15214,18.15214,1.07511066648427
"ST6GALNAC4P1",0.15681,0.15681,3.1118,3.1118,0.281339072912107
"ST6GALNAC5",25.86302,25.86302,22.32195,22.32195,1.15183421626408
"ST6GALNAC6",125.16491,125.16491,160.90061,160.90061,0.779273839672377
"ST7",14.91776,14.91776,22.88207,22.88207,0.666515088516196
"ST7-AS1",1.13948,1.13948,1.07876,1.07876,1.02920972117993
"ST7-AS2",0.01045,0.01045,0,0,1.01045
"ST7-OT4",0.22999,0.22999,2.199,2.199,0.384492028758987
