"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"LGALS2",1.545416,2.32207,1.16429,9,11,6,74.2016233333333,0.425354,0.186975,0.214452,3,1,1,69.1874006666667,1.07144049528889
"LGALS3",19.043395,14.38885,19.631182,146,78,140,0,45.203079,37.972258,35.366411,423,340,357,0,1
"LGALS3BP",346.872678,341.913336,326.259952,3197,2351,2825,9.64433466666667,440.315274,393.914506,308.970253,4876,3192,2922,12.7064496666667,0.776593131374721
"LGALS4",1.900673,1.36117,1.493786,14,5,9,34.7294693333333,0.627469,1.223114,1.156956,7,5,4,23.6693246666667,1.44833593201727
"LGALS7",0,0,0,0,0,0,31.092203,0.607247,0,0,3,0,0,26.4620243333333,1.16860296278474
"LGALS7.1",0,0,0,0,0,0,2.09516933333333,0,0,0,0,0,0,7.23383533333333,0.375908578205717
"LGALS8",25.850151,23.522736,24.971341,503,360,434,0.247092,38.069821,43.693595,37.953573,1068,1062,930,0.129951666666667,1.10366844599548
"LGALS8.AS1",0.203877,0,0,4,0,0,6.081006,0.295415,0.39131,0.192818,7,7,3,6.84808666666667,0.90225889452461
"LGALS9",1.050923,1.697936,0.779264,12,15,10,14.3070733333333,2.024277,1.125834,1.329351,42,14,15,15.437344,0.931237633849686
"LGALS9B",0,0,0,0,0,0,27.0669156666667,0,0,0.048222,0,0,0,27.8029923333333,0.974444437642168
"LGALS9C",0.109171,0.373483,0,2,1,0,0.263014666666667,0.043491,0,0,1,0,0,0.625328666666667,0.777082624929604
"LGALSL",11.041575,12.137722,11.682094,245,200,227,13.5327456666667,19.237289,14.522237,21.347709,631,364,436,17.5074876666667,0.785236004389791
"LGI1",2.233266,3.008369,1.593719,41,41,31,13.7130333333333,18.27099,5.654609,5.402656,436,128,122,8.54597433333333,1.54128146793327
"LGI2",10.934754,9.619486,13.321551,1091,607,1147,9.60767133333333,26.738033,75.229947,60.492584,2491,5857,4856,9.93515933333333,0.970051830977741
"LGI3",1.933153,0.354791,1.656814,65,14,63,5.05212633333333,9.909064,12.999371,11.002249,570,429,353,9.07518066666667,0.600696556574569
"LGI4",60.839241,32.581676,52.536857,1451,606,1063,26.4436496666667,39.543393,35.426484,38.342412,1048,753,732,27.3199586666667,0.969056840431358
"LGMN",83.93931,59.614311,72.93421,1099,794,982,221.934532333333,36.439752,35.781522,46.072846,670,455,502,134.804536333333,1.64158384066154
"LGR4",10.660055,15.444172,9.675952,746,659,612,6.28443166666667,16.466716,9.221611,9.42049,1146,472,551,1.96420633333333,2.45746444326469
"LGR4.AS1",0,0,0,0,0,0,103.171993333333,0,0.302641,0.067488,0,1,1,125.690935,0.822252936513045
"LGR5",0.050463,0.080092,0.056804,3,4,2,26.4475976666667,1.00803,0.110052,0.461154,23,6,18,11.453331,2.20403662816532
