"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ACAT1",56.259875,44.471839,63.751794,54.827836,369,255,375,106.632562,103.500411,97.170077,102.43435,946,923,785,0.539741739567175
"ACAT2",25.297509,32.783013,27.509826,28.530116,501,530,488,7.765272,8.394048,3.664681,6.60800033333333,210,229,100,3.88145566590187
"ACBD3",54.125804,44.820301,37.958539,45.6348813333333,793,793,708,26.857783,13.437707,11.62415,17.3065466666667,382,312,276,2.54744284558311
"ACBD3.AS1",0,1.337289,0,0.445763,0,5,0,0.324008,0.319377,0,0.214461666666667,2,2,0,1.19045585355377
"ACBD4",3.937219,4.63266,2.073499,3.54779266666667,64,68,45,4.538466,2.387986,1.850638,2.92569666666667,119,81,68,1.15846766900822
"ACBD5",7.912379,6.095147,7.392269,7.133265,308,226,288,7.618894,5.044549,4.657079,5.77350733333333,439,324,287,1.2007464670445
"ACBD6",24.856558,25.060157,20.197148,23.3712876666667,434,305,343,23.154423,24.794667,23.033485,23.6608583333333,532,463,433,0.988257883697614
"ACBD7",0.811197,0.918754,0.914356,0.881435666666667,39,38,35,0.572654,0.568327,0.510339,0.55044,37,38,33,1.21348498920736
"ACCS",23.189882,13.116107,20.465664,18.9238843333333,320,206,258,8.564602,4.575821,7.352098,6.83084033333333,163,107,122,2.54428432776542
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACD",8.520872,12.288536,11.733328,10.8475786666667,141,109,166,6.047245,4.588355,4.00999,4.88186333333333,85,83,68,2.01425602657661
"ACE",1.303784,1.277742,1.252099,1.277875,41,16,21,1.157448,0.481306,0.687591,0.775448333333333,31,27,17,1.28298579983084
"ACE2",0,0.275135,0.093605,0.122913333333333,0,1,2,0.292,0.608641,1.089188,0.663276333333333,17,9,22,0.675121331813174
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACER1",0.050862,0,0,0.016954,1,0,0,0,0,0,0,0,0,0,1.016954
"ACER2",0.79589,1.105758,0.950331,0.950659666666667,33,37,35,0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,1.83195737772455
"ACER3",2.862275,3.818158,3.438456,3.372963,324,261,332,5.889447,3.785697,2.608854,4.094666,373,369,276,0.858341449665199
"ACHE",23.639298,15.646921,24.253111,21.1797766666667,666,324,578,0.074404,0.220625,0.154447,0.149825333333333,5,9,7,19.2896921155561
"ACIN1",177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,48.187336,30.018075,26.134553,34.779988,1665,1167,1053,4.71760283057296
"ACKR1",7.550579,5.560224,10.119254,7.74335233333333,197,125,214,0,0,0,0,0,0,0,8.74335233333333
"ACKR2",0.359601,0.085355,0.268785,0.237913666666667,6,3,9,2.083034,1.740608,0.931254,1.58496533333333,43,37,20,0.478889852294602
"ACKR3",0.58853,1.270426,0.550161,0.803039,17,15,14,4.479841,2.665596,2.943872,3.363103,125,78,87,0.413246948330122
"ACKR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACLY",146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,8.44133631938351
"ACMSD",0,0.090128,0.068505,0.0528776666666667,0,2,1,0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,0.97458292322455
"ACNATP",0,0.075637,0,0.0252123333333333,0,1,0,0,0,0,0,0,0,0,1.02521233333333
"ACO1",7.828545,10.438737,8.19943,8.82223733333333,589,574,554,8.895559,7.661565,6.460032,7.67238533333333,708,594,504,1.1325877432568
"ACO2",44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,0.338805064421215
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",3.574162,4.075885,3.688916,3.77965433333333,68,59,57,6.652744,7.561148,4.666439,6.29344366666667,192,191,127,0.655335744235313
