"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABHD14A.ACY1",5.286409,7.547299,9.72672,7.52014266666667,36,39,52,3.110936,4.517742,5.004126,4.21093466666667,22,30,23,1.63505075608957
"ABHD14B",6.270991,5.484107,6.977415,6.244171,142,105,131,1.988993,2.13046,2.242736,2.12072966666667,33,40,33,2.32130680121925
"ABHD15",2.267084,2.653537,2.449372,2.45666433333333,118,109,110,0.139043,0.156659,0.265244,0.186982,6,8,8,2.91214553660741
"ABHD16A",43.283793,44.460669,44.105033,43.9498316666667,632,478,592,34.317671,41.166479,61.739668,45.7412726666667,552,678,517,0.961673251544185
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABHD17A",22.251861,16.580488,18.393927,19.0754253333333,855,595,608,13.189788,17.685175,18.251272,16.3754116666667,437,578,391,1.15539278829557
"ABHD17B",6.982168,5.876005,6.383279,6.41381733333333,292,190,217,9.608137,10.13461,9.429544,9.724097,351,345,244,0.691323225939987
"ABHD17C",5.189827,4.249834,4.998582,4.81274766666667,101,79,94,26.356909,23.923575,30.757178,27.012554,465,485,360,0.207505094561055
"ABHD18",3.285167,2.22549,2.818459,2.776372,157,105,137,3.898036,4.946809,4.114577,4.31980733333333,195,202,135,0.709870069229324
"ABHD2",43.040132,37.278752,34.676228,38.331704,4800,3122,3837,24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,1.86438437184266
"ABHD3",3.984849,5.25904,2.915345,4.053078,43,53,50,2.112366,4.383957,4.812756,3.769693,34,41,40,1.05941367714861
"ABHD4",36.086594,26.455903,21.679738,28.0740783333333,296,237,316,5.832204,5.914283,14.836758,8.86108166666667,103,107,75,2.94836604300847
"ABHD5",2.814933,3.503613,4.082079,3.466875,117,93,117,6.272151,9.717485,9.994526,8.66138733333333,224,264,185,0.462343020301915
"ABHD6",11.831495,8.409419,12.306665,10.849193,138,99,156,12.738211,13.156293,8.173231,11.3559116666667,201,211,124,0.958989779116528
"ABHD8",3.366122,1.881682,2.264601,2.504135,60,36,33,7.19407,9.390167,9.704944,8.76306033333333,145,236,124,0.358917683632055
"ABI1",12.69711,14.372399,14.823763,13.964424,447,426,457,19.731057,19.365981,20.50402,19.8670193333333,618,612,424,0.717132799896129
"ABI2",23.445738,22.714472,18.676018,21.612076,1466,1126,1250,50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,0.402425775219015
"ABI3",0,0.122185,0,0.0407283333333333,0,1,0,0,0.209091,0.075429,0.09484,0,3,1,0.950575731004835
"ABI3BP",2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.99652,1.116168,1.795284,1.30265733333333,15,18,16,2.56507322264769
"ABITRAM",13.474933,12.693075,15.766697,13.978235,185,143,177,12.878776,15.022405,19.706706,15.8692956666667,130,158,143,0.887899251751017
"ABL1",20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,0.870082339598081
"ABL2",7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,4.876134,5.408775,4.808567,5.03115866666667,785,862,542,1.6768861881487
"ABLIM1",13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,100.860799,75.151885,120.837451,98.950045,7750,6453,5627,0.147001047706715
"ABLIM2",2.618199,1.169305,2.227903,2.00513566666667,73,27,55,19.980956,30.901303,25.59889,25.4937163333333,462,672,364,0.113428241959612
"ABLIM3",39.693627,31.45544,35.010631,35.386566,1694,1071,1302,48.422608,52.934019,47.138285,49.498304,1626,2148,1222,0.720550258479968
"ABO",0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,0.839964,0.413628,1.770949,1.00818033333333,23,39,31,0.531095397973057
"ABR",198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,0.313816391599392
"ABRA",0,0,0,0,0,0,0,0.028665,0.053548,0.080009,0.054074,1,2,2,0.94869999639494
"ABRACL",16.160065,20.958007,19.636272,18.9181146666667,132,135,145,19.223716,14.20645,19.051796,17.4939873333333,138,111,99,1.07700488313661
"ABRAXAS1",3.82892,6.035163,5.406464,5.09018233333333,107,132,131,4.102444,3.794132,3.584166,3.826914,77,83,56,1.2617134536338
"ABRAXAS2",5.545332,5.945653,7.320012,6.27033233333333,243,210,286,9.187908,9.791007,10.77312,9.917345,353,405,295,0.665943261235523
"ABT1",4.559478,4.690372,4.720066,4.65663866666667,202,168,186,4.88843,4.285503,5.231131,4.801688,188,179,143,0.974998770472777
"ABTB1",6.145615,3.499741,5.352266,4.99920733333333,109,78,105,2.982307,4.057105,10.245762,5.76172466666667,62,115,92,0.887230348628018
"ABTB2",1.812701,1.607969,1.602889,1.67451966666667,139,98,106,1.344934,1.96267,3.69669,2.33476466666667,85,140,90,0.80201151625492
"ACAA1",38.003127,38.829187,39.570663,38.8009923333333,550,465,521,46.486176,54.061449,53.958237,51.501954,591,740,475,0.758085924446418
"ACAA2",13.362606,16.013843,12.490575,13.9556746666667,285,274,234,7.463552,10.616386,8.612113,8.89735033333333,146,199,117,1.5110786385218
"ACACA",42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,0.525312625979751
"ACACB",3.811888,6.196471,2.56891,4.192423,69,75,51,3.694984,3.933355,3.564281,3.73087333333333,62,63,54,1.09756119729831
