"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"NOTCH1",14.07259,6.805524,9.669177,10.1824303333333,2095,580,955,8.106199,17.777142,6.292629,10.7253233333333,1063,1320,699,0.95369910197217
"NOTCH2",18.078911,8.0956,7.155627,11.110046,3091,1178,1028,9.733093,20.666494,8.706164,13.0352503333333,1647,2466,1308,0.862830780526869
"NOTCH2NLA",11.053728,4.369238,3.622964,6.34864333333333,170,108,45,1.164437,15.736396,0.445795,5.78220933333333,32,65,11,1.08351762267438
"NOTCH2NLB",1.652356,1.204408,1.071644,1.30946933333333,28,16,12,0,0,0,0,0,0,0,2.30946933333333
"NOTCH2NLC",4.639296,2.816294,3.16619,3.54059333333333,373,195,145,1.013101,1.537235,2.135902,1.56207933333333,67,72,66,1.77222979564255
"NOTCH2NLR",0.695242,0.637091,0,0.444111,12,8,0,0.335305,0.34989,0.510451,0.398548666666667,5,4,6,1.03257829664371
"NOTCH2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NOTCH3",42.075397,7.994952,12.061062,20.7104703333333,2653,330,506,15.670406,50.079562,15.152345,26.9674376666667,934,1888,711,0.776276704076084
"NOTCH4",1.302057,1.089863,3.100733,1.83088433333333,45,26,57,1.506789,1.201509,1.23541,1.31456933333333,39,27,27,1.22307173631149
"NOTO",0.073379,0,0.073644,0.0490076666666667,3,0,2,0.090735,0.043861,0.073468,0.0693546666666667,3,1,2,0.98097263645613
"NOTUM",0.678241,0.769837,0.824077,0.757385,10,15,16,0.300558,1.457556,1.043277,0.933797,9,26,20,0.908774292234397
"NOVA1",13.891841,10.268615,10.752307,11.6375876666667,508,319,351,8.388264,7.96577,6.444175,7.599403,230,182,213,1.46958895479915
"NOVA2",3.888414,6.116996,7.367672,5.79102733333333,534,571,634,3.530462,2.819694,3.520456,3.290204,363,236,337,1.58291478291786
"NOX1",0.094771,0.327477,0.138832,0.187026666666667,4,3,4,0.171346,0.37266,0.169135,0.237713666666667,6,4,2,0.959047878871285
"NOX3",0.029083,0,0,0.00969433333333333,1,0,0,0,0,0,0,0,0,0,1.00969433333333
"NOX4",5.980343,1.793932,3.280238,3.68483766666667,125,34,60,4.821653,15.090714,5.697875,8.53674733333333,119,215,81,0.491240619355824
"NOX5",0.413031,0.265055,0.120721,0.266269,8,2,10,0.034711,0.365312,0.206195,0.202072666666667,4,5,6,1.05340470265525
"NOXA1",2.978445,1.655163,1.728355,2.12065433333333,77,32,29,0.58661,0.683244,0.549444,0.606432666666667,13,11,10,1.94259890133376
"NOXO1",0.736448,0,0,0.245482666666667,6,0,0,0,0.102511,0.202918,0.101809666666667,0,1,1,1.13039729487458
"NOXRED1",0.519873,0.514832,0.786519,0.607074666666667,15,10,17,0.377082,0.39883,0.54375,0.439887333333333,9,9,10,1.11611139945672
"NPAP1",0.12961,0.325411,0.339895,0.264972,19,36,33,0.138553,0.165523,0.148722,0.150932666666667,17,16,16,1.09908427889497
"NPAP1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPAP1P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPAS1",12.483739,3.571633,5.448158,7.16784333333333,143,27,30,1.293444,1.247922,1.31256,1.284642,12,12,13,3.57510863116993
"NPAS2",4.987179,2.9335,5.07436,4.33167966666667,61,51,40,5.307595,4.340467,4.468452,4.70550466666667,75,36,59,0.934479941417978
"NPAS3",2.271498,1.06022,3.377682,2.23646666666667,157,66,149,0.604028,1.36412,0.635345,0.867831,51,47,49,1.73274063160247
"NPAS4",0.079492,0,0.024683,0.034725,4,0,1,0,1.077094,0.022412,0.366502,0,6,1,0.757207087878393
"NPAT",6.076528,6.473287,6.809906,6.45324033333333,363,248,209,5.309006,5.308858,5.842486,5.48678333333333,169,170,173,1.14898863586729
"NPB",0.201606,0,0,0.067202,1,0,0,0.051112,0,0.04743,0.0328473333333333,1,0,1,1.03326209552751
"NPBWR1",0.052247,0,0.019478,0.0239083333333333,4,0,1,0,0,0,0,0,0,0,1.02390833333333
"NPBWR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPC1",27.361356,29.659583,29.982292,29.001077,645,457,407,35.194276,30.834646,37.368008,34.4656433333333,669,542,591,0.845919435833346
"NPC1L1",0,0.027984,0.046468,0.0248173333333333,0,1,3,0.037511,0.032084,0,0.0231983333333333,3,2,0,1.00158229342959
"NPC2",72.476715,74.968002,93.622479,80.355732,685,558,666,207.929094,169.461978,225.083618,200.824896666667,1696,1128,1688,0.403100575517038
"NPDC1",92.337321,117.956418,167.72682,126.006853,1122,1013,1210,115.048185,77.417137,129.664644,107.376655333333,1092,556,935,1.17190231244326
"NPEPL1",19.661872,10.860616,12.831031,14.451173,697,260,266,16.540085,13.133581,15.002651,14.8921056666667,411,269,368,0.972254610187276
"NPEPPS",164.989891,135.718758,172.231369,157.646672666667,3543,2326,2410,132.818619,134.370529,130.274627,132.487925,2406,1871,2140,1.18847208589591
"NPEPPSP1",1.599389,1.20828,1.423815,1.41049466666667,44,25,27,1.397428,1.30144,0.812709,1.17052566666667,32,24,16,1.11055801075531
"NPFF",0.431677,0.955079,1.917036,1.101264,3,5,9,2.078352,2.01155,0.573752,1.55455133333333,12,9,3,0.822556968255613
"NPFFR1",0.106842,0.066627,0.104192,0.0925536666666667,19,9,12,0.035945,0.088728,0.073507,0.06606,5,10,9,1.02485194704488
"NPFFR2",0.09587,0,0.046039,0.047303,3,0,1,0.038138,0.292618,0.075957,0.135571,1,5,1,0.922269941729755
"NPHP1",3.367423,1.976052,1.363787,2.235754,121,47,42,1.530829,1.876198,1.606133,1.67105333333333,42,56,36,1.21141497237045
"NPHP3",20.106791,9.364974,6.784083,12.0852826666667,812,243,255,14.953086,24.375088,11.829917,17.052697,518,557,422,0.724838104060943
"NPHP3.ACAD11",6.685214,1.756994,4.508952,4.31705333333333,79,21,58,7.115775,5.774539,7.909456,6.93325666666667,60,34,52,0.670223283670388
"NPHP3.AS1",0.106153,0.082563,0.087731,0.092149,5,3,3,0.027285,0.093726,0.058086,0.059699,1,3,2,1.03062190301208
"NPHP4",7.201449,7.426903,9.536484,8.05494533333333,519,393,341,8.814826,8.392874,7.228779,8.145493,490,377,370,0.990099203327074
"NPHS1",0.197527,0.409547,0.056046,0.22104,5,3,3,0.319587,0.055364,0.457479,0.277476666666667,6,3,5,0.955821763215505
"NPHS2",0.037538,0,0,0.0125126666666667,1,0,0,0,0,0,0,0,0,0,1.01251266666667
"NPIPA1",150.947053,118.668661,116.516758,128.710824,2614,1509,1448,117.114827,116.891298,104.9782,112.994775,1764,1378,1527,1.13786639782394
"NPIPA2",0.459698,0,0,0.153232666666667,7,0,0,2.005382,0.000268,0,0.66855,26,0,0,0.691158590792404
"NPIPA3",2.327994,2.032528,2.553677,2.304733,42,28,31,1.477456,3.18474,2.772015,2.47807033333333,22,38,37,0.950162786625649
"NPIPA5",10.879869,12.197417,18.594768,13.8906846666667,180,153,206,9.665113,11.856167,11.396967,10.972749,132,131,138,1.24371476146929
"NPIPA7",8.128404,5.381241,6.308943,6.606196,174,87,91,7.540394,7.669937,8.989577,8.066636,134,110,141,0.838921513999238
"NPIPA8",0.893188,23.508778,27.354383,17.2521163333333,23,62,59,0.607762,0.175775,3.237906,1.340481,13,3,7,7.79844670105561
"NPIPB11",0.757493,2.205556,1.812733,1.59192733333333,46,52,62,0.925657,1.76678,2.804746,1.83239433333333,53,65,87,0.91510115764248
"NPIPB12",48.609485,33.438868,44.439748,42.1627003333333,1010,525,649,60.669723,54.805344,46.928257,54.1344413333333,990,711,724,0.782862749481383
"NPIPB13",7.16354,2.789518,3.71702,4.55669266666667,83,24,30,2.596184,4.821551,6.518296,4.64534366666667,38,31,49,0.984296615895424
"NPIPB14P",1.110724,0.283915,1.08161,0.825416333333333,17,3,11,3.966562,2.609243,3.46041,3.345405,40,25,38,0.420079678035381
"NPIPB15",5.781803,0.940368,3.831782,3.51798433333333,27,4,16,7.063857,4.329026,3.732843,5.04190866666667,26,17,17,0.747774351217711
"NPIPB2",23.799433,24.657118,39.884248,29.446933,89,59,78,34.576159,30.645029,41.808532,35.6765733333333,95,74,99,0.830146609479693
"NPIPB3",87.305667,74.694372,83.586094,81.8620443333333,1512,974,1024,114.096645,125.525041,118.846324,119.489336666667,1702,1407,1644,0.687712677534037
"NPIPB4",126.844936,98.73419,93.598594,106.392573333333,573,349,298,162.325901,151.934459,143.753556,152.671305333333,611,502,473,0.69884597583384
"NPIPB5",117.414855,107.42972,96.030875,106.958483333333,1526,943,1046,137.364001,159.278987,128.618611,141.753866333333,1625,1427,1341,0.75625610784683
"NPIPB6",0.589814,0.339827,0.160915,0.363518666666667,20,9,4,0.506883,1.148076,0.451154,0.702037666666667,15,27,12,0.80110957199733
"NPIPB8",2.05041,3.183065,2.24076,2.49141166666667,10,12,10,4.86851,3.64951,1.339763,3.28592766666667,20,12,5,0.814622163089858
"NPIPB9",0,0,0.050567,0.0168556666666667,0,0,1,0.74577,0,0.870637,0.538802333333333,22,0,23,0.660809802948483
"NPIPP1",14.348764,7.347121,15.08461,12.260165,205,91,140,12.808562,9.055067,16.349808,12.7378123333333,163,99,142,0.96523119389436
"NPL",11.191237,13.098193,26.93964,17.0763566666667,128,133,145,25.19139,13.731854,27.389769,22.1043376666667,253,151,234,0.782379349170696
"NPLOC4",257.455103,272.656778,352.444769,294.18555,1647,1323,1382,210.582056,261.217054,226.960644,232.919918,1456,1307,1256,1.26190857334346
"NPM1",1721.764224,1207.234625,977.825716,1302.274855,6169,3429,3817,1741.310426,1908.882615,1580.325786,1743.50627566667,5107,4329,4816,0.747073755582766
"NPM1P17",0,0,0,0,0,0,0,0.113201,0,0,0.0377336666666667,1,0,0,0.9636383901971
"NPM1P23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPM1P25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPM1P30",0,0,0,0,0,0,0,0,0.131771,0.119157,0.0836426666666667,0,1,1,0.922813424351447
"NPM1P36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPM1P38",0,0,0,0,0,0,0,0,0.124242,0,0.041414,0,1,0,0.960232914095643
"NPM1P39",0.399583,0.278377,0.143446,0.273802,5,3,1,0,0.154393,0,0.0514643333333333,0,1,0,1.21145526254972
"NPM1P40",0.125564,0.360283,0.327474,0.271107,1,3,2,0.733715,0.353582,0.30112,0.462805666666667,6,2,2,0.868951378139315
"NPM1P48",0,0,0.120261,0.040087,0,0,1,0,0,0,0,0,0,0,1.040087
"NPM1P49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPM1P50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPM1P52",0,0,0,0,0,0,0,0,0.128376,0,0.042792,0,1,0,0.958964011998558
"NPM2",230.949298,210.600199,263.259584,234.936360333333,277,277,249,31.748073,45.666915,44.272873,40.5626203333333,53,22,34,5.67664787352475
"NPM3",28.91238,28.053849,31.958055,29.641428,144,81,91,29.603197,24.137927,27.167835,26.969653,113,78,91,1.09552406674477
"NPNT",13.94612,0.397192,0.61076,4.98469066666667,660,12,13,0.596622,0.038691,0.784789,0.473367333333333,2,2,3,4.06191350335354
"NPPA",0.411142,0.406792,0.780709,0.532881,4,3,5,0.499753,0.785557,0.900045,0.728451666666667,5,6,8,0.886852105593542
"NPPB",0.757455,0.286131,0,0.347862,7,2,0,0.131276,0.971943,0,0.367739666666667,1,6,0,0.985466776206681
"NPPC",0.073953,0,0.338222,0.137391666666667,1,0,3,0.242278,0,0,0.0807593333333333,2,0,0,1.05240050359655
"NPR1",0.039638,0.177263,0.102048,0.106316333333333,3,8,5,0.122357,0.200187,0,0.107514666666667,6,10,0,0.998917997775199
"NPR2",16.243394,16.889919,23.005864,18.713059,484,422,367,19.616454,17.518965,19.417771,18.8510633333333,375,257,291,0.993048013045145
"NPR3",3.010374,1.415665,2.119687,2.18190866666667,325,129,176,6.093876,8.851874,5.209215,6.71832166666667,609,704,476,0.412253959356017
"NPRL2",23.167061,23.278481,21.309222,22.5849213333333,313,208,207,19.741759,13.894614,22.014396,18.5502563333333,217,113,194,1.20637402043271
"NPRL3",15.793497,14.474753,18.327737,16.1986623333333,524,383,417,13.490981,12.113898,14.479091,13.3613233333333,343,255,323,1.19756807462265
"NPS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPSR1",0,0,0.076544,0.0255146666666667,0,0,1,0,0.108228,0,0.036076,0,2,0,0.989806410597936
"NPSR1.AS1",0.023515,0.0152,0.049995,0.02957,2,1,3,0.027787,0.034397,0.031448,0.0312106666666667,2,2,2,0.998408989821672
"NPTN",103.346766,104.785794,133.116993,113.749851,1932,1579,1606,95.403323,88.463364,101.585979,95.1508886666667,1389,1174,1325,1.19343515791946
"NPTN.IT1",1.910627,1.090869,0.516363,1.17261966666667,76,33,14,0.424206,0.789868,0.170387,0.461487,14,21,5,1.48658158893419
"NPTX1",39.636747,68.894339,58.802539,55.777875,2882,3664,3195,38.282249,25.411868,36.062957,33.252358,2468,1233,2204,1.65763405252275
"NPTX2",7.896177,9.428028,12.776134,10.0334463333333,350,317,377,3.288707,3.134675,5.36436,3.92924733333333,126,90,171,2.23836330117201
"NPTXR",4.882921,9.043212,9.063248,7.663127,516,722,624,3.456364,3.085974,3.766937,3.436425,304,216,287,1.95272702682903
"NPVF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NPW",2.878181,1.048961,1.303321,1.74348766666667,16,5,5,0.828272,0,0.907661,0.578644333333333,5,0,4,1.73787572586014
"NPY",3.116229,0,0,1.038743,20,0,0,0,1.477526,0,0.492508666666667,0,6,0,1.36598402778677
"NPY1R",0.658374,4.007789,5.865547,3.51057,24,105,129,2.493844,1.660852,2.221823,2.12550633333333,83,43,71,1.44314857144746
"NPY2R",0.15455,0,0,0.0515166666666667,9,0,0,0,0,0,0,0,0,0,1.05151666666667
"NPY4R",0.0122,0,0.018925,0.010375,0,0,0,0,0,0.094513,0.0315043333333333,0,0,2,0.979516001386971
"NPY4R2",0.019507,0.292413,0.029091,0.113670333333333,1,7,1,0.070196,0,0.166434,0.0788766666666667,2,0,4,1.03224990190414
"NPY5R",0.217839,0.398324,1.111967,0.576043333333333,5,8,22,0,0.064911,0,0.021637,0,1,0,1.54266469727832
"NPY6R",1.821974,1.394166,1.393246,1.536462,68,39,40,1.630215,0.351433,0.71311,0.898252666666667,38,6,28,1.33620884329062
"NQO1",16.775545,23.383477,29.785891,23.314971,313,339,404,28.009524,40.966534,33.925064,34.300374,465,513,495,0.688802078980806
"NQO2",21.27846,16.33062,17.655039,18.421373,368,219,228,7.373629,6.404685,7.719842,7.166052,113,85,106,2.37830631007493
"NR0B1",0,0.291524,0.661101,0.317541666666667,0,3,3,0.535318,0,0,0.178439333333333,3,0,0,1.11803945217941
"NR0B2",0.053772,0.070971,0.163313,0.0960186666666667,1,1,2,0,0.161015,0,0.0536716666666667,0,2,0,1.04018993899112
"NR1D1",1.708797,0.914274,1.068791,1.23062066666667,83,34,34,0.942397,1.131823,1.077161,1.05046033333333,38,37,38,1.08786335946351
"NR1D2",6.510474,4.336475,7.254523,6.033824,480,230,259,5.253111,4.527767,3.997243,4.592707,312,231,275,1.25767790088056
"NR1H2",9.74767,6.981516,8.562631,8.43060566666667,275,147,164,6.067217,8.034143,7.676158,7.25917266666667,133,117,146,1.14183418210008
"NR1H3",8.733955,4.366452,4.239265,5.77989066666667,102,39,35,3.580076,6.382953,4.23315,4.73205966666667,45,32,35,1.18280183056945
"NR1H4",0.099469,0,0.109209,0.0695593333333333,1,0,3,0,0,0,0,0,0,0,1.06955933333333
"NR1H5P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NR1I2",0,0,0.030241,0.0100803333333333,0,0,1,0.024336,0,0.055001,0.0264456666666667,1,0,2,0.98405630822479
"NR1I3",3.248041,3.171062,4.172065,3.53038933333333,48,34,36,1.640716,2.024658,1.897807,1.85439366666667,18,10,21,1.58716346180234
"NR2C1",34.161028,27.559933,35.004702,32.2418876666667,440,301,302,36.346365,38.767794,33.288745,36.1343013333333,434,370,338,0.895180102306848
"NR2C2",16.922271,16.059944,11.516348,14.8328543333333,2000,1357,1087,9.927168,10.749646,8.054578,9.57713066666667,1075,882,870,1.49689503063717
"NR2C2AP",3.715752,4.22991,3.065655,3.670439,54,38,39,2.464582,2.54419,3.420754,2.809842,35,26,36,1.22588784521773
"NR2E1",0.021532,0.028906,0.03159,0.0273426666666667,1,1,1,0.051805,0.064292,0,0.038699,2,2,0,0.989066771669816
"NR2E3",0.056041,0.113577,0.126011,0.098543,2,3,3,0.067685,1.143661,0.118877,0.443407666666667,2,4,3,0.761076046199006
"NR2F1",22.102385,31.322879,28.686888,27.3707173333333,699,619,533,20.268519,15.705573,19.6114,18.5284973333333,488,339,396,1.45278547801562
"NR2F1.AS1",7.549216,6.77464,7.873243,7.399033,183,116,121,6.539673,8.098325,9.290344,7.976114,151,131,116,0.935709261268295
"NR2F2",39.527689,13.262621,25.210704,26.000338,1149,386,475,17.664279,24.424184,21.141967,21.07681,569,440,458,1.22301809002297
"NR2F2.AS1",8.935435,2.898223,2.84287,4.892176,69,16,24,4.399043,6.101123,7.036053,5.84540633333333,27,33,31,0.860748904167802
"NR2F6",13.231551,11.757787,16.980579,13.9899723333333,399,262,311,9.459375,10.024907,10.709195,10.0644923333333,249,190,222,1.35478175425852
"NR3C1",4.336354,1.616899,1.665669,2.53964066666667,417,154,119,1.167842,1.525392,0.813964,1.169066,117,128,75,1.63187319642033
"NR3C1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NR3C2",1.269033,0.274954,0.206244,0.583410333333333,63,6,10,0.357437,0.427056,0.385712,0.390068333333333,21,11,21,1.13908812636309
"NR4A1",68.38963,32.720033,36.744497,45.9513866666667,1847,713,766,28.951801,23.860598,19.422924,24.078441,598,503,497,1.87218123593355
"NR4A2",23.55183,11.866442,17.838157,17.752143,1191,481,572,27.227713,29.890492,19.351439,25.4898813333333,969,874,796,0.707898339144441
"NR4A3",0.544638,0.317841,0.271466,0.377981666666667,49,23,18,0.329176,0.601004,0.362557,0.430912333333333,24,35,23,0.963009147776815
"NR5A1",0.095101,0.12566,0.028087,0.0829493333333333,3,1,1,0.104079,0.285163,0.241287,0.210176333333333,1,6,4,0.894869039745999
"NR5A2",13.067245,92.21999,77.64171,60.976315,503,1986,1749,46.125566,29.904845,43.625735,39.885382,807,309,773,1.51585510439893
"NR6A1",3.288465,3.773783,4.392557,3.81826833333333,432,377,380,3.689852,2.132646,3.396022,3.07284,413,192,336,1.18302421242507
"NRAD1",0.180026,0,0.111766,0.097264,1,0,1,0,0.033434,0,0.0111446666666667,0,1,0,1.08517014050742
"NRAP",0.019381,0,0,0.00646033333333333,2,0,0,0,0,0,0,0,0,0,1.00646033333333
"NRARP",1.127297,0.39043,1.911657,1.143128,46,12,51,0.753279,0.971061,0.649014,0.791118,26,26,19,1.19653088182911
"NRAS",20.799298,21.384767,25.419546,22.534537,1616,1277,1399,14.259216,16.760777,14.927277,15.3157566666667,929,881,868,1.44244226491079
"NRAV",4.140586,3.919865,3.491915,3.85078866666667,158,133,119,2.051449,2.228054,2.319981,2.199828,72,68,71,1.5159529408039
"NRBF2",9.528377,9.137337,11.458997,10.0415703333333,289,212,240,9.436277,10.782346,10.618936,10.2791863333333,239,220,239,0.978933232151882
"NRBP1",38.471699,41.550287,50.046136,43.3560406666667,1319,1121,1164,38.019739,41.625316,33.446024,37.6970263333333,961,836,880,1.14623899739962
"NRBP2",55.313529,40.275749,41.008436,45.5325713333333,2703,1592,1407,40.196052,34.529964,37.238613,37.321543,1711,1184,1441,1.21426664195994
"NRCAM",84.811018,85.246929,87.077632,85.7118596666667,4404,3352,2794,17.967572,18.969928,20.700569,19.2126896666667,745,701,661,4.28997135446381
"NRDC",81.439639,76.487604,87.669595,81.8656126666667,2568,1984,2052,61.583565,63.474083,63.391798,62.816482,1584,1504,1400,1.29849860208005
"NRDE2",6.758739,8.846396,10.426264,8.677133,403,304,320,6.298401,7.848714,7.757457,7.301524,331,256,264,1.16570559815282
"NREP",156.942004,166.267927,178.301132,167.170354333333,3897,3004,3421,93.962973,105.415675,97.051341,98.8099963333333,2019,1697,1895,1.68490492446967
"NREP.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NRF1",11.620889,13.794035,12.365343,12.5934223333333,319,321,259,11.661256,10.166937,11.430173,11.086122,287,188,255,1.12471331443894
"NRG1",55.572204,54.837516,43.292889,51.234203,3043,2706,2263,18.631142,12.36263,17.495196,16.1629893333333,1076,650,978,3.04342104895169
"NRG1.IT1",0.103071,0,0,0.034357,1,0,0,0.121089,0.300629,0,0.140572666666667,1,2,0,0.906875142837604
"NRG1.IT3",0,0,0.29211,0.09737,0,0,1,0,0,0,0,0,0,0,1.09737
"NRG2",2.269625,3.574982,3.19359,3.01273233333333,64,90,65,0.513296,0.424163,0.567312,0.501590333333333,23,7,16,2.67232163410748
"NRG3",13.971107,18.542367,20.940432,17.8179686666667,645,655,664,7.220217,5.186917,8.35185,6.91966133333333,283,161,303,2.37610774938861
"NRG3.AS1",0,0,0,0,0,0,0,0,0.254771,0.453216,0.235995666666667,0,1,2,0.809064325198551
"NRG4",7.503987,0.485535,0.566173,2.85189833333333,25,5,6,8.74062,0.676226,0.703896,3.37358066666667,4,4,3,0.88071962698451
"NRGN",6.231657,20.985648,24.109957,17.1090873333333,113,276,286,0.070074,0.44029,0.081257,0.197207,1,5,1,15.1261121371102
"NRIP1",3.701066,1.578821,2.01051,2.43013233333333,475,168,174,5.66756,12.158888,5.697382,7.84127666666667,659,1146,566,0.387967989539972
"NRIP2",1.471424,0.946248,1.065444,1.16103866666667,74,36,31,1.255185,1.313268,0.874361,1.14760466666667,52,44,32,1.00625534122202
"NRIP3",18.452031,14.966694,11.422052,14.9469256666667,866,398,366,0.97427,0.754074,0.979219,0.902521,46,32,50,8.38199718513838
"NRK",1.083967,0.706697,0.495448,0.762037333333333,146,57,52,3.110715,7.275183,2.536519,4.30747233333333,251,492,207,0.331991807525202
"NRL",0.478449,0.400372,0.474503,0.451108,19,14,12,0.522987,0.637195,0.209817,0.456666333333333,11,8,7,0.996184209653137
"NRM",8.521384,3.960532,5.65358,6.04516533333333,173,60,74,3.945389,4.790925,4.874997,4.53710366666667,67,63,70,1.27235568583359
"NRN1",175.383149,140.274804,167.546894,161.068282333333,4533,2639,2864,33.236743,23.496351,45.046854,33.9266493333333,671,401,798,4.64024707284642
"NRN1L",0.638218,0.439962,0.78416,0.62078,2,1,4,1.266085,0.424654,0.533369,0.741369333333333,8,2,3,0.930750283110533
"NRP1",130.949035,131.011622,81.304436,114.421697666667,5183,4012,3148,89.203128,113.858148,82.985288,95.3488546666667,3448,2933,2924,1.19795609471421
"NRP2",49.614133,86.677507,136.029896,90.7738453333333,646,899,1004,227.650177,313.607586,171.867213,237.708325333333,2324,2082,1961,0.384460178358589
"NRROS",0.128499,0.169711,0.097545,0.131918333333333,6,6,3,0.103851,0.064282,0.089123,0.085752,4,2,3,1.04252014579143
"NRSN1",3.243521,4.526455,8.214861,5.328279,83,93,143,3.237817,1.525159,2.791371,2.51811566666667,71,26,64,1.79876945489854
"NRSN2",44.005549,63.529246,62.247111,56.5939686666667,1199,1199,1136,23.971259,24.107031,27.238642,25.105644,533,374,532,2.20618838848284
"NRSN2.AS1",3.403567,3.5697,5.104891,4.02605266666667,139,136,146,3.441487,3.06556,3.596186,3.36774433333333,155,90,100,1.15072043670444
"NRTN",3.531436,2.017034,3.479673,3.009381,45,19,27,1.352501,1.502598,2.4078,1.75429966666667,15,12,21,1.45568074836689
"NRXN1",74.76612,118.555358,81.972806,91.7647613333333,3164,3673,2907,37.887406,79.499929,57.529141,58.305492,1476,878,1337,1.56418500555283
"NRXN2",274.277585,267.549629,273.013273,271.613495666667,5756,4641,4190,79.274428,56.063359,68.29324,67.877009,1481,806,1189,3.95797523186099
"NRXN3",3.027545,10.20258,9.000288,7.41013766666667,203,565,464,7.90009,10.707389,8.560328,9.05593566666667,449,534,469,0.836335667355602
"NSA2",75.89612,51.802444,59.859032,62.5191986666667,707,425,478,55.928239,54.594745,56.992133,55.8383723333333,504,388,435,1.11754077499181
"NSD1",13.624893,16.691846,10.001327,13.4393553333333,1965,1792,1415,11.120365,11.516716,7.174546,9.937209,1116,998,849,1.32020475546671
"NSD2",39.890402,36.526666,35.017332,37.1448,3007,2363,2264,22.077771,31.978381,17.120186,23.725446,1225,1091,1028,1.54273455775075
"NSD3",26.208953,24.315935,24.875286,25.1333913333333,2470,1449,1392,13.942927,15.919513,13.795768,14.552736,1030,936,818,1.68030829645236
"NSDHL",17.105796,16.45834,19.620362,17.728166,440,333,346,9.216205,11.951641,12.278263,11.148703,202,200,217,1.54157740130778
"NSF",93.069971,125.202678,104.997781,107.75681,4347,4262,4151,37.524406,28.941781,37.056105,34.5074306666667,1431,959,1373,3.06293099664059
"NSFL1C",33.963477,41.435384,39.151782,38.1835476666667,809,757,731,28.401131,26.397378,31.052051,28.6168533333333,544,442,550,1.32301521791196
"NSG1",59.184209,102.175832,118.390549,93.2501966666667,1626,2107,2029,52.627846,33.582484,36.416229,40.8755196666667,867,401,879,2.25072303381326
"NSG2",98.206271,154.233032,148.163997,133.534433333333,3219,3708,3256,33.217267,29.219413,38.292588,33.5764226666667,958,604,979,3.89092980006376
"NSL1",10.294393,9.809646,12.027203,10.710414,407,295,287,8.73914,10.283853,9.051645,9.35821266666667,233,218,213,1.13054388598187
"NSMAF",21.999117,15.691543,20.110666,19.2671086666667,323,256,271,24.605208,20.779167,21.117033,22.167136,290,218,278,0.874821500019108
"NSMCE1",114.677924,72.859222,75.417683,87.6516096666667,264,119,132,68.928401,44.286619,49.762457,54.3258256666667,112,75,99,1.60235493277199
"NSMCE1.DT",0.260019,0.121532,0.031617,0.137722666666667,10,3,1,0.313691,0.97876,0.208073,0.500174666666667,8,4,4,0.758393467071834
"NSMCE2",16.82647,14.297943,13.492611,14.8723413333333,206,137,147,12.059288,12.937837,14.409058,13.1353943333333,131,106,117,1.12287927446807
"NSMCE3",3.397731,3.712696,3.720499,3.61030866666667,296,248,226,2.602931,2.912603,2.785483,2.76700566666667,191,171,180,1.223865604308
"NSMCE4A",22.489561,18.540397,25.88601,22.3053226666667,295,175,226,20.740333,25.425919,24.140739,23.4356636666667,209,215,225,0.953742160826107
"NSMF",56.750304,44.140233,56.92503,52.605189,1607,1004,1085,27.470039,32.651778,24.898945,28.340254,668,600,546,1.82701857318618
"NSRP1",20.738703,13.973359,19.934846,18.215636,439,246,300,14.197966,22.199752,13.411863,16.6031936666667,288,253,234,1.09159942018854
"NSRP1P1",0,0,0,0,0,0,0,0,0.216123,0.048829,0.0883173333333333,0,4,1,0.918849649244461
"NSUN2",25.278987,21.973922,26.133011,24.4619733333333,799,588,585,32.334728,28.949427,28.780469,30.0215413333333,842,705,671,0.820783630953046
"NSUN3",4.950817,4.837554,4.386367,4.72491266666667,243,221,233,2.237021,3.6982,2.304786,2.746669,161,145,158,1.52800064982166
