"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"CPSF1P1",0.485903,0.284867,0.001534,0.257434666666667,34,15,0,0,1.02574,0.396319,0.474019666666667,0,56,14,0.853065054084534
"CPSF1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CPSF2",22.32007,22.045982,23.227163,22.5310716666667,871,628,702,12.078195,14.519887,11.893985,12.830689,390,464,347,1.70136655279189
"CPSF3",22.882609,18.189889,28.197609,23.0900356666667,507,339,400,21.960881,14.065597,21.424715,19.1503976666667,306,283,239,1.19551167501359
"CPSF4",36.224986,30.169195,41.073272,35.8224843333333,523,333,383,32.034617,33.790195,39.359668,35.0614933333333,324,342,285,1.02110259253453
"CPSF4L",0.124835,0,0,0.0416116666666667,1,0,0,0.068598,0.161258,0.248506,0.159454,1,1,1,0.89836394256837
"CPSF6",101.459108,85.860918,119.218619,102.179548333333,1815,1020,1126,99.21127,79.420482,112.68985,97.1072006666667,1134,1128,997,1.05170209354868
"CPSF7",62.959597,60.162882,59.099877,60.7407853333333,1322,749,820,45.672082,56.232414,70.576165,57.4935536666667,703,732,572,1.05551435095176
"CPT1A",4.44285,2.35976,2.581972,3.128194,333,154,126,0.804577,2.80287,2.933955,2.18046733333333,49,177,72,1.29798346196922
"CPT1B",40.561136,40.745628,53.052118,44.786294,680,599,637,39.681311,35.365186,50.018533,41.6883433333333,538,510,462,1.07257134910287
"CPT1C",84.965071,101.888365,119.904897,102.252777666667,1036,944,936,143.379266,101.419582,139.103264,127.967370666667,1070,1097,856,0.800611636361396
"CPT2",7.060636,6.563556,6.755248,6.79314666666667,338,236,212,3.407817,6.36236,4.434602,4.73492633333333,121,220,109,1.35889220082397
"CPTP",7.59842,7.774845,9.434125,8.26913,260,199,221,5.402098,9.197891,8.38555,7.66184633333333,122,226,135,1.07011018705442
"CPVL",17.571139,30.819378,41.458414,29.9496436666667,203,279,326,5.213531,4.994804,8.128411,6.11224866666667,49,47,39,4.35159752100906
"CPVL.AS1",0,0,0,0,0,0,0,0,0.462385,0,0.154128333333333,0,1,0,0.866454770338943
"CPXCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CPXM1",49.662751,24.919262,30.204077,34.9286966666667,2145,817,859,14.624458,9.384718,11.206823,11.7386663333333,443,313,241,2.82044412864884
"CPXM2",16.770421,16.945924,20.369674,18.028673,1081,825,867,0.230495,0.478897,0.212123,0.307171666666667,10,24,6,14.5571339138063
"CPZ",1.724264,3.153364,2.379747,2.419125,32,53,45,0.510182,1.078332,0.450368,0.679627333333333,9,17,5,2.03564501014312
"CR1",0.030725,0.265056,0.475574,0.257118333333333,2,6,2,0.282399,0.232721,0.118705,0.211275,4,7,2,1.03784717205699
"CR1L",0,0,0,0,0,0,0,0.692154,1.269293,2.885965,1.615804,1,2,3,0.382291639587676
"CR2",0.881256,0.582366,0.130103,0.531241666666667,10,5,1,0.611955,0.867553,0.402899,0.627469,10,11,4,0.940873016116846
"CRABP1",55.048023,13.47125,23.724057,30.7477766666667,413,69,102,46.323637,27.696543,124.669991,66.230057,305,151,521,0.47222593707851
"CRABP2",35.687091,3.451443,4.628661,14.589065,338,25,33,16.861102,15.226502,13.436568,15.174724,96,123,70,0.963791716013207
"CRACD",97.009904,165.88799,172.389288,145.095727333333,1523,2045,1554,121.72989,192.336536,158.155708,157.407378,1380,1773,1360,0.922278552791483
"CRACDL",0.131223,0.704875,0.623528,0.486542,8,16,11,0.532932,0.372788,0.217225,0.374315,13,12,6,1.08166031804936
"CRACR2A",0.350535,0.746566,0.516047,0.537716,15,18,15,0.345041,0.21604,0.102081,0.221054,11,11,2,1.25933496798667
"CRACR2B",4.205928,3.91823,4.608143,4.24410033333333,67,56,62,4.323637,5.648189,3.387467,4.45309766666667,47,67,36,0.961673649344137
"CRADD",5.241271,6.987325,8.216431,6.815009,92,86,79,10.818879,13.199473,18.810501,14.2762843333333,89,104,89,0.511577869950182
"CRAMP1",13.48322,25.756831,23.540653,20.9269013333333,1009,777,904,12.352423,19.879889,14.103926,15.4454126666667,652,662,642,1.33331414527391
"CRAT",32.811728,35.341486,44.761342,37.6381853333333,948,730,681,38.929206,40.466469,32.97217,37.4559483333333,638,847,530,1.00473885076037
"CRAT37",0.057878,0.183925,0.200386,0.147396333333333,2,5,5,0.22676,0.22121,0.655403,0.367791,5,5,8,0.838868170161475
"CRB1",3.027085,0.093761,0.109033,1.07662633333333,65,8,7,0.155918,0.920507,0.563667,0.546697333333333,6,26,13,1.34261971529875
"CRB2",2.800869,0.097194,2.595592,1.83121833333333,264,6,158,0.124264,0.102021,0.898473,0.374919333333333,5,8,42,2.05918868452404
"CRB3",0.357521,0.136485,0.236514,0.243506666666667,6,2,3,0.086984,0.400636,0.264181,0.250600333333333,1,6,3,0.994327790839653
"CRB3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CRBN",50.110064,38.273816,51.664268,46.682716,797,566,632,42.412797,42.497119,60.457038,48.4556513333333,589,661,464,0.964151006294838
"CRCP",8.88197,12.665963,17.093872,12.8806016666667,343,363,371,16.039794,16.814355,17.496764,16.7836376666667,340,482,303,0.78052656755846
"CRCT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CREB1",36.550822,23.065803,26.865653,28.827426,976,601,603,32.50017,24.521525,34.951789,30.657828,641,649,517,0.942181693576704
"CREB3",18.308123,19.177979,21.301189,19.5957636666667,460,365,354,21.309009,21.372845,22.500871,21.727575,378,415,283,0.906201548852734
"CREB3L1",8.241809,5.307367,3.464812,5.67132933333333,167,78,64,6.428117,6.66128,2.605184,5.231527,74,102,38,1.07057697629062
"CREB3L2",10.330995,7.056155,8.410116,8.59908866666667,1415,755,779,2.26094,2.458448,1.99951,2.23963266666667,184,254,139,2.96301761784104
"CREB3L2.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CREB3L3",0.084502,0.083724,0,0.0560753333333333,4,3,0,0.030404,0.027331,0.313051,0.123595333333333,1,1,2,0.939907190785769
