"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,2.63534975837515
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,0.722949241219375
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,0.783736124904481
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,0.262541651246899
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,0.0183819172826426
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,0.410890016644642
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,1.38783196927208
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,0.0487162493440785
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,11.5841638273108
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.878242510311069
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,10.116805333455
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,0.116370484603201
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",26.341607,23.504182,26.967993,2641,611,998,25.604594,0.776608556151367
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,2.36343283607667
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,0.0665684063289145
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",0.439284,0.279318,1.026169,16,4,8,0.581590333333333,4.8103482760285
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,0.942222606525295
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",125.69735,116.889252,125.849008,2023,465,730,122.81187,0.0317069491533135
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,0.12741059257182
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,0.776349223432246
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,0.54945284711224
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,1.08527984418735
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0.600157841512318
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,0.579840419582093
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,0.659292337726928
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,1.1185070848308
"ACER1",0,0,0,0,0,0,0,"Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0.996573117240848
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,0.459702464248565
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,0.424797138772438
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,0.0231696083553299
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,0.770566824163907
"ACKR1",0,0,0,0,0,0,0,"Ackr1",401.909922,315.577281,419.361754,3251,659,1169,378.949652333333,0.00263192766162263
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",0.230189,0,0.108776,12,0,5,0.112988333333333,2.32254486045826
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",1.643219,1.944276,2.196828,207,60,91,1.92810766666667,1.49007601382599
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.241529,0.299142,0.237301,17,5,6,0.259324,0.794076822168084
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,0.0654560203739627
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.932762721839848
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,1.09341136711492
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,0.717059055324538
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,7.1380856126688
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,2.59093947488798
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,0.907475331083509
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot5",0.022455,0,0.05176,1,0,1,0.0247383333333333,7.11737175181306
"ACOT11",20.174206,15.320592,11.474642,15.65648,1325,899,708,"Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,1.75580298158856
"ACOT12",0.102651,0,0,0.034217,1,0,0,"Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.82387925345966
"ACOT13",28.624228,30.396445,27.420034,28.813569,613,576,520,"Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,0.155568644585346
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot1",7.148477,6.705464,7.257272,166,41,75,7.037071,10.8900630590423
