"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",18.073398,20.606721,19.713457,479,1011,988,19.4645253333333,24.3478493091851
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",0.97749,0.350438,0.41702,94,47,60,0.581649333333333,0.637067255531567
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0,0.018565,0.036549,0,1,2,0.0183713333333333,11.7599549476713
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",36.691042,10.677867,10.414354,1409,875,776,19.2610876666667,0.123652295534052
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",30.626323,20.849619,19.366028,1311,1961,1795,23.61399,0.839415118529476
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",43.890942,47.535747,47.180457,948,1985,2072,46.202382,2.1912951342159
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",21.860344,25.469903,26.905039,427,936,993,24.7450953333333,0.295512610647936
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",2.836098,2.697745,2.366028,43,78,76,2.63329033333333,2.09396982771631
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",10.281829,7.11692,5.836016,516,626,510,7.74492166666667,2.09339172658875
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",48.447059,53.277535,51.466468,249,586,589,51.0636873333333,0.0754018178069626
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",31.718534,21.222073,20.502479,1208,1400,1161,24.4810286666667,0.265825505788712
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",46.051315,40.289734,37.283973,465,683,684,41.2083406666667,0.584265051499853
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",0,0.633204,0.507256,0,5,4,0.380153333333333,1.12338242610724
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",1.702548,1.880763,1.530269,43,62,61,1.70452666666667,2.89545687600295
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0.221119,0.229811,0,2,2,0.15031,0.869330876024724
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",15.910447,14.66128,14.732569,297,491,503,15.101432,0.365300634958017
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",8.036527,5.639198,4.870534,431,541,552,6.18208633333333,0.247205094861247
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.383734,0.590837,0.631366,19,44,39,0.535312333333333,1.08334721035047
