"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"RADX","Radx",0.193615,0.080049,0.123513,10,4,12,0.132392333333333,2.719504,1.417405,1.44524,60,32,48,57.703074,0.0192901709599285
"RAE1","Rae1",25.676679,23.710458,20.412053,275,269,475,23.2663966666667,25.074746,16.08608,28.614843,434,297,391,0,24.2663966666667
"RAF1","Raf1",44.32339,40.13328,36.565435,621,653,1247,40.3407016666667,60.25127,68.777726,52.826561,1295,1066,1127,0,41.3407016666667
"RAG1","Rag1",0.062885,0.075537,0.044276,6,7,8,0.0608993333333333,0.797695,0.329119,0.222348,30,27,20,0,1.06089933333333
"RAG2","Rag2",0.04422,0.02226,0.057259,2,1,5,0.0412463333333333,0,0,0.274469,0,0,1,0.156603666666667,0.900262002743089
"RAI1","Rai1",12.181609,12.129405,11.642968,798,843,1560,11.9846606666667,20.656242,24.15487,19.07015,1367,1150,941,0.872660333333333,6.93380451090881
"RAI14","Rai14",1.874862,1.941926,1.930467,126,126,245,1.91575166666667,85.645702,175.374186,84.687504,1046,1335,1069,0,2.91575166666667
"RAI2","Rai2",2.843583,2.496664,2.667242,82,70,146,2.669163,2.997616,1.255929,1.650336,53,31,47,0.050685,3.49216273193202
"RALA","Rala",21.440869,21.927305,22.822121,774,727,1340,22.0634316666667,32.4174,36.573741,42.523433,779,596,746,0,23.0634316666667
"RALB","Ralb",4.879987,4.690154,5.408176,148,141,312,4.99277233333333,26.724693,18.397566,21.377345,319,323,344,0,5.99277233333333
"RALBP1","Ralbp1",14.979059,25.105205,24.358158,749,834,1483,21.4808073333333,8.609155,13.233115,8.919895,557,524,534,0,22.4808073333333
"RALGAPA1","Ralgapa1",43.305096,39.935575,42.191612,2322,2105,3969,41.810761,7.961111,23.38137,10.270692,358,321,379,1.07691866666667,20.6126323996639
"RALGAPA2","Ralgapa2",2.7763,2.782121,3.078367,346,298,763,2.87892933333333,3.106376,3.051008,3.428963,322,242,277,0,3.87892933333333
"RALGAPB","Ralgapb",25.635825,23.365755,22.590554,1895,2045,3537,23.8640446666667,10.590768,10.312944,9.998398,1072,886,886,0.280413666666667,19.4187591978738
"RALGDS","Ralgds",34.961644,33.639197,38.33852,852,862,1739,35.6464536666667,251.850556,123.51641,212.71722,2034,1328,1820,2.16596433333333,11.5751315581256
"RALGPS1","Ralgps1",13.302301,13.019262,13.750684,900,853,1723,13.3574156666667,9.416828,5.562358,8.367771,406,226,341,23.769996,0.579629309050622
"RALGPS2","Ralgps2",16.995678,17.648571,14.750719,532,500,1030,16.4649893333333,3.263666,6.259214,3.413593,339,334,280,0.113630333333333,15.6829324871718
"RALY","Raly",39.920876,58.368198,52.975354,530,613,1075,50.421476,77.01326,80.792751,83.660293,887,743,787,5.18954766666667,8.30779222800503
"RALYL","Ralyl",136.056021,139.102537,123.565926,719,683,1198,132.908161333333,4.120963,4.06861,4.612144,91,71,95,23.4589786666667,5.47480592539323
"RAMAC","Ramac",37.130219,30.116698,28.151148,580,497,878,31.799355,13.211366,15.40027,15.980563,277,260,298,1.43820133333333,13.4522750650616
"RAMP1","Ramp1",14.104187,15.100113,15.890577,400,437,873,15.0316256666667,0.315707,1.185995,0.368408,3,9,3,0,16.0316256666667
"RAMP2","Ramp2",17.020222,20.580482,22.703149,81,92,223,20.1012843333333,1.680095,1.143938,2.017741,12,7,11,0.983327,10.6393369995635
"RAMP3","Ramp3",6.42199,6.439262,5.586336,96,94,158,6.149196,0.202796,0,0.189149,2,0,3,0.084579,6.59167843006365
"RAN","Ran",204.159054,237.859505,296.572179,1528,1597,2884,246.196912666667,231.414396,280.723132,263.843294,2160,1974,2058,1.09835866666667,117.804890361927
"RANBP1","Ranbp1",28.727021,32.826431,29.071357,298,337,580,30.2082696666667,107.63007,157.11335,105.552068,496,558,447,0.577869,19.7787456795632
"RANBP10","Ranbp10",5.30271,5.221491,4.974907,399,382,716,5.16636933333333,8.691349,7.335466,8.509497,540,404,482,0,6.16636933333333
"RANBP17","Ranbp17",1.001083,1.388961,2.393125,59,66,146,1.59438966666667,6.724322,12.295877,4.631367,124,118,107,14.4741506666667,0.16765958420292
"RANBP3","Ranbp3",21.007637,21.429452,21.935006,650,648,1191,21.457365,50.535868,47.257997,42.282952,595,481,489,0,22.457365
"RANBP3L","Ranbp3l",3.327542,4.195771,4.250043,107,126,258,3.924452,0.097166,0.304718,0.135774,4,16,8,0,4.924452
"RANBP6","Ranbp6",8.984873,9.348582,8.26781,578,586,1008,8.86708833333333,8.295027,9.812996,8.663647,587,503,548,0.441752,6.8438180306553
"RANBP9","Ranbp9",36.915319,41.707354,38.453025,943,901,1676,39.0252326666667,15.300833,18.654515,18.251392,561,481,508,0,40.0252326666667
"RANGAP1","Rangap1",56.239284,51.498974,53.35559,2198,2032,3897,53.6979493333333,38.599194,37.160301,34.36226,1077,777,904,0.060797,51.5630694028484
"RANGRF","Rangrf",12.538145,16.251885,14.930505,49,67,109,14.5735116666667,14.388603,15.089352,15.353466,152,107,149,0,15.5735116666667
