"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"ACTG2",3.1989,3.1989,0.239946,0.184371,2.284464,0.902927,2.20654812297056
"ACTL10",1.54718,1.54718,0.141201,0.158296,0.137933,0.14581,2.22303872369765
"ACTL6A",17.77168,17.77168,67.288182,35.925033,85.845286,63.0195003333333,0.293218158565134
"ACTL6B",30.92273,30.92273,154.861852,109.866441,166.128293,143.618862,0.220736974129972
"ACTL7A",0,0,0,0,0.078863,0.0262876666666667,0.974385674192064
"ACTL7B",0.02091,0.02091,0,0,0.088939,0.0296463333333333,0.991515209591384
"ACTL8",0.02091,0.02091,0.049515,0,0,0.016505,1.00433347597897
"ACTL9",0,0,0,0,0,0,1
"ACTN1",19.08888,19.08888,42.915893,53.04208,30.351943,42.1033053333333,0.466063561591054
"ACTN2",5.38377,5.38377,10.431195,12.550374,2.658834,8.546801,0.668681582448403
"ACTN4",154.94816,154.94816,88.341101,89.90874,113.006576,97.0854723333333,1.58992107893436
"ACTR10",226.8921,226.8921,175.090819,207.781083,223.094765,201.988889,1.12268263116608
"ACTR1A",278.2209,278.2209,135.467299,131.59114,164.703958,143.920799,1.92671377695068
"ACTR1B",132.78582,132.78582,28.348357,31.987461,34.845941,31.727253,4.08790251965235
"ACTR2",57.96704,57.96704,90.130579,85.113097,98.337326,91.1936673333333,0.63959967865038
"ACTR3",75.04877,75.04877,83.778842,80.647357,87.559013,83.9950706666667,0.894743299858503
"ACTR3B",30.56729,30.56729,23.73554,20.329805,21.54651,21.8706183333333,1.38025520516826
"ACTR3C",5.16424,5.16424,0.030079,0.14202,0.021249,0.0644493333333333,5.79101306841597
"ACTR5",6.39781,6.39781,2.282428,2.070326,3.460384,2.60437933333333,2.05245045425297
"ACTR6",37.71778,37.71778,24.835879,26.636835,23.772285,25.0816663333333,1.48448260571899
