"Hs_symbol","DRG","dHs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"KIAA1143",11.64568,11.64568,8.763408,8.525145,8.121068,8.46987366666667,395,363,357,1.33535889127138
"KIAA1191",60.61189,60.61189,43.230246,51.901528,50.583779,48.571851,1211,1099,1204,1.24288056138957
"KIAA1210",0.03136,0.03136,0.024407,0.010113,0.02755,0.02069,3,1,3,1.01045371268456
"KIAA1217",13.38103,13.38103,11.210995,12.661762,8.440048,10.770935,638,540,474,1.22174066885936
"KIAA1328",4.04567,4.04567,3.193921,4.369594,1.743398,3.10230433333333,103,102,57,1.22995994202608
"KIAA1522",21.66054,21.66054,7.510964,5.555811,5.126794,6.064523,487,273,374,3.20765322725965
"KIAA1549",0.71087,0.71087,4.804506,4.489713,4.47595,4.59005633333333,959,720,789,0.306055949704502
"KIAA1549L",1.70399,1.70399,1.801581,1.818441,1.960204,1.86007533333333,335,244,323,0.945426146117829
"KIAA1586",2.9271,2.9271,3.347753,3.531046,3.58778,3.48885966666667,112,113,99,0.874854705118501
"KIAA1614",2.77029,2.77029,0.808933,0.938109,1.329532,1.02552466666667,45,36,34,1.8613893289212
"KIAA1671",3.64842,3.64842,4.175779,4.921709,4.166886,4.421458,491,454,409,0.857411419584916
"KIAA1755",5.79148,5.79148,341.306657,338.949323,366.717259,348.991079666667,3491,1612,2603,0.0194047231331388
"KIAA1841",27.67155,27.67155,11.686553,15.873935,11.980737,13.1804083333333,277,255,234,2.02191286217075
"KIAA1958",0.39725,0.39725,0.581643,0.558354,0.494214,0.544737,98,84,82,0.90452290584093
"KIAA2013",33.14941,33.14941,11.810111,11.096043,11.979418,11.628524,450,329,388,2.70414895675853
"KIAA2026",3.41844,3.41844,3.572289,5.844691,3.752593,4.38985766666667,294,266,269,0.819769328478866
"KIDINS220",13.65283,13.65283,40.190507,34.233571,37.713814,37.3792973333333,4535,2998,3674,0.381789949741307
"KIF11",0.81541,0.81541,0.615658,2.482172,0.777976,1.29193533333333,47,154,54,0.792086047802978
"KIF12",0.26135,0.26135,0.026337,0,0,0.008779,1,0,0,1.2503729756468
"KIF13A",7.33866,7.33866,43.970252,15.732304,32.136707,30.6130876666667,1229,853,984,0.263772399834022
"KIF13B",8.01816,8.01816,1.769135,3.003342,2.279403,2.35062666666667,243,274,227,2.69148457800929
"KIF14",0.07318,0.07318,0.18864,0.380495,0.157854,0.242329666666667,20,35,15,0.863844781940596
"KIF15",0.51224,0.51224,1.276606,2.267516,0.791707,1.44527633333333,27,51,16,0.61843317231086
"KIF16B",6.69052,6.69052,6.360948,6.498176,5.295769,6.051631,190,178,190,1.09060159273791
"KIF17",2.15351,2.15351,0.793572,3.217062,0.683161,1.56459833333333,8,11,6,1.22963115081699
"KIF18A",0.25089,0.25089,0.649483,1.3622,0.588326,0.866669666666667,25,49,21,0.670118565880876
"KIF18B",0.24044,0.24044,1.159898,1.664425,0.224614,1.01631233333333,25,73,13,0.615202307446746
"KIF19",23.45862,23.45862,0.185439,0.810534,0.197361,0.397778,6,18,5,17.4982150241312
"KIF1A",229.96556,229.96556,4713.527868,3415.265847,3115.843727,3748.21248066667,16567,8603,12092,0.0616037531057538
"KIF1B",27.12795,27.12795,33.918801,32.757671,29.495011,32.057161,5309,3827,4082,0.850888253834018
"KIF1C",32.0413,32.0413,23.211452,24.07819,15.63633,20.975324,836,865,648,1.50356372447569
"KIF20A",0.47043,0.47043,1.048104,4.51696,1.19394,2.25300133333333,30,76,20,0.452022562958269
"KIF20B",0.89904,0.89904,0.663261,1.4847,0.73489,0.960950333333333,48,101,47,0.968428403167104
"KIF21A",133.15171,133.15171,17.807875,15.934056,20.679742,18.1405576666667,1125,759,1084,7.00876705560286
"KIF21B",5.84375,5.84375,9.042432,5.515058,6.885149,7.14754633333333,1333,684,937,0.83997681265104
"KIF22",43.81242,43.81242,18.733891,23.051939,17.979781,19.9218703333333,295,278,233,2.14189359201809
"KIF23",2.2685,2.2685,2.247776,6.354471,1.778484,3.46024366666667,57,134,52,0.732807497587389
"KIF24",0.61678,0.61678,0.286868,0.738288,0.301929,0.442361666666667,27,55,26,1.12092551914279
"KIF25",0.48088,0.48088,0.13263,0.480953,0.228855,0.280812666666667,5,9,8,1.15620343125901
"KIF26A",1.17084,1.17084,1.896224,1.749776,1.643546,1.763182,194,134,137,0.785630479642673
"KIF26B",0.94085,0.94085,1.417899,1.458882,1.325032,1.40060433333333,268,246,232,0.808483919257554
"KIF27",3.08391,3.08391,1.219351,1.587438,0.716412,1.17440033333333,63,53,53,1.87817760023032
"KIF2A",19.95655,19.95655,57.050263,73.407593,71.432591,67.2968156666667,1014,1003,1054,0.306845199083391
"KIF2B",0,0,0,0,0,0,0,0,0,1
"KIF2C",1.24402,1.24402,1.189315,7.539046,2.883121,3.870494,25,81,25,0.460737658233436
"KIF3A",26.72025,26.72025,26.799271,23.347975,28.197462,26.1149026666667,1064,752,982,1.02232526300297
"KIF3B",11.50978,11.50978,8.606146,9.258698,8.657914,8.84091933333333,827,717,738,1.27120033975146
"KIF3C",164.82712,164.82712,58.103477,38.963723,52.931258,49.999486,1544,977,1372,3.25154492733515
"KIF4A",0.49133,0.49133,0.460535,1.381768,0.160352,0.667551666666667,31,75,10,0.89432311442624
"KIF4B",0,0,0,0,0.114117,0.038039,0,0,0,0.963354941384669
"KIF5A",189.57157,189.57157,1024.373683,647.243616,1036.019094,902.545464333333,3864,2056,3390,0.210915308108608
"KIF5B",32.90897,32.90897,40.958784,69.684021,39.856218,50.166341,2059,2914,1861,0.662720244154257
"KIF5C",99.21825,99.21825,119.61702,95.231802,111.20952,108.686114,9915,6307,8413,0.913682200465229
"KIF6",0.50179,0.50179,0.588462,0.262999,0.748489,0.533316666666667,22,7,18,0.979438906944641
"KIF7",2.66575,2.66575,2.596785,4.935744,3.589174,3.70723433333333,158,176,133,0.77874814390304
"KIF9",13.1615,13.1615,3.854663,3.067597,3.081233,3.33449766666667,51,26,35,3.26716060061708
"KIFAP3",174.04749,174.04749,28.355418,23.48049,31.323101,27.7196696666667,1229,807,1186,6.0950384190236
"KIFC1",1.39037,1.39037,2.084669,5.278879,1.63405,2.99919933333333,42,92,32,0.5977121420471
"KIFC2",44.13649,44.13649,44.015012,27.734367,36.93557,36.2283163333333,757,382,571,1.21242361851282
"KIFC3",35.65836,35.65836,55.70174,49.139182,51.16974,52.003554,688,616,624,0.691620792069905
"KIN",8.96947,8.96947,6.814708,9.931159,6.619209,7.78835866666667,189,156,170,1.13439498524487
"KIR2DL1",0,0,0,0,0,0,0,0,0,1
"KIR2DL3",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KIR2DL4",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KIR2DP1",0,0,0,0,0,0,0,0,0,1
"KIR3DL1",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KIR3DL2",0,0,0,0,0,0,0,0,0,1
"KIR3DL3",0,0,0,0,0,0,0,0,0,1
"KIR3DP1",0,0,0,0,0,0,0,0,0,1
"KIR3DX1",0.03136,0.03136,0.134705,0.099614,0.105021,0.113113333333333,8,5,6,0.926554349062989
"KIRREL2",0.11499,0.11499,0.126478,0.237474,0.131452,0.165134666666667,5,8,3,0.956962342550389
"KIRREL3",14.41597,14.41597,18.03802,12.435153,21.330277,17.2678166666667,724,337,667,0.843886835591555
"KISS1",0.49133,0.49133,0,0,0.368911,0.122970333333333,0,0,1,1.3280226162104
"KISS1R",0.11499,0.11499,0.242278,0,0,0.0807593333333333,2,0,0,1.03167279301775
"KIT",3.02119,3.02119,1.78304,3.249223,1.169714,2.06732566666667,139,201,83,1.31097589137639
"KITLG",2.45667,2.45667,17.017063,24.744723,20.260868,20.674218,1354,1578,1327,0.159483031867632
"KL",0.28226,0.28226,0,0,0,0,0,0,0,1.28226
"KLB",0.10454,0.10454,0.079907,0.054571,0.072318,0.068932,8,4,6,1.0333117541621
"KLC1",1601.13443,1601.13443,219.822307,206.595245,229.092081,218.503211,3871,2758,3592,7.29891113073512
"KLC2",119.30025,119.30025,48.696324,33.579433,48.837718,43.7044916666667,771,454,671,2.69101035522344
"KLC3",0.41816,0.41816,0.034839,0.587864,0.662998,0.428567,1,7,9,0.99271507741674
"KLC4",36.97555,36.97555,36.062375,34.179117,37.656044,35.9658453333333,448,338,380,1.02731452933273
"KLF1",0.16726,0.16726,0.047694,0,0,0.015898,1,0,0,1.14899330444592
"KLF10",7.53728,7.53728,8.209781,13.549186,8.945768,10.2349116666667,357,473,341,0.759888484511152
"KLF11",5.23742,5.23742,3.548806,3.026809,3.377779,3.317798,119,126,125,1.44458355856388
"KLF12",1.17084,1.17084,1.749983,2.119093,1.792076,1.88705066666667,276,266,268,0.751923069817964
"KLF13",36.74557,36.74557,19.577973,14.818833,21.183533,18.5267796666667,867,638,735,1.93301561467577
"KLF14",0.19862,0.19862,0,0,0,0,0,0,0,1.19862
"KLF15",29.03056,29.03056,0.396652,0.361219,0.226841,0.328237333333333,15,11,7,22.60933287023
"KLF16",16.20359,16.20359,6.783768,8.867522,8.547472,8.066254,255,274,225,1.8975411454389
"KLF17",0.01045,0.01045,0.403061,0.334958,0.32816,0.355393,17,13,14,0.745503333719445
"KLF2",37.36235,37.36235,0.772744,0.998129,0.696167,0.822346666666667,5,7,4,21.0510715121894
"KLF3",6.23054,6.23054,4.948343,6.567691,4.339203,5.285079,373,451,301,1.15042945363137
"KLF4",11.38433,11.38433,5.862344,3.915249,5.319281,5.03229133333333,169,101,133,2.0530059500884
"KLF5",11.52023,11.52023,1.042854,3.358836,1.731277,2.04432233333333,45,84,43,4.11264926282992
"KLF6",24.99535,24.99535,15.989477,25.922872,14.678329,18.8635593333333,801,912,694,1.30869546407913
"KLF7",10.01487,10.01487,10.291299,10.34965,8.713315,9.78475466666667,880,779,803,1.02133709485711
"KLF8",3.29299,3.29299,1.230973,1.567175,1.28666,1.36160266666667,166,143,142,1.81782907878379
"KLF9",34.21571,34.21571,1.398408,1.35046,1.217127,1.32199833333333,109,84,83,15.1661219969294
"KLHDC1",2.04897,2.04897,2.05464,2.04156,3.732076,2.60942533333333,57,44,59,0.844724497232985
"KLHDC10",4.91335,4.91335,7.779376,11.468916,5.941697,8.396663,585,500,494,0.629303189866445
"KLHDC2",84.83364,84.83364,41.289174,36.568087,44.956916,40.938059,430,364,439,2.04667650450871
"KLHDC3",149.59574,149.59574,24.208122,24.562887,25.363299,24.711436,656,538,603,5.85715010239024
"KLHDC4",22.0787,22.0787,28.759673,29.511816,22.980049,27.083846,418,320,348,0.821778470085614
"KLHDC7A",0.01045,0.01045,0,0.04596,0,0.01532,0,3,0,0.995203482645865
"KLHDC7B",0.58542,0.58542,0.013471,0,0,0.00449033333333333,1,0,0,1.57833275979759
"KLHDC8A",13.09877,13.09877,4.19092,3.541841,2.460413,3.39772466666667,93,84,85,3.20592376027179
"KLHDC8B",36.09742,36.09742,23.929137,27.053243,23.202044,24.7281413333333,286,306,230,1.44190050572898
"KLHDC9",23.34363,23.34363,2.659959,1.616505,2.31678,2.197748,17,8,19,7.61274184207136
"KLHL1",2.86438,2.86438,0.940616,0.079058,1.211375,0.743683,59,4,66,2.21621705321437
"KLHL10",0.09409,0.09409,0.034825,0.240019,0.218582,0.164475333333333,1,1,1,0.939556183528719
"KLHL11",0.50179,0.50179,0.385343,0.685277,0.562755,0.544458333333333,45,64,58,0.97237327002455
"KLHL12",27.76564,27.76564,10.534476,13.732203,12.702731,12.3231366666667,471,408,477,2.15907415195771
"KLHL13",5.39423,5.39423,4.25048,13.198961,5.531489,7.66031,116,134,108,0.738337311250983
"KLHL14",0.24044,0.24044,0.275807,0.705399,0.26043,0.413878666666667,18,37,15,0.877331293868686
"KLHL15",1.27538,1.27538,0.811004,0.846868,0.785278,0.814383333333333,77,65,66,1.25407898000239
"KLHL17",9.36672,9.36672,19.079091,12.950012,16.294318,16.107807,257,168,204,0.605964282856359
"KLHL18",23.87678,23.87678,8.430222,8.530787,6.261723,7.74091066666667,431,369,388,2.84601695963639
"KLHL2",13.22422,13.22422,6.149345,5.227864,5.740103,5.70577066666667,137,105,108,2.12119094240821
"KLHL20",7.84045,7.84045,8.452651,10.500758,7.788852,8.914087,303,340,310,0.891705913010447
"KLHL21",26.93978,26.93978,10.542006,10.120329,10.296228,10.319521,636,494,573,2.46828288935548
"KLHL22",22.44459,22.44459,17.877899,22.491896,13.682321,18.017372,434,352,331,1.23279862222814
"KLHL23",3.14663,3.14663,6.145065,8.347292,6.056099,6.84948533333333,250,176,233,0.528267755643937
"KLHL24",3.34526,3.34526,11.35508,16.432878,14.623745,14.1372343333333,940,1149,944,0.28705772166263
"KLHL25",7.8509,7.8509,2.22739,2.040322,2.128028,2.13191333333333,100,94,91,2.82603605463753
"KLHL26",7.79863,7.79863,3.826742,2.61007,2.863558,3.10012333333333,90,75,73,2.14594276432335
"KLHL28",1.42173,1.42173,2.679042,3.730742,1.955958,2.78858066666667,203,241,167,0.63921827541044
"KLHL29",8.27951,8.27951,8.761549,6.999748,8.297732,8.01967633333333,735,461,590,1.0288074269036
"KLHL2P1",0.25089,0.25089,0.771424,2.132864,0.626081,1.17678966666667,3,8,2,0.574648997629384
"KLHL3",5.00743,5.00743,3.23452,2.465799,2.410959,2.70375933333333,182,122,173,1.6219817378343
"KLHL30",0.21953,0.21953,0.308266,0.255881,0.257958,0.274035,18,12,13,0.957218600744878
"KLHL31",0.08363,0.08363,0.158321,0.12695,0.063953,0.116408,14,9,5,0.970639766107015
"KLHL32",1.22311,1.22311,0.270963,0.160739,0.453406,0.295036,7,7,15,1.71663953743371
"KLHL33",0.19862,0.19862,0.182933,0.182411,0.03136,0.132234666666667,16,12,2,1.05863213279697
"KLHL34",0.21953,0.21953,0.14497,0.23008,0.063451,0.146167,8,10,3,1.06400725199731
"KLHL35",16.0886,16.0886,2.332198,1.115375,2.055267,1.83428,58,29,58,6.02925610737119
"KLHL36",12.65971,12.65971,10.056225,10.91069,7.708625,9.55851333333333,885,766,648,1.29371527683506
"KLHL38",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KLHL4",0.11499,0.11499,0.614947,0.555494,0.37729,0.515910333333333,30,39,23,0.735525034352296
"KLHL5",7.39093,7.39093,4.400121,8.389971,5.399486,6.06319266666667,189,246,165,1.18797977005488
"KLHL6",1.11857,1.11857,0.607792,0.898227,0.739788,0.748602333333333,42,49,47,1.21157907639378
"KLHL7",20.27017,20.27017,62.439159,68.558552,67.657959,66.2185566666667,834,660,819,0.316433006818008
"KLHL8",3.4707,3.4707,3.114504,4.925348,3.312573,3.78414166666667,232,202,205,0.934483197090387
"KLHL9",10.30758,10.30758,12.770082,13.727355,14.445442,13.6476263333333,1126,975,1131,0.771973543199115
"KLK1",0.28226,0.28226,0,0,0,0,0,0,0,1.28226
"KLK10",1.74581,1.74581,0.103485,0.10994,0.168933,0.127452666666667,2,4,4,2.4354104444296
"KLK11",0.11499,0.11499,0.141456,0.058227,0.212875,0.137519333333333,3,1,4,0.980194329297846
"KLK12",0,0,0,0,0,0,0,0,0,1
"KLK13",0.36589,0.36589,0.038595,0,0,0.012865,1,0,0,1.34854101978052
"KLK14",0.56451,0.56451,0.675127,0.250147,0.232193,0.385822333333333,10,3,3,1.12893980878261
"KLK15",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KLK2",0.01045,0.01045,0,0,1.364618,0.454872666666667,0,0,5,0.694528135108273
"KLK3",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KLK4",0.28226,0.28226,0.250488,0.136002,3.172553,1.18634766666667,2,2,6,0.586484949100044
"KLK5",0.29271,0.29271,0,0,0,0,0,0,0,1.29271
"KLK6",2.03852,2.03852,1.112513,1.126679,1.820471,1.353221,22,18,22,1.29121744196571
"KLK7",2.23714,2.23714,0,0.045058,0.245573,0.096877,0,1,6,2.9512333652725
"KLK8",9.13674,9.13674,0,0,0.328725,0.109575,0,0,1,9.13569609985805
"KLK9",0,0,0,0,0,0,0,0,0,1
"KLKB1",3.62751,3.62751,0.522576,0.200862,0.386218,0.369885333333333,12,5,5,3.37802726067583
"KLKP1",0,0,0,0,0,0,0,0,0,1
"KLLN",0.29271,0.29271,0.362318,0.408779,0.357757,0.376284666666667,24,22,21,0.939275159644783
"KLRB1",0.48088,0.48088,0,0,0,0,0,0,0,1.48088
"KLRC1",0.15681,0.15681,0.432605,0.123175,0.24906,0.26828,3,2,3,0.912109313400826
"KLRC2",0.14636,0.14636,0.397499,0.654198,0.239492,0.430396333333333,3,3,2,0.801428228866172
"KLRC3",0.06272,0.06272,0,0.618401,0.510826,0.376409,0,4,4,0.772096084812
"KLRC4",0.04182,0.04182,0,0.340865,0,0.113621666666667,0,3,0,0.935524183108267
"KLRD1",0.61678,0.61678,1.497394,0.797067,0.18415,0.826203666666667,38,40,23,0.885322940431434
"KLRF1",0.26135,0.26135,0.062822,0,0,0.0209406666666667,1,0,0,1.23547826155095
"KLRF2",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KLRG1",3.77387,3.77387,1.991257,1.267989,1.621508,1.626918,18,8,20,1.81728931013454
"KLRG2",2.35213,2.35213,0,0,0,0,0,0,0,3.35213
"KLRK1",1.25447,1.25447,1.327825,0.739141,0.921702,0.996222666666667,32,14,21,1.12936799969542
"KMO",0.77359,0.77359,0.169768,0.328477,0.015594,0.171279666666667,2,7,1,1.51423272381006
"KNCN",2.47758,2.47758,0,0,0,0,0,0,0,3.47758
"KNDC1",13.39148,13.39148,1.12816,1.587551,2.671083,1.795598,78,56,63,5.14790753176959
"KNG1",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KNTC1",5.1956,5.1956,41.684063,11.029061,59.189194,37.3007726666667,138,187,133,0.161761749662875
"KPNA1",17.05036,17.05036,28.470472,28.907754,26.124811,27.8343456666667,1300,1127,1222,0.626002067418743
"KPNA2",33.38985,33.38985,113.559055,131.605812,136.886936,127.350601,1698,1566,1657,0.267936805375769
"KPNA3",15.78543,15.78543,18.950098,31.160109,23.835576,24.6485943333333,1044,951,987,0.654438593470418
"KPNA4",13.956,13.956,19.661541,26.255419,18.19024,21.3690666666667,856,991,856,0.668601878784989
"KPNA5",10.30758,10.30758,2.946924,3.6847,3.841566,3.49106333333333,505,444,385,2.51779571133488
"KPNA6",10.42257,10.42257,10.133891,11.569589,10.487171,10.730217,1181,985,1084,0.97377311945721
"KPNA7",0.48088,0.48088,0,0,0,0,0,0,0,1.48088
"KPNB1",38.11503,38.11503,216.731893,243.900396,224.901385,228.511224666667,4233,3842,3730,0.170427525088628
"KPRP",0,0,0,0,0,0,0,0,0,1
"KPTN",13.24513,13.24513,18.166104,15.086461,22.040134,18.4308996666667,143,92,110,0.73311736689358
"KRAS",8.01816,8.01816,6.632078,10.247881,6.161257,7.68040533333333,525,647,436,1.03891001096109
"KRBA1",10.43302,10.43302,4.609547,6.472055,7.890722,6.324108,162,112,135,1.5610119348322
"KRBA2",0.91995,0.91995,2.816984,2.548779,3.093059,2.81960733333333,109,86,100,0.502656381258039
"KRBOX1",13.30785,13.30785,0,0,0,0,0,0,0,14.30785
"KRCC1",18.79617,18.79617,6.63706,8.9185,7.681005,7.74552166666667,166,180,171,2.26357794932378
"KREMEN1",6.87869,6.87869,2.463044,5.006093,2.559613,3.34291666666667,148,233,108,1.81414717451789
"KREMEN2",0.31362,0.31362,0.537027,0.225209,0.195713,0.319316333333333,13,4,4,0.995682359727222
"KRI1",16.72629,16.72629,14.104392,18.506955,16.932098,16.5144816666667,241,206,216,1.01209332581828
"KRIT1",9.86851,9.86851,19.335996,19.444121,18.137284,18.972467,299,228,250,0.544174638015424
"KRR1",7.95544,7.95544,13.116576,16.586469,14.794145,14.8323966666667,611,480,579,0.565640198925452
"KRT1",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KRT10",13.71556,13.71556,25.312576,29.346821,29.758691,28.1393626666667,161,146,166,0.505006240813686
"KRT12",0.17772,0.17772,0,0.091656,0,0.030552,0,2,0,1.14280502099846
"KRT13",0.04182,0.04182,0,0.229273,0.069498,0.0995903333333333,0,1,1,0.947461948707564
"KRT14",13.66329,13.66329,0.129332,0,0.146459,0.0919303333333333,1,0,1,13.428777965383
"KRT15",0.41816,0.41816,0.242277,0.334655,0.310965,0.295965666666667,6,10,8,1.09428824889137
"KRT16",0.30316,0.30316,0,0,0,0,0,0,0,1.30316
"KRT16P3",0,0,0,0,0,0,0,0,0,1
"KRT16P4",0,0,0,0,0,0,0,0,0,1
"KRT16P5",0,0,0,0,0,0,0,0,0,1
"KRT17",0.04182,0.04182,0.402834,0.921473,0.150728,0.491678333333333,3,8,1,0.698421353129082
"KRT17P3",0,0,0,0,0,0,0,0,0,1
"KRT18",1.34856,1.34856,7.002675,62.648279,5.45768,25.0362113333333,109,724,83,0.0902036002831646
"KRT18P1",0,0,0,0,0,0,0,0,0,1
"KRT18P10",0,0,0,0,0,0,0,0,0,1
"KRT18P12",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KRT18P13",0,0,0.05739,0,0,0.01913,1,0,0,0.981229087555071
"KRT18P15",0,0,0,0,0,0,0,0,0,1
"KRT18P16",0,0,0,0,0,0,0,0,0,1
"KRT18P17",0.16726,0.16726,0.058548,0,0,0.019516,1,0,0,1.14491582280219
"KRT18P18",0,0,0,0.142997,0,0.0476656666666667,0,2,0,0.954502979162882
"KRT18P2",0,0,0,0,0,0,0,0,0,1
"KRT18P20",0.06272,0.06272,0,0,0.133551,0.044517,0,0,2,1.01742719362155
"KRT18P21",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KRT18P22",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT18P23",0,0,0,0.071954,0,0.0239846666666667,0,1,0,0.976577123225152
"KRT18P25",0,0,0.059511,0,0,0.019837,1,0,0,0.980548852414651
"KRT18P27",0,0,0,0,0,0,0,0,0,1
"KRT18P28",0,0,0.057608,0.069443,0,0.0423503333333333,1,1,0,0.959370346054478
"KRT18P29",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KRT18P3",0,0,0,0,0,0,0,0,0,1
"KRT18P32",0.04182,0.04182,0,0,0,0,0,0,0,1.04182
"KRT18P34",0.22999,0.22999,0.117623,0.293679,0.270194,0.227165333333333,2,4,4,1.00230178166702
"KRT18P36",0,0,0,0,0,0,0,0,0,1
"KRT18P37",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KRT18P38",0.01045,0.01045,0,0.143823,0,0.047941,0,2,0,0.964224130938669
"KRT18P4",0.07318,0.07318,0.175845,0.144546,0,0.106797,3,2,0,0.969626769859333
"KRT18P42",0,0,0.059109,0,0,0.019703,1,0,0,0.980677707136294
"KRT18P43",0,0,0,0,0,0,0,0,0,1
"KRT18P49",0,0,0,0,0,0,0,0,0,1
"KRT18P5",0.02091,0.02091,0.174537,0.714017,0.261089,0.383214333333333,3,10,4,0.738070720782487
"KRT18P50",0,0,0,0,0,0,0,0,0,1
"KRT18P51",0,0,0,0,0,0,0,0,0,1
"KRT18P52",0.03136,0.03136,0.711937,0.246963,0.226152,0.395017333333333,7,2,2,0.739316978618187
"KRT18P53",0,0,0,0,0,0,0,0,0,1
"KRT18P54",0,0,0,0,0,0,0,0,0,1
"KRT18P55",0.01045,0.01045,0,0.044875,0.082114,0.0423296666666667,0,1,2,0.969414986749234
"KRT18P56",0,0,0,0,0,0,0,0,0,1
"KRT19",107.39323,107.39323,1.864983,12.408424,2.385675,5.55302733333333,34,126,24,16.5409397041022
"KRT19P1",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT19P2",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT19P3",0,0,0,0,0,0,0,0,0,1
"KRT2",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KRT20",0,0,0,0,0,0,0,0,0,1
"KRT222",6.52325,6.52325,1.237585,1.080092,1.475361,1.264346,40,23,38,3.32248251813106
"KRT23",0.05227,0.05227,0.345481,0.430354,0.223742,0.333192333333333,4,8,4,0.789285966991009
"KRT24",0.04182,0.04182,0,0,0,0,0,0,0,1.04182
"KRT25",0.07318,0.07318,0,0,0.04803,0.01601,0,0,1,1.05626913120934
"KRT26",0,0,0,0,0,0,0,0,0,1
"KRT27",0.25089,0.25089,0,0,0,0,0,0,0,1.25089
"KRT28",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT3",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KRT31",0.04182,0.04182,0,0,0,0,0,0,0,1.04182
"KRT32",0.03136,0.03136,0,0.049108,0,0.0163693333333333,0,1,0,1.01474923157855
"KRT33A",0,0,0,0,0,0,0,0,0,1
"KRT33B",0,0,0,0,0,0,0,0,0,1
"KRT34",0.15681,0.15681,0,0.049338,0,0.016446,0,1,0,1.13809292377559
"KRT35",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KRT36",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KRT37",0,0,0,0,0,0,0,0,0,1
"KRT38",0,0,0,0,0,0,0,0,0,1
"KRT39",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KRT4",0.61678,0.61678,0,0,0,0,0,0,0,1.61678
"KRT40",0.05227,0.05227,0.039497,0.040584,0,0.0266936666666667,1,1,0,1.02491135785065
"KRT42P",0.3868,0.3868,0.296973,0.60806,0,0.301677666666667,3,2,0,1.06539432573297
"KRT5",0.30316,0.30316,0,0,0,0,0,0,0,1.30316
"KRT6A",0,0,0,0.035955,0,0.011985,0,1,0,0.988156939085066
"KRT6B",0,0,0,0,0.066364,0.0221213333333333,0,0,2,0.97835742918975
"KRT6C",0,0,0,0,0,0,0,0,0,1
"KRT7",5.79148,5.79148,3.829927,42.422547,1.980191,16.077555,12,111,7,0.39768456315907
"KRT71",0,0,0,0,0,0,0,0,0,1
"KRT72",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT73",0,0,0,0,0,0,0,0,0,1
"KRT74",0,0,0,0,0,0,0,0,0,1
"KRT75",0.05227,0.05227,0,0,0,0,0,0,0,1.05227
"KRT76",0,0,0,0,0,0,0,0,0,1
"KRT77",0.11499,0.11499,0,0,0,0,0,0,0,1.11499
"KRT78",0,0,0,0,0,0,0,0,0,1
"KRT79",0,0,0.031783,0,0,0.0105943333333333,1,0,0,0.989516729924272
"KRT8",1.13948,1.13948,3.697241,31.811957,2.083102,12.5307666666667,46,176,34,0.158119643380641
"KRT80",0.04182,0.04182,0.075922,0.398728,0.17248,0.21571,4,18,9,0.856964243117191
"KRT81",0.09409,0.09409,0,0,0,0,0,0,0,1.09409
"KRT82",0,0,0,0,0,0,0,0,0,1
"KRT83",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
"KRT84",0.02091,0.02091,0,0,0,0,0,0,0,1.02091
"KRT85",0.03136,0.03136,0,0,0,0,0,0,0,1.03136
"KRT86",0,0,0,0,0,0,0,0,0,1
"KRT8P10",0.15681,0.15681,0,0,0,0,0,0,0,1.15681
"KRT8P12",5.14333,5.14333,2.795812,2.538086,2.67499,2.66962933333333,46,33,41,1.67410096278571
"KRT8P14",0,0,0,0.187021,0.056803,0.0812746666666667,0,3,1,0.924834392988029
"KRT8P15",0,0,0.049872,0.061844,0,0.0372386666666667,1,1,0,0.964098266037132
"KRT8P17",0,0,0,0,0,0,0,0,0,1
"KRT8P18",0,0,0,0,0,0,0,0,0,1
"KRT8P19",0.01045,0.01045,0,0,0,0,0,0,0,1.01045
