"Hs_symbol","DRG","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ADAM32",0.71087,0.71087,10.297747,6.150251,3.037132,6.49504333333333,0.228266859030835
"ADAM33",24.57719,24.57719,0.444232,0.218073,0.256207,0.306170666666667,19.5818131984794
"ADAM3A",0.02091,0.02091,0.231017,0.145255,0.379927,0.252066333333333,0.815380122299165
"ADAM3B",0,0,0,0.072133,0,0.0240443333333333,0.976520222269023
"ADAM5",0.02091,0.02091,0,0,0.191015,0.0636716666666667,0.959798057984685
"ADAM6",0,0,0,0,0,0,1
"ADAM7",0.01045,0.01045,0.036155,0,0,0.0120516666666667,0.998417406225967
"ADAM8",4.00386,4.00386,5.609723,5.136056,1.568834,4.104871,0.980212820265194
"ADAM9",19.93565,19.93565,16.019604,9.068817,10.587437,11.8919526666667,1.62393165266043
"ADAMDEC1",0.22999,0.22999,0,0,0,0,1.22999
"ADAMTS1",18.81707,18.81707,55.689489,22.602635,30.236182,36.176102,0.533059383148884
"ADAMTS10",5.1956,5.1956,48.620767,43.508264,28.643638,40.2575563333333,0.150168855129075
"ADAMTS12",0.86768,0.86768,2.080716,0.450845,0.431766,0.987775666666667,0.939582887203737
"ADAMTS13",5.32105,5.32105,10.04404,9.219637,9.619661,9.62777933333333,0.594766771283484
"ADAMTS14",1.474,1.474,3.928993,0.380792,1.570922,1.96023566666667,0.835744271261286
"ADAMTS15",1.43219,1.43219,1.427798,0.893566,0.827734,1.04969933333333,1.18660818220819
"ADAMTS16",3.16754,3.16754,1.432414,0.115256,0.125197,0.557622333333333,2.67557796958484
"ADAMTS17",0.44952,0.44952,1.976097,1.195484,3.145809,2.10579666666667,0.466714391047278
"ADAMTS18",0.07318,0.07318,1.366388,1.547924,0.38092,1.09841066666667,0.511425154783811
"ADAMTS19",0.08363,0.08363,0.03761,0.181964,0.167547,0.129040333333333,0.959779706718479
"ADAMTS2",7.24457,7.24457,3.004416,1.513027,3.126211,2.54788466666667,2.32379876309395
"ADAMTS20",0.01045,0.01045,0.066632,0.128782,0.303561,0.166325,0.86635371787452
"ADAMTS3",1.26493,1.26493,0.622413,0.414049,0.789348,0.608603333333333,1.40801026148978
"ADAMTS4",2.04897,2.04897,0.689029,0.211108,0.171046,0.357061,2.2467449878819
"ADAMTS5",0.43907,0.43907,1.658729,0.507028,0.635813,0.933856666666667,0.744145119338386
"ADAMTS6",0.20908,0.20908,0.575044,0.43741,0.797161,0.603205,0.754164314607302
"ADAMTS7",2.4044,2.4044,5.225607,7.926553,5.892613,6.34825766666667,0.463293498191158
"ADAMTS8",19.88338,19.88338,0.259596,0.126229,0.215574,0.200466333333333,17.3960563658734
"ADAMTS9",10.33894,10.33894,6.259008,1.208773,3.446049,3.63794333333333,2.44482072872818
"ADAMTSL1",3.7216,3.7216,0.534643,0.391798,0.357426,0.427955666666667,3.30654523121283
"ADAMTSL2",11.72931,11.72931,1.503801,0.858924,1.307203,1.22330933333333,5.72538863987737
"ADAMTSL3",0.77359,0.77359,1.141787,0.488298,0.557855,0.729313333333333,1.02560361145272
"ADAMTSL4",19.39204,19.39204,0.717708,0.666369,0.399532,0.594536333333333,12.7886957316118
"ADAMTSL5",10.03577,10.03577,2.484078,1.829524,1.172891,1.828831,3.90117684654898
"ADAP1",105.65787,105.65787,53.265804,60.189014,55.280346,56.2450546666667,1.86318050740034
"ADAP2",12.90015,12.90015,4.717453,6.427834,6.170847,5.77204466666667,2.05257801508889
"ADAR",37.63415,37.63415,93.089729,94.857624,66.868309,84.938554,0.449555504506161
"ADARB1",13.57966,13.57966,34.100105,17.143214,24.363699,25.2023393333333,0.556425890624677
"ADARB2",8.26906,8.26906,0.753625,0.498108,0.982045,0.744592666666667,5.31302244764681
"ADAT1",29.59508,29.59508,56.120434,59.301982,46.931663,54.1180263333333,0.555083010682791
