"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"NDUFAF5","Ndufaf5",21.706297,21.903794,21.292857,879,218,339,21.634316,121.06794,121.06794,0.185423920482315
"NDUFAF6","Ndufaf6",19.674473,4.617137,42.615206,183,36,84,22.302272,74.045,74.045,0.310510653607835
"NDUFB10","Ndufb10",136.672453,135.122807,132.307891,2315,578,908,134.701050333333,656.588,656.588,0.206361810637258
"NDUFB11","Ndufb11",64.436513,56.139053,65.022397,1934,409,768,61.8659876666667,60.00264,60.00264,1.03054536109694
"NDUFB2","Ndufb2",99.420166,77.201547,116.243846,1743,332,705,97.621853,731.3288,731.3288,0.134668816793768
"NDUFB3","Ndufb3",88.699795,92.93646,91.195907,2036,519,819,90.944054,862.75772,862.75772,0.106446578561405
"NDUFB4","Ndufb4",35.650541,13.975059,25.65749,390,36,105,25.0943633333333,657.16994,657.16994,0.039646847641406
"NDUFB5","Ndufb5",109.855717,91.205235,98.077676,2064,446,802,99.712876,741.38616,741.38616,0.135661036568893
"NDUFB6","Ndufb6",128.638346,112.667237,136.952071,1951,404,810,126.085884666667,113.94555,113.94555,1.10561813542731
"NDUFB7","Ndufb7",90.310054,81.089827,82.020443,1575,349,563,84.4734413333333,2.01147,2.01147,28.3826308524851
"NDUFB8","Ndufb8",718.664274,628.278953,725.881441,4606,1027,1723,690.941556,519.12465,519.12465,1.330337941107
"NDUFB9","Ndufb9",114.92822,100.233599,108.316515,2366,499,871,107.826111333333,777.08666,777.08666,0.139863741312996
"NDUFC1","Ndufc1",370.754876,323.838294,384.079131,1111,237,449,359.557433666667,774.34144,774.34144,0.465030520833075
"NDUFC2","Ndufc2",102.154386,100.81251,102.565503,1814,381,738,101.844133,207.86493,207.86493,0.492395410756607
"NDUFS1","Ndufs1",123.556399,115.206782,113.324161,6129,1565,2466,117.362447333333,497.44122,497.44122,0.237465206696455
"NDUFS2","Ndufs2",244.726146,218.526625,222.634405,5280,1129,1851,228.629058666667,470.92519,470.92519,0.486579363705223
"NDUFS3","Ndufs3",165.784422,145.60724,172.082547,2230,488,914,161.158069666667,347.68132,347.68132,0.465060960726736
"NDUFS4","Ndufs4",98.634694,98.299603,95.703641,1831,456,710,97.5459793333333,410.60629,410.60629,0.239418059751549
"NDUFS5","Ndufs5",246.196371,261.212469,246.549862,1830,413,685,251.319567333333,1304.25721,1304.25721,0.193310226827503
"NDUFS6","Ndufs6",84.777084,89.868051,82.029004,1221,312,461,85.5580463333333,75.70225,75.70225,1.12849422713588
"NDUFS7","Ndufs7",73.448988,61.733307,71.214224,1674,343,632,68.7988396666667,2.50485,2.50485,19.9149292171324
"NDUFS8","Ndufs8",81.848714,73.173641,75.053402,2041,437,737,76.691919,42.40541,42.40541,1.78991326196435
"NDUFV1","Ndufv1",190.621447,174.900999,177.183949,5089,1200,1796,180.902131666667,184.05616,184.05616,0.982956372090865
"NDUFV2","Ndufv2",106.683805,81.985134,104.011034,3339,643,1255,97.559991,933.05809,933.05809,0.105518052951075
"NDUFV3","Ndufv3",160.52664,140.723949,140.879401,2562,547,895,147.376663333333,179.69164,179.69164,0.821159536397662
"NEBL","Nebl",50.451042,44.033494,46.320185,5409,1207,2119,46.934907,769.43294,769.43294,0.0622181432169814
"NECAB1","Necab1",32.350006,30.43658,35.008862,6491,1534,2728,32.5984826666667,13.29597,13.29597,2.35020657336765
"NECAB2","Necab2",11.784106,11.609614,9.621375,614,140,230,11.0050316666667,0.63254,0.63254,7.35359113201923
"NECAB3","Necab3",68.531798,55.564393,61.348807,3256,756,1171,61.8149993333333,17.76169,17.76169,3.34804590275894
"NECAP1","Necap1",70.341791,71.159534,62.873668,6490,1577,2424,68.1249976666667,25.30156,25.30156,2.62817101596509
"NECAP2","Necap2",18.451191,16.965066,15.329742,447,94,175,16.915333,14.33333,14.33333,1.16839153660686
"NEDD1","Nedd1",1.198232,1.347288,1.515651,163,32,64,1.35372366666667,19.20388,19.20388,0.116498596639193
"NEDD4","Nedd4",180.06425,181.364812,190.609085,29503,6798,11385,184.012715666667,38.77463,38.77463,4.65152575062714
"NEDD4L","Nedd4l",298.325599,277.920572,322.147694,12822,3011,4770,299.464621666667,22.07561,22.07561,13.0208744933142
"NEDD8","Nedd8",292.463613,229.719999,271.663634,3029,604,1082,264.615748666667,422.06789,422.06789,0.627832447096533
"NEDD9","Nedd9",4.011733,4.726275,3.718206,723,160,285,4.15207133333333,26.28832,26.28832,0.188801338203793
"NEFH","Nefh",453.776447,490.181335,465.57944,67604,17431,29385,469.845740666667,0.20241,0.20241,391.585017312453
"NEFL","Nefl",996.958985,918.067905,1133.522932,138583,31444,62815,1016.183274,0.0253,0.0253,992.083559933678
"NEFM","Nefm",741.267604,826.087445,851.772085,102199,27576,46548,806.375711333333,0.03795,0.03795,777.856073349712
"NEGR1","Negr1",5.430958,3.9268,5.919702,826,198,341,5.09248666666667,19.27978,19.27978,0.300421733700596
"NEIL1","Neil1",2.704222,3.261446,3.125898,178,52,80,3.030522,7.69167,7.69167,0.463722391669265
"NEIL2","Neil2",2.513356,3.390108,3.174477,186,49,78,3.02598033333333,11.19594,11.19594,0.330108243672348
"NEIL3","Neil3",0.175513,0.089841,0.240461,21,2,11,0.168605,0.03795,0.03795,1.12587793246303
"NEK1","Nek1",29.923031,30.091672,34.03865,6231,1629,2659,31.3511176666667,12.78994,12.78994,2.34599408457663
"NEK10","Nek10",0,0.019822,0.01246,0,2,2,0.0107606666666667,8.28626,8.28626,0.108844751995601
"NEK11","Nek11",0.619333,0.551995,0.554374,50,14,27,0.575234,1.50544,1.50544,0.628725493326522
"NEK2","Nek2",0.216455,0.030981,0.356434,14,1,8,0.20129,0.17711,0.17711,1.0205418355124
"NEK3","Nek3",4.858768,3.88302,2.708302,303,75,84,3.81669666666667,22.91056,22.91056,0.201446418095882
"NEK4","Nek4",4.720054,4.081928,4.726859,733,187,321,4.50961366666667,14.43454,14.43454,0.356966496356008
"NEK5","Nek5",0.071152,0.29113,0.028726,2,2,1,0.130336,0.68314,0.68314,0.67156386278028
"NEK6","Nek6",8.977722,10.032267,14.384451,831,195,324,11.13148,1.80906,1.80906,4.31869735783501
"NEK7","Nek7",69.543542,69.388891,70.016838,11330,2796,4427,69.649757,293.09321,293.09321,0.240229133477784
"NEK8","Nek8",3.345721,3.9449,4.58883,313,81,155,3.959817,0.8476,0.8476,2.6844647109764
"NEK9","Nek9",21.898219,21.016469,22.788527,4968,1156,2049,21.9010716666667,99.42246,99.42246,0.228047308009251
"NELL1","Nell1",1.592479,1.481472,1.342653,200,44,64,1.47220133333333,0,0,2.47220133333333
"NELL2","Nell2",5.006981,5.264502,5.147975,631,148,249,5.13981933333333,0.24036,0.24036,4.95003009878852
"NEMF","Nemf",21.408575,24.742997,20.861592,3749,890,1478,22.3377213333333,64.15209,64.15209,0.358203725058296
"NENF","Nenf",48.170451,43.692503,39.79548,932,201,337,43.8861446666667,79.14326,79.14326,0.560073856075566
"NEO1","Neo1",6.482064,7.260334,7.202541,1517,366,639,6.98164633333333,9.36158,9.36158,0.770311702784067
"NEPNP","Nepn",0.014148,0.185331,0.115447,1,1,1,0.104975333333333,0,0,1.10497533333333
"NES","Nes",3.969316,5.704923,4.950976,1008,340,502,4.87507166666667,173.303,173.303,0.0337060846151051
"NET1","Net1",12.975725,9.511502,17.745366,823,205,426,13.4108643333333,15.97793,15.97793,0.848799843875745
"NETO1","Neto1",8.563358,5.000024,6.757028,527,157,214,6.77347,0.0759,0.0759,7.22508597453295
"NETO2","Neto2",7.853299,6.859055,6.792841,1628,335,546,7.16839833333333,2.34039,2.34039,2.44534270948402
"NEU1","Neu1",20.767705,20.217665,19.366466,1494,318,531,20.1172786666667,20.11474,20.11474,1.00012023196434
"NEU2","Neu2",0.149809,0.522742,0.32583,10,6,6,0.332793666666667,0,0,1.33279366666667
"NEU3","Neu3",0.777588,0.356377,0.706051,107,12,38,0.613338666666667,4.70609,4.70609,0.282739786205031
"NEU4","Neu4",0,0,0.013399,0,0,1,0.00446633333333333,0,0,1.00446633333333
"NEURL1B","Neurl1b",0.312982,0.262614,0.298277,79,16,31,0.291291,16.67372,16.67372,0.0730627734285708
"NEURL2","Neurl2",0.81545,0.351816,0.648025,29,3,9,0.605097,0.97411,0.97411,0.813073739558586
"NEURL3","Neurl3",0.378054,0.391955,0.495373,39,10,19,0.421794,0.06325,0.06325,1.33721514225253
"NEURL4","Neurl4",37.43159,33.626223,42.016065,3171,704,1198,37.6912926666667,11.79052,11.79052,3.02499762845191
"NEUROD1","Neurod1",0.216558,0.187381,0.251381,23,5,10,0.21844,0,0,1.21844
"NEUROD2","Neurod2",0,0,0,0,0,0,0,0,0,1
"NEUROD4","Neurod4",0.05285,0,0.019241,7,0,1,0.0240303333333333,0,0,1.02403033333333
"NEUROD6","Neurod6",0,0,0.030765,0,0,1,0.010255,0,0,1.010255
"NEUROG1","Neurog1",0.065302,0,0.113549,4,0,3,0.059617,0,0,1.059617
"NEUROG2","Neurog2",0.012725,0,0,1,0,0,0.00424166666666667,0,0,1.00424166666667
"NEUROG3","Neurog3",0.626334,0.889352,1.001138,36,12,23,0.838941333333333,0,0,1.83894133333333
"NEXN","Nexn",48.361111,44.911216,53.636349,841,193,382,48.9695586666667,1037.41436,1037.41436,0.0481210204630324
"NF1","Nf1",14.804147,11.634658,15.208704,4836,946,1882,13.882503,18.20447,18.20447,0.774949946548902
"NF2","Nf2",39.036189,44.875804,36.696603,3044,730,1200,40.2028653333333,16.39541,16.39541,2.36860558810246
"NFAM1","Nfam1",0.241446,0.185164,0.343623,35,8,22,0.256744333333333,0.15181,0.15181,1.09110385682824
"NFASC","Nfasc",150.79569,118.341505,140.181167,9277,2200,3988,136.439454,11.49956,11.49956,10.9955433631264
"NFAT5","Nfat5",22.255934,17.329628,21.583149,5886,1268,2541,20.3895703333333,8.40012,8.40012,2.27545715728452
"NFATC1","Nfatc1",1.033323,0.967269,0.968036,169,39,73,0.989542666666667,11.52486,11.52486,0.158847497430444
"NFATC2","Nfatc2",0.456768,0.335895,0.273209,99,20,32,0.355290666666667,2.78317,2.78317,0.35824207388689
"NFATC2IP","Nfatc2ip",2.422526,2.905978,1.418307,204,51,78,2.248937,24.26419,24.26419,0.128598502465347
"NFATC3","Nfatc3",6.583876,5.850396,6.39189,1551,335,595,6.27538733333333,9.36158,9.36158,0.702150379897017
"NFATC4","Nfatc4",1.167787,0.529596,0.470733,55,14,20,0.722705333333333,10.68991,10.68991,0.147366860252417
"NFE2","Nfe2",0.195379,0,0.501721,6,0,5,0.232366666666667,0.16446,0.16446,1.0583160148624
"NFE2L1","Nfe2l1",271.827239,273.713941,282.183381,24909,6017,9602,275.908187,754.75804,754.75804,0.36639793736101
"NFE2L2","Nfe2l2",17.279778,18.14561,19.635998,1692,435,753,18.3537953333333,85.12708,85.12708,0.224712080490054
"NFE2L3","Nfe2l3",1.487205,1.278439,1.429549,125,29,57,1.39839766666667,3.01089,3.01089,0.597971439422838
"NFIA","Nfia",7.503124,5.784819,6.514981,2014,459,748,6.60097466666667,23.78346,23.78346,0.306695460063553
"NFIB","Nfib",7.423503,5.446199,6.040401,1474,355,600,6.30336766666667,41.84877,41.84877,0.170445211535049
"NFIC","Nfic",90.706363,73.89209,95.304155,10295,2265,4062,86.6342026666667,20.81053,20.81053,4.01797676015515
"NFIL3","Nfil3",2.247805,2.114602,1.871814,180,41,59,2.07807366666667,47.2633,47.2633,0.0637766929875634
"NFIX","Nfix",8.170881,6.69007,9.254899,378,111,183,8.03861666666667,18.07796,18.07796,0.473772702462248
