"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"PNPLA5","Pnpla5",0.015137,0,0.038826,1,0,1,0.0179876666666667,0.52758,0.52758,0.666405469217106
"PNPLA6","Pnpla6",135.856797,114.227406,144.007528,3524,804,1311,131.363910333333,25.29296,25.29296,5.03419585825762
"PNPLA7","Pnpla7",3.627682,2.902642,7.692361,245,53,121,4.740895,9.55857,9.55857,0.543718988461506
"PNPLA8","Pnpla8",41.339077,45.109464,42.339891,3061,795,1264,42.9294773333333,21.53781,21.53781,1.94914578361133
"PNPO","Pnpo",11.338413,9.406595,12.033404,904,181,364,10.9261373333333,7.72754,7.72754,1.36649472054363
"PNPT1","Pnpt1",17.843695,15.746612,18.489737,1374,377,600,17.3600146666667,32.18258,32.18258,0.553302807276187
"PNRC2","Pnrc2",188.334089,169.776865,194.381139,1036,243,450,184.164031,156.56808,156.56808,1.17513668377504
"POC1A","Poc1a",1.694349,1.193977,1.792573,95,23,34,1.56029966666667,1.05517,1.05517,1.24578485802472
"POC1B","Poc1b",6.625734,5.963775,5.151721,292,65,116,5.91374333333333,29.29639,29.29639,0.228203536240896
"POC5","Poc5",18.80561,19.21542,17.743373,1368,333,522,18.5881343333333,7.44823,7.44823,2.31860807924658
"PODN","Podn",0.928104,1.417446,1.498872,85,27,43,1.281474,11.6689,11.6689,0.180084616659694
"PODNL1","Podnl1",0.039735,0.147483,0.119086,5,3,5,0.102101333333333,3.75515,3.75515,0.231770045809981
"PODXL","Podxl",6.350606,3.849192,4.634421,737,160,307,4.94473966666667,17.53438,17.53438,0.320741220729621
"PODXL2","Podxl2",43.760834,39.634147,43.893954,1316,327,529,42.429645,75.97198,75.97198,0.564226683528214
"POF1B","Pof1b",0.033014,0.051913,0.135624,5,2,8,0.073517,0.18621,0.18621,0.904997428785797
"POFUT1","Pofut1",7.320843,7.229365,6.196309,1539,334,544,6.91550566666667,5.49307,5.49307,1.21906981853987
"POFUT2","Pofut2",12.484003,11.380199,10.828765,806,169,312,11.5643223333333,12.10338,12.10338,0.958861174241557
"POGK","Pogk",14.188407,12.948937,13.002363,2975,605,1095,13.3799023333333,23.83435,23.83435,0.579032764430449
"POGLUT1","Poglut1",25.747976,25.133648,26.592087,2774,648,1101,25.8245703333333,4.62411,4.62411,4.76956715521804
"POGZ","Pogz",13.668632,14.847395,25.49558,1304,295,443,18.003869,85.71676,85.71676,0.219148743564681
"POLA1","Pola1",2.399428,3.253641,2.210083,321,73,112,2.62105066666667,13.12751,13.12751,0.256312022901889
"POLA2","Pola2",4.268708,4.383288,3.36381,285,70,103,4.00526866666667,27.99294,27.99294,0.172637499565986
"POLB","Polb",25.29161,23.667841,22.19877,1136,267,392,23.719407,34.63429,34.63429,0.693697194471954
"POLD1","Pold1",4.595566,3.000602,4.425304,243,50,80,4.00715733333333,6.54824,6.54824,0.663354283029333
"POLD2","Pold2",19.342018,16.341384,16.950816,315,89,160,17.5447393333333,159.60944,159.60944,0.115464815351659
"POLD3","Pold3",6.915542,8.661936,5.534996,445,96,157,7.03749133333333,4.40687,4.40687,1.48653312051766
"POLD4","Pold4",18.984005,15.860039,20.445095,464,105,193,18.429713,60.61,60.61,0.315366223015744
"POLDIP2","Poldip2",30.170348,27.985777,30.938569,1879,397,783,29.6982313333333,36.186,36.186,0.825531956471073
"POLDIP3","Poldip3",15.470744,13.622651,13.933228,1941,439,710,14.3422076666667,26.90674,26.90674,0.549767105246498
"POLE","Pole",0.893121,0.790572,1.190395,194,37,61,0.958029333333333,5.86548,5.86548,0.285199189762891
"POLE2","Pole2",0.277652,0.862971,0.89085,16,8,12,0.677157666666667,1.64482,1.64482,0.634129228706175
"POLE3","Pole3",13.003913,10.205244,11.63712,748,173,287,11.6154256666667,23.27573,23.27573,0.519672350395505
"POLE4","Pole4",23.142165,17.743509,20.044976,657,142,259,20.3102166666667,97.01324,97.01324,0.217421816345084
"POLG","Polg",83.724096,72.215034,54.922084,1752,383,661,70.2870713333333,65.88583,65.88583,1.06580229823467
"POLG2","Polg2",1.719184,1.304356,1.980244,116,21,53,1.667928,16.94473,16.94473,0.148674736259615
"POLH","Polh",3.319069,2.81292,2.736956,409,91,143,2.956315,2.63792,2.63792,1.08752116594098
"POLI","Poli",2.350738,2.675027,2.312714,260,61,90,2.44615966666667,12.13441,12.13441,0.262376434622238
"POLK","Polk",3.830916,3.215732,3.328357,476,118,179,3.458335,8.5965,8.5965,0.464579273693534
"POLL","Poll",5.316904,4.869309,5.347484,506,112,198,5.177899,15.8275,15.8275,0.367131124647155
"POLM","Polm",3.007787,2.433598,2.978355,208,40,95,2.80658,10.30339,10.30339,0.336764457388447
"POLN","Poln",0.584929,0.639289,0.199005,26,5,8,0.474407666666667,9.27926,9.27926,0.143435195399928
"POLQ","Polq",0.4575,0.685763,0.731332,96,24,52,0.624865,0.06207,0.06207,1.52990386697675
"POLR1A","Polr1a",12.315388,18.884631,13.431423,1480,362,574,14.8771473333333,17.84473,17.84473,0.842524532499714
"POLR1B","Polr1b",3.486759,2.910849,2.550305,391,93,140,2.98263766666667,2.1724,2.1724,1.25540211406716
"POLR1C","Polr1c",20.497579,25.027241,16.598355,448,97,150,20.707725,14.39992,14.39992,1.40959985506418
"POLR1D","Polr1d",29.750338,22.094355,27.621558,1135,217,460,26.4887503333333,45.46526,45.46526,0.591597902031181
"POLR1E","Polr1e",7.734626,7.054885,8.826086,272,69,117,7.87186566666667,13.68613,13.68613,0.604098265960241
"POLR2A","Polr2a",12.99184,16.42887,15.567346,3494,811,1422,14.9960186666667,44.6894,44.6894,0.350103495923927
"POLR2B","Polr2b",62.462196,91.437003,99.693635,2859,722,1126,84.5309446666667,21.78608,21.78608,3.75364892367036
