"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"MPRIP","Mprip",109.466774,89.501278,95.732379,14348,2938,5223,98.233477,706.79263,706.79263,0.140201342588153
"MPST","Mpst",10.328172,9.860473,10.164812,487,115,199,10.117819,53.75109,53.75109,0.203061144536118
"MPV17","Mpv17",33.77009,24.096772,29.046697,1492,316,549,28.9711863333333,99.9094,99.9094,0.297010846693503
"MPV17L","Mpv17l",18.038212,15.424715,20.199196,1456,373,594,17.8873743333333,8.36036,8.36036,2.01780426536301
"MPV17L2","Mpv17l2",16.628542,13.776152,22.524895,403,68,164,17.6431963333333,9.16943,9.16943,1.83325873065976
"MPZ","Mpz",927.746342,1275.601512,1233.454367,37668,9770,17980,1145.60074033333,22.55015,22.55015,48.687619413606
"MPZL1","Mpzl1",19.116591,10.900631,18.214689,654,146,240,16.0773036666667,18.33885,18.33885,0.883056834644597
"MPZL2","Mpzl2",0.770241,0.764743,0.752077,98,22,38,0.762353666666667,1.70112,1.70112,0.652452933104293
"MPZL3","Mpzl3",3.027044,4.417095,4.050376,418,96,182,3.831505,0.56012,0.56012,3.09688036817681
"MR1","Mr1",2.027703,2.564537,2.617318,220,70,115,2.403186,1.34844,1.34844,1.44912622847507
"MRAP","Mrap",0.494722,0.961128,0.933695,17,8,11,0.796515,0.99577,0.99577,0.900161341236716
"MRAP2","Mrap2",3.588005,2.557271,2.305204,283,48,71,2.81682666666667,4.35651,4.35651,0.712558488020496
"MRAS","Mras",58.528354,41.198996,58.383165,3577,781,1394,52.703505,29.95622,29.95622,1.73482114418362
"MRC1","Mrc1",1.116094,1.859175,1.330132,237,90,109,1.43513366666667,0.08298,0.08298,2.24854906523358
"MRC2","Mrc2",1.28737,2.154759,2.05358,221,98,109,1.831903,13.21476,13.21476,0.199222709352814
"MREG","Mreg",1.57106,1.854853,1.837823,135,39,63,1.75457866666667,7.75875,7.75875,0.31449449598021
"MRFAP1","Mrfap1",120.84671,141.445455,124.018863,7057,1990,3066,128.770342666667,354.30911,354.30911,0.365232241488733
"MRGPRD","Mrgprd",56.330463,44.927949,49.892239,7360,1427,2543,50.3835503333333,0,0,51.3835503333333
"MRGPRE","Mrgpre",8.075654,6.180912,6.172699,1293,240,387,6.809755,0,0,7.809755
"MRGPRF","Mrgprf",0.918313,1.226454,1.413665,77,25,45,1.186144,2.77987,2.77987,0.578364864400098
"MRGPRG","Mrgprg",0,0,0,0,0,0,0,0,0,1
"MRGPRX1","Mrgprb2",0.051126,0.051027,0,4,1,0,0.034051,0,0,1.034051
"MRGPRX2","Mrgprb1",0.017887,0.024567,0.031512,3,1,2,0.0246553333333333,0,0,1.02465533333333
"MRGPRX3","Mrgpra1",0.813473,0.554675,0.762255,30,5,11,0.710134333333333,11.74184,11.74184,0.134214080017747
