"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SIRT2","Sirt2",88.407952,73.513781,73.499863,4642,972,1692,78.4738653333333,69.56045,69.56045,1.12632310782221
"SIRT3","Sirt3",22.184595,18.556544,21.662507,1005,198,395,20.8012153333333,21.71281,21.71281,0.959864293908739
"SIRT4","Sirt4",10.61755,13.085575,9.297794,233,67,82,11.0003063333333,1.80853,1.80853,4.27280688948786
"SIRT5","Sirt5",16.570457,18.400544,16.709668,1121,302,458,17.2268896666667,8.32133,8.32133,1.95539581440274
"SIRT6","Sirt6",7.746231,7.917213,5.75459,482,116,159,7.13934466666667,21.671,21.671,0.359020099098702
"SIRT7","Sirt7",13.822258,17.213562,14.626586,748,184,313,15.220802,19.98791,19.98791,0.772864091755682
"SIT1","Sit1",0,0,0,0,0,0,0,0.61678,0.61678,0.618513341332773
"SIVA1","Siva1",11.24171,6.200079,12.808354,158,31,70,10.083381,132.12723,132.12723,0.0832540495284098
"SIX1","Six1",19.089352,20.746533,20.759498,1997,499,889,20.198461,11.03935,11.03935,1.76076457616067
"SIX2","Six2",0.1253,0.063158,0.183836,9,1,6,0.124098,3.56479,3.56479,0.246254044545313
"SIX3","Six3",0.029132,0,0.06174,4,0,2,0.0302906666666667,0.05227,0.05227,0.979112458462815
"SIX4","Six4",8.168057,7.660741,8.61426,2196,508,928,8.147686,1.63081,1.63081,3.47713669934355
"SIX5","Six5",1.004144,0.970998,1.17006,116,27,57,1.04840066666667,8.43632,8.43632,0.21707621897802
"SIX6","Six6",0.048534,0,0.0304,8,0,2,0.0263113333333333,0.12545,0.12545,0.911911975950361
"SKA1","Ska1",0.02879,0,0.114776,3,0,2,0.0478553333333333,0.6586,0.6586,0.63177097150207
"SKA2","Ska2",3.824161,4.86298,5.671897,308,58,128,4.786346,30.36867,30.36867,0.184462586395917
"SKA3","Ska3",0.675835,0.512515,1.13389,27,6,20,0.77408,0.73178,0.73178,1.02442573537054
