"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,6.08628,6.516346,6.250521,6.28438233333333,364,279,315,0.410655270840396
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,17.886304,13.41606,11.385466,14.2292766666667,633,534,433,0.855470701935286
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,9.950716,8.300763,6.289277,8.180252,369,346,279,0.699323940127134
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,0.430319,0.363646,0.199827,0.331264,20,21,12,5.74149079371184
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,0.111049904093472
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,15.466497,14.289382,12.849752,14.201877,587,501,461,0.326609448732548
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,6.230585,3.533107,3.515221,4.42630433333333,558,395,389,0.933640348100024
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,539.418883,513.721339,438.661315,497.267179,4271,3691,3049,0.282927860008616
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,0,0.022851,0,0.007617,0,2,0,1.10452939956352
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,14.853065,11.82895,6.245988,10.976001,42,44,28,0.268768904300359
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,2.720509,0.953916,0.841565,1.50533,159,108,106,1.13225935638419
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,32.135196,15.329502,11.519368,19.6613553333333,755,449,440,0.762671813105968
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,106.632562,103.500411,97.170077,102.43435,946,923,785,0.115170637220614
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,7.765272,8.394048,3.664681,6.60800033333333,210,229,100,4.64094354009185
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,26.857783,13.437707,11.62415,17.3065466666667,382,312,276,0.334682273955365
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,4.538466,2.387986,1.850638,2.92569666666667,119,81,68,1.80644454614765
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,7.618894,5.044549,4.657079,5.77350733333333,439,324,287,1.12925593151544
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,23.154423,24.794667,23.033485,23.6608583333333,532,463,433,0.076061559090083
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,0.572654,0.568327,0.510339,0.55044,37,38,33,1.27692139005702
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,8.564602,4.575821,7.352098,6.83084033333333,163,107,122,1.01213956560856
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0,0,0,0,0,0,1.0051031
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,6.047245,4.588355,4.00999,4.88186333333333,85,83,68,2.07495470539665
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,1.157448,0.481306,0.687591,0.775448333333333,31,27,17,1.4351128212705
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0.292,0.608641,1.089188,0.663276333333333,17,9,22,0.637917151068704
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0,0,0,0,0,0,0,1.0945246333333
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,1.17688626233649
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,5.889447,3.785697,2.608854,4.094666,373,369,276,0.725421450591658
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,0.074404,0.220625,0.154447,0.149825333333333,5,9,7,83.3103636610604
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,48.187336,30.018075,26.134553,34.779988,1665,1167,1053,0.428339998325321
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,0,0,0,0,0,0,0,68.9171333333
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,2.083034,1.740608,0.931254,1.58496533333333,43,37,20,0.556290116592279
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,4.479841,2.665596,2.943872,3.363103,125,78,87,1.13156699104513
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,0,0,0,0,0,0,0,2.61267666667
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,2.51290478445307
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,1.21331189968528
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,8.895559,7.661565,6.460032,7.67238533333333,708,594,504,0.519318867903548
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,0.112989322130847
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,6.652744,7.561148,4.666439,6.29344366666667,192,191,127,1.3673243791417
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,20.174206,15.320592,11.474642,15.65648,1325,899,708,0.0928401639081607
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,0.102651,0,0,0.034217,1,0,0,0.993340114630972
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,28.624228,30.396445,27.420034,28.813569,613,576,520,0.230863336087001
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,88.207517,93.696934,77.668179,86.52421,1144,999,964,0.11502021364523
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,0.124947,0.174781,0.261237,0.186988333333333,6,8,12,2.51239200609947
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,0.188194,0,0.040322,0.076172,5,0,1,1.35178453506224
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,18.509861,18.078012,11.411107,15.99966,521,479,300,0.478139758873413
"ACOT8",858,9.55638,927,11.0822,784,9.18037,9.93965,14.918157,12.104523,11.463739,12.8288063333333,289,242,204,0.791076954605313
"ACOT9",1043,2.78521,1099,3.15001,1353,3.79848,3.24456666667,29.935853,23.797934,22.855973,25.52992,918,759,709,0.159991687372974
"ACOX1",1383,6.41366,1602,7.97419,1794,8.7467,7.71151666667,26.743277,25.166,14.165662,22.0249796666667,569,533,438,0.378350677950074
"ACOX2",360,1.95632,355,2.07064,277,1.58254,1.86983333333,17.904677,19.718667,13.035042,16.8861286666667,296,273,205,0.160450223008758
"ACOX3",307,0.720462,365,0.919403,387,0.95482,0.864895,11.241262,6.789727,5.371668,7.80088566666667,239,160,120,0.2118985600578
"ACOXL",127,0.0575309,110,0.0534848,122,0.0581026,0.0563727666667,0.725081,0.07677,0.356086,0.385979,14,3,7,0.762185261585277
"ACP2",881,16.0239,1004,19.6005,895,17.1141,17.5795,43.214406,45.839884,42.704658,43.9196493333333,569,466,395,0.413616318821367
"ACP4",2,0.0727155,7,0.273172,3,0.114672,0.153519833333,0,0.080253,0,0.026751,0,2,0,1.12346599451376
"ACP5",21,0.843569,32,1.37972,35,1.47811,1.23379966667,0.224677,1.062225,0,0.428967333333333,1,4,0,1.56322654448597
"ACP6",610,2.60726,652,2.99118,794,3.5679,3.05544666667,5.616296,6.558338,5.860511,6.011715,182,148,113,0.578381560954774
"ACP7",29,0.183687,28,0.190361,27,0.179797,0.184615,0.015824,0.016768,0.030042,0.020878,1,1,2,1.16038841076015
"ACR",11,0.268994,16,0.419962,20,0.514182,0.401046,0,0.037509,0.037908,0.025139,0,1,1,1.36668881000528
"ACRBP",56,1.04532,49,0.981743,62,1.21672,1.081261,0.3985,0.030659,0.225437,0.218198666666667,4,1,2,1.70847420617765
"ACSBG1",4789,10.6958,4310,10.332,3127,7.34232,9.45670666667,0.540764,0.319036,0.523883,0.461227666666667,30,21,25,7.15611051255531
"ACSBG2",50,0.150998,40,0.129659,55,0.174624,0.151760333333,0.522338,0.103219,0.103778,0.243111666666667,4,1,1,0.926513976352084
"ACSF2",272,0.975972,284,1.09377,288,1.08642,1.052054,61.978687,54.648487,53.059789,56.562321,577,446,412,0.035649257436996
"ACSF3",565,1.30309,532,1.31697,506,1.22691,1.28232333333,19.299129,13.763293,10.433563,14.4986616666667,273,225,190,0.147259381643168
"ACSL1",3565,8.74427,2446,6.43963,4883,12.5918,9.25856666667,43.878419,27.152981,30.101182,33.7108606666667,716,624,486,0.295543425591905
"ACSL3",2690,5.61472,2686,6.01758,2925,6.41859,6.01696333333,71.523045,48.918818,50.907122,57.1163283333333,1224,1079,919,0.120739963011485
"ACSL4",3112,4.98043,3490,5.99505,3392,5.70717,5.56088333333,36.054531,15.661033,10.428141,20.7145683333333,1246,833,675,0.302142010498021
"ACSL5",712,2.28806,528,1.82122,820,2.77038,2.29322,0.1358,0,0.182111,0.105970333333333,3,0,1,2.97767480803433
"ACSL6",2020,5.66704,3290,9.90698,1953,5.7603,7.11144,0.165731,0.038947,0.026724,0.077134,5,3,2,7.53057651137184
"ACSM1",14,0.0323286,10,0.0247856,19,0.0461265,0.0344135666667,0,0.159858,0,0.053286,0,2,0,0.982082327750203
