"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","FoldChange"
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,15.274284,15.178726,16.016221,15.4897436666667,630,503,508,0.247965447451771
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,55.693149,35.541915,32.008028,41.0810306666667,3195,2224,2142,0.18989387553974
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,0.080843,0.106816,0.123214,0.103624333333333,1,1,1,5.84429846750389
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,15.784185,1.403237,1.486131,6.22451766666667,97,18,19,0.228166743127027
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,15.771021,15.579426,12.779188,14.7098783333333,218,171,188,1.08318258777306
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,25.90656,19.930765,26.375471,24.070932,2130,1113,1157,0.104769273568689
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,6.897981,5.749299,4.319143,5.65547433333333,1188,807,647,0.543782429131147
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,40.278722,80.432426,57.957359,59.556169,4547,5302,4617,0.102730959307053
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,8.029056,12.377298,11.75464,10.7203313333333,245,279,223,0.142009096784949
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,55.789335,56.612711,66.861423,59.7544896666667,2333,2247,2011,0.0967392977690444
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.183863,0.173732,0.075984,0.144526333333333,22,16,6,2.75040125769933
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,197.043613,257.031715,274.908047,242.994458333333,1875,1447,1461,0.0160766356203104
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,0.063103,0.063272,0,0.042125,3,2,0,1.51736595897805
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,11.912176,11.774747,14.945013,12.877312,113,90,104,0.220398830359222
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,7.491499,5.007126,3.562498,5.35370766666667,275,121,99,0.474844530408308
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,7.8423,8.782454,8.707067,8.44394033333333,412,353,319,0.495929294485166
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,4.02236,4.495368,5.868998,4.79557533333333,215,183,215,2.41244383790255
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,8.227788,5.243431,7.957303,7.14284066666667,219,121,132,3.75366139630142
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,3.451672,3.840048,4.832426,4.041382,318,267,292,0.268276569136598
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,37.51069,45.687812,49.761725,44.3200756666667,672,620,569,0.163237665085614
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,24.508458,12.44024,15.340642,17.42978,617,249,284,0.444132630268511
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,52.07295,52.263549,60.592741,54.9764133333333,2805,2326,1935,0.0614855399810063
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,5.82404,4.214339,4.586609,4.874996,290,101,72,0.787468337566528
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,24.09517,13.699953,18.003391,18.5995046666667,465,241,262,0.15488996881809
